ID	CanUserChange	CanCastSkill	MoveStateMask	ActiveSkillID1	ActiveSkillLevel1	ActiveSkillID2	ActiveSkillLevel2	ActiveSkillID3	ActiveSkillLevel3	ActiveSkillID4	ActiveSkillLevel4	ActiveSkillID5	ActiveSkillLevel5	ActiveSkillID6	ActiveSkillLevel6	ActiveSkillID7	ActiveSkillLevel7	ActiveSkillID8	ActiveSkillLevel8	ActiveSkillID9	ActiveSkillLevel9	ActiveSkillID10	ActiveSkillLevel10	PassiveSkillID1	PassiveSkillLevel1	PassiveSkillID2	PassiveSkillLevel2	PassiveSkillID3	PassiveSkillLevel3	PassiveSkillID4	PassiveSkillLevel4	PassiveSkillID5	PassiveSkillLevel5	PassiveSkillID6	PassiveSkillLevel6	PassiveSkillID7	PassiveSkillLevel7	PassiveSkillID8	PassiveSkillLevel8	SubActiveSkillID1	SubActiveSkillLevel1	SubActiveSkillID2	SubActiveSkillLevel2	SubActiveSkillID3	SubActiveSkillLevel3	SubActiveSkillID4	SubActiveSkillLevel4	SubActiveSkillID5	SubActiveSkillLevel5	SubActiveSkillID6	SubActiveSkillLevel6	SubActiveSkillID7	SubActiveSkillLevel7	SubActiveSkillID8	SubActiveSkillLevel8	SubActiveSkillID9	SubActiveSkillLevel9	SubActiveSkillID10	SubActiveSkillLevel10	SubActiveSkillID11	SubActiveSkillLevel11	SubActiveSkillID12	SubActiveSkillLevel12	SubActiveSkillID13	SubActiveSkillLevel13	SubActiveSkillID14	SubActiveSkillLevel14	SubActiveSkillID15	SubActiveSkillLevel15	SubActiveSkillID16	SubActiveSkillLevel16	MoveStateMask2	ActiveSkillID11	ActiveSkillLevel11	ActiveSkillID12	ActiveSkillLevel12	ActiveSkillID13	ActiveSkillLevel13	ActiveSkillID14	ActiveSkillLevel14	ActiveSkillID15	ActiveSkillLevel15	ActiveSkillID16	ActiveSkillLevel16	ActiveSkillID17	ActiveSkillLevel17	ActiveSkillID18	ActiveSkillLevel18	ActiveSkillID19	ActiveSkillLevel19	ActiveSkillID20	ActiveSkillLevel20	ActiveSkillID21	ActiveSkillLevel21	ActiveSkillID22	ActiveSkillLevel22	ActiveSkillID23	ActiveSkillLevel23	ActiveSkillID24	ActiveSkillLevel24	ActiveSkillID25	ActiveSkillLevel25	ActiveSkillID26	ActiveSkillLevel26	ActiveSkillID27	ActiveSkillLevel27	ActiveSkillID28	ActiveSkillLevel28	ActiveSkillID29	ActiveSkillLevel29	ActiveSkillID30	ActiveSkillLevel30	ActiveSkillID31	ActiveSkillLevel31	ActiveSkillID32	ActiveSkillLevel32	CanJump
36	0	0	4294967295	7861	1																			7862	1	7863	1																																																																																										
37	1	1	4294967295	5410	1	0	1	0	1	0	1	0	1	0	1	0	1							0	1	0	1	0	1	0	1																																																																																						
39	1	0	4294967295	7867	1	7868	1	7869	1																																																																																																												
40	0	0	4294967295	7876	1	7877	1																																																																																																														
41	1	0	4294967295	7878	1																																																																																																																
42	1	0	4294967295	7872	1																																																																																																																
43	1	0	4294967295	7844	1																																																																																																																
44	0	0	4294967295	5479	1	5480	1	5481	1	5487	1	5489	1	6285	1																									5488	1	6465	1																																																																										
45	0	1	4294967295	7886	1	7887	1																																																																																																														
46	0	1	4294967295	7888	1	7889	1																																																																																																														
47	0	1	4294967295	7816	1																																																																																																																
48	1	0	4294967295	7929	1																																																																																																																
49	0	0	4294967295	7934	1	7935	1	7936	1																																																																																																												
50	0	0	8323071	6268	1																																			6269	1																																																																												
51	1	0	4294967295	7938	1																																			7946	1																																																																												
52	1	0	8191971	6275	1																																			6276	1																																																																												
53	0	0	8323071	6270	1																																																																																																																
55	1	0	4294967295	7952	1	7953	1	7954	1	7955	1	7956	1	7957	1	7958	1							7963	1																																																																																												
56	0	0	4294967295	7960	1																																																																																																																
57	0	0	8323071	6705	1																																			6707	1																																																																												
58	0	0	8323071	6710	1																																																																																																																
59	1	0	8323043	6711	1																																			6712	1																																																																												
60	1	0	8057343	7964	1	7965	1	7966	1																																																																																																												
61	1	0	28674	7967	1	7968	1	7969	1																																																																																																												
62	0	0	8323071	7971	1	8104	1																																	7972	1	8105	1																																																																										
63	1	0	8323071	7973	1																																																																																																																
64	0	0	4294967295	7975	1	7991	1	7990	1																															7992	1																																																																												
65	0	0	4294967295	8010	1																																																																																																																
66	1	0	8323071	8061	1	8060	1	8059	1	8062	1																																																																																																										
67	0	0	4294967295	8086	1	8087	1	8088	1																																																																																																												
68	1	0	28674	8091	1																																																																																																																
69	1	0	28674	8096	1																																			8116	1																																																																												
70	1	0	28674	8099	1																																																																																																																
71	0	0	8323071	8101	1	8102	1	8103	1																																																																																																												
72	1	0	28674	8098	1																																																																																																																
73	0	0	4294967295	8141	1	8142	1	8143	1																																																																																																												
74	0	0	8323071	8210	1	8211	1	8212	1																																																																																																												
75	0	0	4294967295	8196	1	8197	1	8198	1	8199	1																													8213	1	8214	1	8215	1	8216	1	8217	1																																																																				
76	0	0	8323071	8219	1	8221	1	8223	1																															8414	1	8415	1																																																																										
77	0	0	8388607	8230	1	8231	1	8241	1	8378	1																																																																																																										
78	1	0	2147512323	8274	1	8367	1	8368	1																																																																																																												
79	1	0	8384514	8328	1	8329	1	8330	1	8376	1																																																																																																										
80	0	0	4294967295	8354	1	8461	1																																																																																																														
81	0	0	4294967295	8425	1	8428	1	8431	1																																																																																																												
82	0	0	8323071	8437	1																																																																																																																
83	1	0	8323071	8451	1	8523	1																																																																																																														
84	0	1	4294967295	8422	1	8423	1																																																																																																														
85	0	0	8388607	8520	1	8521	1	8522	1																																																																																																												
86	1	0	28674	8532	1																																			8116	1																																																																												
87	1	0	28674	8531	1																																																																																																																
88	1	0	28674	8530	1																																																																																																																
89	0	0	4294967295	8550	1	8197	1	8551	1	8199	1																													8552	1	8553	1	8554	1	8555	1	8556	1	8516	1																																																																		
90	0	0	8388607	8583	1	8584	1	8585	1	8378	1																																																																																																										
91	1	0	4294967295	8586	1	8587	1	8588	1																																																																																																												
92	0	0	4294967295	8589	1	8590	1																																																																																																														
93	1	0	2147512323	8598	1	8599	1	8368	1																																																																																																												
94	0	0	4294967295	8600	1	8602	1	8603	1	8613	1	8614	1	8615	1																									8601	1	8487	1																																																																										
95	0	0	4294967295	8600	1	8616	1	8604	1	8613	1	8614	1	8615	1																									8601	1	8487	1																																																																										
96	0	0	4294967295	8600	1	8617	1	8605	1	8613	1	8614	1	8615	1																									8601	1	8487	1																																																																										
97	0	0	4294967295	8600	1	8618	1	8606	1	8613	1	8614	1	8615	1																									8601	1	8487	1																																																																										
98	0	0	4294967295	8600	1	8619	1	8607	1	8613	1	8614	1	8615	1																									8601	1	8487	1																																																																										
99	0	0	4294967295	8600	1	8620	1	8608	1	8613	1	8614	1	8615	1																									8601	1	8487	1																																																																										
100	0	0	4294967295	8600	1	8621	1	8609	1	8613	1	8614	1	8615	1																									8601	1	8487	1																																																																										
101	0	0	4294967295	8600	1	8622	1	8610	1	8613	1	8614	1	8615	1																									8601	1	8487	1																																																																										
102	0	0	4294967295	8600	1	8623	1	8611	1	8613	1	8614	1	8615	1																									8601	1	8487	1																																																																										
103	0	0	4294967295	8600	1	8624	1	8612	1	8613	1	8614	1	8615	1																									8601	1	8487	1																																																																										
104	0	1	4294967295	8648	1	7263	1																																	7261	1	7261	2	7262	3	7262	6																																																																						
105	1	0	536805150	8972	1																																																																																																																
106	0	0	4294967295	8692	1																																																																																																																
107	0	1	478150655	8672	1																																																																																																																
108	0	1	478150655	8673	1																																																																																																																
109	0	1	478150655	8674	1																																																																																																																
110	0	1	478150655	8675	1																																																																																																																
111	0	1	478150655	8676	1																																																																																																																
112	0	1	4294967295	8697	1	8708	1																																																																																																														
113	0	0	4294967295	8709	1																																			8711	1																																																																												
115	1	0	4294967295	8793	1																																																																																																																
116	1	0	4294967295	8794	1	8795	1	8796	1																															8800	1																																																																												
117	0	0	3221159935	8815	1	8819	1	8818	1	8820	1	8821	1	22908	1									0	0	0	0													8835	1	8817	1																																																																										
118	0	0	4294967295	8829	1	8830	1	8831	1	8832	1	8833	1																																																																																																								
119	0	0	4294901759	8802	1	8803	1																																	8847	1	8848	1																																																																										
120	1	0	28674	8858	1																																			8859	1																																																																												
122	0	1	536805375	8865	1	9023	1	9024	1																																																																																																												
123	0	0	4294967295	8867	1																																			8869	1																																																																												
124	1	0	536805150	8968	1	8955	1	8962	1	8973	1																																																																																																										
125	0	1	4294967295	8895	1																																																																																																																
126	0	1	4294967295	8896	1																																																																																																																
127	0	1	4294967295	8897	1																																																																																																																
128	0	1	4294967295	8898	1																																																																																																																
129	0	1	4294967295	8899	1																																																																																																																
130	0	1	4294967295	8900	1																																																																																																																
131	0	1	4294967295	8901	1																																																																																																																
132	0	1	4294967295	8902	1																																																																																																																
133	0	0	4294967295	8987	1	8988	1	8989	1																																																																																																												
134	0	0	4294967295	8929	1	8932	1																																	8927	1	8928	1	8931	1	8933	1	8934	1	8935	1	8936	1	8937	1																																																														
135	1	0	4294967295	8939	1	8943	1	8941	1																																																																																																												
136	0	0	4294901759	8950	1	8952	1	8951	1																															8953	1	8976	1	8956	1																																																																								
138	0	0	4294967295	8987	1	8988	1	8989	1																																																																																																												
139	0	0	4294963201	9104	1																																																																																																																
140	0	0	3221159935	8815	1	8819	1	8818	1	8820	1	8993	1	22908	1									0	0	0	0													8835	1	8817	1																																																																										
141	0	0	4294967295	9019	1	9020	1																																	33913	1																															3																																													
142	0	1	4294967295	9042	1	22711	1																																	9053	1	9054	1																																																																										
144	1	0	4294967295	9071	1	9079	1	9085	1	9100	1	9086	1																																																																																																								
145	1	0	536805150	9091	1	9071	1	9085	1	9100	1																																																																																																										
146	1	0	4294967295	9126	1	9131	1	8796	1																															8800	1																																																																												
147	0	0	4294967295	9132	1	9133	1																																	9134	1	9135	1	9136	1	9137	1	9138	1	9139	1	9140	1	9141	1																																																														
148	1	0	4294967295	9112	1	9113	1	8941	1																																																																																																												
149	0	1	3758030847	9170	1																																																																																																																
150	0	0	4231979039	9172	1	9173	1	9174	1	9175	1																																																																																																										
151	0	0	4294967295	9019	1	9178	1	9183	1	9184	1	9185	1	9186	1	9020	1	9187	1																					33913	1	7797	1																													3																																													
152	0	0	4294967295	9180	1	9181	1	9182	1																																																																																																												
153	1	0	4294967295	9192	1																																																																																																																
154	0	0	4294967295	9229	1	9230	1	9231	1																																																																																																												
156	1	0	4294967295	9248	1	9249	1																																																																																																														
157	1	0	536805150	9267	1																																																																																																																
158	1	0	536805150	9301	1	9302	1	9307	1	36546	1	9294	1																																																																																																								
159	0	1	3758030847	9396	1																																																																																																																
160	0	1	536805375	9412	1																																																																																																																
162	1	1	4294967295	9406	1																																																																																																																
163	0	0	536805375	9415	1	9416	1	9420	1	9520	1	9537	1					9519	1																					9417	1	9418	1	9419	1																																																																								
164	0	0	4294967295	9266	1	9422	1																																																																																																														
165	0	0	536805375	9432	1	9433	1	9439	1	9520	1	9519	1	9537	1																									9434	1	9435	1																																																																										
166	0	0	536805375	9471	1	9470	1	9472	1	9520	1	9519	1	9537	1																									9473	1																																																																												
167	1	0	4294967295	9481	1	9482	1	9483	1																																																																																																												
168	0	0	4294967295																																																																																																																		
169	0	0	536805375	9475	1	9501	1	9512	1	9520	1	9519	1	9537	1																																																																																																						
170	0	0	536805375	9533	1	9532	1	9534	1	9520	1	9519	1	9537	1																																																																																																						
171	0	1	536805375	9535	1																																																																																																																
172	0	0	4294967295	9019	1	9020	1	9035	1																															33913	1																															3																																													
173	1	0	536805150	13104	1																																			13105	1																																																																												
174	1	0	536805150	13157	1																																			13158	1	9151	1																																																																										
175	0	0	4294967295	13017	1	13018	1	13019	1	13020	1																																																																																																										
176	0	1	4294967295	13016	1																																																																																																																
177	1	1	4294967295	13252	1	13586	1																																	13339	1																																																																												
178	0	0	4294967295	13253	1																																																																																																																
179	0	0	4294967295	13340	1																																																																																																																
180	0	0	4294967295	13399	1																																																																																																																
181	1	0	4294967295	13452	1																																																																																																																
182	1	0	536805150	13535	1																																			13105	1																																																																												
183	1	0	536805150	13534	1																																			13158	1	9151	1																																																																										
184	0	0	4294967295	13548	1	13549	1	13551	1																																																																																																												
185	0	0	4294967295	13562	1	13550	1	13551	1																																																																																																												
186	1	0	4294967295	13573	1	13574	1	13575	1	13576	1	13577	1	13571	1																																																																																																						
187	0	0	4294967295	13580	1	13581	1	13584	1																																																																																																												
188	0	0	4294967295	13584	1																																																																																																																
189	0	0	4294967295	7788	1	13742	1	13590	1																																																																																																												
190	0	0	4294967295	13591	1	13592	1	13595	1																																																																																																												
191	0	0	4294967295	8600	1	13615	1	13616	1	8613	1	8614	1	8615	1																									8601	1	8487	1																																																																										
192	1	0	3221155871	13601	1	13602	1	13603	1	13604	1																																																																																																										
193	0	0	4294967295	13624	1																																																																																																																
194	0	0	4294967295	13649	1	13650	1																																																																																																														
195	0	1	536805375	13817	1	13819	1	13834	1	13835	1	13833	1																																																																																																								
196	0	1	4294967295	13818	1	13820	1																																																																																																														
197	0	1	536805375	13836	1																																																																																																																
198	1	0	8323071	13952	1	13953	1	13954	1	13955	1																																																																																																										
199	0	0	255	14030	1	14031	1	14032	1	14033	1	14034	1																											14038	1																																																																												
200	0	0	4294967295	14221	1	14220	1	14518	1																																																																																																												
201	0	0	286	14208	1	14209	1	14210	1	14211	1	14212	1																																																																																																								
202	1	0	4294967295	14322	1	14323	1	14324	1																																																																																																												
203	1	0	4294967295	14322	1	14323	1																																																																																																														
204	1	0	4294967295	14322	1																																																																																																																
206	1	0	536805150	14374	1																																																																																																																
207	1	0	536805150	14376	1	14378	1	14786	1	14380	1	14375	1																																																																																																								
208	1	0	536805150	14382	1	14387	1	14978	1	9085	1	9100	1																																																																																																								
209	1	1	4294967295	14487	1	14488	1	14489	1	14490	1																																																																																																										
210	0	0	4294967295	14575	1	14578	1	14579	1															0	1	0	1	0	1	0	1									7782	1	7784	1	7785	1	7793	1																																																																						
211	0	1	4294967295	15058	1																																																																																																																
212	0	1	536805374	14564	1																																																																																																																
213	1	0	4294967295	14574	1																																			15116	1																																																																												
214	0	0	3758030847	14482	1																																																																																																																
215	0	0	4294967295	14193	1	14194	1	14195	1	14196	1	14197	1																																																																																																								
216	1	0	536805150	14682	1																																			13158	1	9151	1																																																																										
217	1	0	536805150	14684	1	14685	1	14982	1	14686	1	14683	1																																																																																																								
218	0	0	4294967295	8600	1	14717	1	14716	1	8613	1	8614	1	8615	1																									8601	1	8487	1																																																																										
219	0	0	30	14737	1	14738	1																																																																																																														
220	1	0	4294967295	14767	1																																			14038	1																																																																												
221	1	0	536805150	15003	1																																																																																																																
222	1	0	536805150	15005	1	15009	1	15012	1	15004	1																																																																																																										
223	1	0	536805150	15015	1	15021	1	9085	1	9100	1																																																																																																										
224	0	0	4294967295	8829	1	8832	1	8831	1	8833	1	15111	1	23828	1																									7610	1																																																																												
225	1	0	4294967295	15085	1	15086	1	15087	1																																																																																																												
226	1	0	4294967295	15085	1	15086	1	15087	1	15088	1																																																																																																										
227	1	0	4294967295	15085	1	15086	1	15087	1	15088	1	15089	1																																																																																																								
228	0	1	536805374	15106	1																																																																																																																
229	0	1	4294967295	15201	1																																																																																																																
230	0	0	4294967295	15261	1																																																																																																																
231	0	0	286	15259	1	15262	1	15263	1	15264	1	15260	1																																																																																																								
232	1	0	8323071	15365	1																																																																																																																
233	0	0	4294967295	15349	1																																																																																																																
234	1	1	536543230	15385	1																																																																																																																
235	1	0	286	15409	1	15410	1	15407	1	15408	1	15446	1																																																																																																								
236	1	0	286	15411	1	15412	1	15413	1	15414	1	15445	1																																																																																																								
237	0	1	4294967295	15394	1	15395	1																																																																																																														
238	0	1	4294967295	15396	1																																																																																																																
239	1	0	3758030847	15415	1																																																																																																																
240	1	0	3758030847	15420	1	15421	1	15422	1	15441	1	15423	1																																																																																																								
241	0	0	3758030623	15424	1	15432	1																																																																																																														
242	0	0	3758030623	15425	1	15432	1																																																																																																														
243	0	0	3758030623	15468	1	15469	1	15471	1	15424	1	15432	1																																																																																																								
244	0	0	3758030623	15468	1	15469	1	15470	1	15424	1	15432	1																																																																																																								
245	0	0	536805151	15437	1	15436	1	15435	1	15452	1	15432	1																																																																																																								
246	0	0	536805151	15433	1	15434	1	15443	1	15444	1	15432	1																																																																																																								
247	0	0	4294901759	15489	1	15490	1	15491	1	15492	1																																																													0																																													
250	1	0	16384	15505	1	15506	1	15507	1																																																																																																												
251	1	1	4294967295	15678	1	15679	1																																																																																																														
252	0	0	4294901759	15161	1	15777	1	15763	1	15764	1	15765	1	15766	1																																																																																																						
253	1	0	4294967295	15861	1	15862	1	15863	1	15864	1																																																																																																										
254	0	0	4294967295	15748	1	15417	1	15877	1	15878	1																																																																																																										
255	0	1	4294967295	15898	1	15897	1	15896	1	15900	1	15901	1	15899	1																																																																																																						
256	0	0	4294967295	15930	1	15931	1	15932	1	15934	1	15933	1																											15967	1	15968	1	15969	1	15970	1	15971	1	15972	1	15973	1	15974	1																																																														
257	0	0	4294967295	15933	1																																																																																																																
258	0	0	4294967295	15934	1	15933	1																																	15967	1	15968	1	15969	1	15970	1	15971	1	15972	1	15973	1	15974	1																																																														
259	1	1	14	15964	1																																																																																																																
260	0	0	4294967295	15965	1																																																																																																																
261	0	0	4294967295	15930	1	15931	1	15932	1	15933	1																																																																																																										
262	0	1	4294967295	15989	1	16719	1	15993	1	16476	1																																																																																																										
265	0	0	4294967295	16210	1	16211	1	16212	1	16213	1	16214	1	15996	1	16183	1	16117	1	16048	1																																																																																																
266	0	0	4294967295	16225	1	16226	1	16227	1	16228	1	15996	1	16186	1	16120	1	16048	1																																																																																																		
267	0	0	4294967295	16240	1	16241	1	16242	1	16243	1	15996	1	16190	1	16124	1	16048	1																																																																																																		
268	0	0	4294967295	16244	1	16245	1	16246	1	16247	1	15996	1	16191	1	16125	1	16048	1																																																																																																		
269	0	0	4294967295	16258	1	16259	1	16260	1	16261	1	15996	1	16195	1	16129	1	16048	1																																																																																																		
270	0	0	4294967295	16201	1	16202	1	16203	1	16204	1	15996	1	16180	1	16114	1	16048	1																																																																																																		
271	0	0	4294967295	16215	1	16216	1	16217	1	16218	1	15996	1	16184	1	16118	1	16048	1																																																																																																		
272	0	0	4294967295	16205	1	16206	1	16207	1	15996	1	16181	1	16115	1	16048	1																																																																																																				
273	0	0	4294967295	16229	1	16230	1	16231	1	15996	1	16187	1	16121	1	16048	1																																																																																																				
274	0	0	4294967295	16248	1	16249	1	16250	1	15996	1	16192	1	16126	1	16048	1																																																																																																				
275	0	0	4294967295	16208	1	16209	1	15996	1	16182	1	16116	1	16048	1																																																																																																						
276	0	0	4294967295	16219	1	16220	1	16221	1	16222	1	16223	1	15996	1	16185	1	16119	1	16048	1																																																																																																
277	0	0	4294967295	16232	1	16233	1	16234	1	16235	1	16237	1	15996	1	16188	1	16122	1	16048	1																																																																																																
278	0	0	4294967295	16251	1	16252	1	16253	1	16254	1	16256	1	15996	1	16193	1	16127	1	16048	1																																																																																																
279	0	0	4294967295	16011	1	15996	1	16018	1	16019	1	16048	1																																																																																																								
280	0	0	4294967295	16238	1	16239	1	15996	1	16189	1	16123	1	16048	1																																																																																																						
281	0	0	4294967295	16262	1	16263	1	15996	1	16196	1	16130	1	16048	1																																																																																																						
282	0	0	4294967295	16264	1	16265	1	16266	1	15996	1	16197	1	16131	1	16048	1																																																																																																				
283	0	0	4294967295	16267	1	16268	1	15996	1	16198	1	16132	1	16048	1																																																																																																						
284	0	0	4294967295	16257	1	15996	1	16194	1	16128	1	16048	1																																																																																																								
285	0	0	4294967295	16269	1	15996	1	16199	1	16133	1	16048	1																																																																																																								
292	0	0	2																																																																																																																		
297	0	0	2	16020	1																																																																																																																
299	0	0	4294967295	16334	1	16335	1	16336	1																																																																																																												
300	1	0	4294967295	16342	1																																																																																																																
301	1	0	511	16344	1	16344	1	16341	1																																																																																																												
302	0	0	286	16478	1	16484	1																																																																																																														
304	0	0	4294901759	16772	1	16687	1	16688	1	16689	1																																																																																																										
305	1	0	511	16703	1	16703	1	16701	1																																																																																																												
306	0	0	4294901759	16772	1	16773	1	16687	1	16688	1	16689	1																																																																																																								
307	0	1	536805375	13817	1	13819	1																																																																																																														
308	0	1	4294967295																																																																																																																		
309	1	1	4294967295	17033	1	17034	1	17035	1	17037	1	17036	1																																																																																																								
310	0	0	4294967295	8600	1	17067	1	17068	1	8613	1	8614	1	8615	1																									8601	1	8487	1																																																																										
311	0	0	4294967295	17073	1	17074	1	17075	1	17076	1																																																																																																										
312	1	1	4294967295	17081	1	17083	1	17085	1																																																																																																												
313	0	0	4294901759	17100	1	17101	1	17102	1	17098	1																																																																																																										
314	0	1	4294967295	17090	1																																																																																																																
315	0	0	4294967295	17160	1	17161	1	17148	1	17149	1																																																																																																										
316	0	0	4294967295	17157	1	17164	1	17148	1	17149	1																																																																																																										
317	0	0	4294967295	17162	1	17163	1	17148	1	17149	1																																																																																																										
318	0	0	4294967295	17170	1	17168	1	17148	1	17149	1																													17167	1																																																																												
319	0	0	4294967295	17169	1	17166	1	17148	1	17149	1																													17165	1																																																																												
321	1	0	511	17294	1	17294	1	17295	1																																																																																																												
322	0	0	30	17314	1																																																																																																																
324	0	0	4294967295	17318	1	17319	1	17320	1	17322	1	17321	1																											15967	1	15968	1	15969	1	15970	1	15971	1	15972	1	15973	1	15974	1																																																														
325	0	0	4294967295	17318	1	17319	1	17320	1	17321	1																																																																																																										
326	0	0	4294967295	17322	1	17321	1																																	15967	1	15968	1	15969	1	15970	1	15971	1	15972	1	15973	1	15974	1																																																														
327	0	0	4294967295	17321	1																																																																																																																
329	0	0	4294967295	17459	1																																																																																																																
330	0	1	4294967295	17504	1																																																																																																																
331	0	1	4294967295	17523	1																																																																																																																
332	0	0	4294967295	17524	1	17525	1																																																																																																														
334	0	0	4294901759	17559	1	17560	1	17561	1																																																																																																												
335	0	1	4294967295	17592	1	17593	1																																																																																																														
336	0	0	4294901759	17616	1	17617	1	17618	1	17615	1																																																																																																										
337	0	0	4294967295	17667	1	17692	1	17672	1	17674	1																																																																																																										
338	0	0	4294967295	17676	1	17677	1	17678	1																																																																																																												
339	1	0	4294967295	17687	1	17688	1																																																																	3																																													
340	0	0	275	17702	1	17703	1	17704	1																																																																																																												
341	0	0	275	17705	1	17706	1	17707	1																																																																																																												
342	1	0	4294967295	17711	1	17712	1																																																																																																														
343	0	1	4294967295	17801	1	17807	1																																																																																																														
344	0	1	4294967295	17806	1																																																																																																																
345	0	1	4294967295	17807	1	17801	1																																																																																																														
346	0	1	4294967295	17802	1																																																																																																																
347	0	0	4294967295	17592	1																																																																																																																
