BD	Level	Desc	FullScreen	Panauision	ExclusiveMode 	ScreenSizeLimitedRate	Width	Height	nScaleUpMode	nRenderLevel	nEngineGraphicsLevel	bEnableScreenWeather	nRenderLimit	nRenderNpcLimit	ClientSFXLimit	OptimizeQiChang	OptimizeUniform	OptimizeRide	EnableAniShadow	nShadowType	HDRepresent	Fabric	bEnableRC_AmbientOcclusion	bEnableRC_Bloom	bEnableRC_Depth	bEnableRC_LightShaftBloom	bEnableRC_LightShaftOcclusion	bEnableRC_StingRayVolumetircCloud	bEnableRC_SunLensflare	bEnableRC_Vignette	bEnableRC_AtmosphericFog	bEnableRC_HeightFog	bEnableRC_SSS	bEnableSSPR	bEnableRC_ShockWave	bEnableRC_SpotLight	bEnableRC_DirectionLight	bEnableRC_PointLight	bEnableRC_SkyLight	bEnableRC_SpotLightShadow	bEnableRC_DirectionLightShadow	bEnableRC_PointLightShadow	nRC_EnvProbeLevel	bEnableRC_FoliageBlur	bEnableSubFoliageHCRender	bEnableSubFoliageSTRender	bEnableSubFoliageWJRender	bEnableSubFoliageGMRender	bEnableSubFoliageTWRender	nFoliageDensity	nStartLodLevelInAutoLodMode	fSpeedTreeCullDist	fSimpleModelCullDist	fParticleSystemCullDist	fPointlightCullDist	bEnableModelLodRadius	ModelLodRadius	fSpeedTreeShadowCullDist	fSimpleModelShadowCullDist	fParticleSystemShadowCullDist	fPointlightShadowCullDist	fCameraDistanceHD	fNodeLodLowLimit 	fNodeLodHighLimit	nNewWaterQualityLevel	TexLODLimit	MyEffect	OtherEffect	bEnableRealTimeTerrainBake	nTerrainBakeScaleRate	bEnableRC_EyeProtectionMode	fSpeedTreeAngleCull	fSpeedTreeGlobalLodScaleTimes	fAngleCullValue	AAOPTION_EnableSMAA	fRC_EyeProtectBrightness	bEnableRC_ForwardRender	nSpeedTreeDensity	fFoliageCullDist	bEnableFur	nMaxFPS	fMyEffectAlpha	fMyEffectLight	fOtherEffectAlpha	fOtherEffectLight	AAOPTION_DLSSOption	AAOPTION_DLSSParam	SpeedTreeLeafScale	MinimumModelLod	TerrainBakeMethod	ShowLayer	szReduceTextureSize	AAOPTION_EnableTXAA	nSfxLodDist1	nSfxLodDist2	nSfxLodDist3	bEnableRC_HighEnvironmentRender	bEnableRC_ForceSkyCubeTex	bEnableRC_ForceSkyOitToSoftMask	nModelInstanceThreshold(开启合并渲染值)	fSceneNodeClusterLoadDistance	fSceneNodeClusterUnLoadDistance	bEnableCASSharper	bRenderPointLightLimit（是否开启点光源的数量限制）	nRenderPointLightLimitCount	bEnableModelLodViewAngle	szModelLodViewAngle	bEnableAnimationPrecompute	bEnableDayNightCycle	bEnableVolumetricHeightFog	bEnableIndirectLightVolume	bEnableRC_SSR	bEnableSceneNodeAngleCull	bEnableLensLightGlobal	bEnableViewProbe	bEnableViewProbeShadow	bEnableViewProbeColor	fViewProbeBlendStart	fViewProbeBlendEnd	fViewProbeShadowStart	fViewProbeShadowEnd	bEnableFSR2	nFSR2Option
0	10	沉浸				2			0	200	9	0	100	100	1000	0	0	0	1	3	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	100	0	560000	200000	80000	12000	1	20000|25000|30000|80000	300000	300000	20000	0	800000	90	720	0	0	0	0	1	1	0	0	0.9	3	1	1	0	100	80000	1	67	0.8	0.8	0.4	0.4	0	0	100	0	0	3	0|0|0|0|0|0|0|0	0	5000	6000	8000	1	0	0	16	12000	11000	0	0	100	1	10|8|5	0	0	1	1	1			0	1	1	1	1	1	1	0	0
0	11	最简（低配）				2			0	200	1	0	10	20	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	3	0	1	1	1	1	1	10	1	16000	16000	10000	4000	1	6850|8000|10000|27400	0	0	0	0	30000	9	72	3	1	2	2	1	4	0	6.5	0.6	15	0	1	1	50	0	0	67	0.8	0.8	0.4	0.4	0	0	50	1	1	1	0|0|0|0|0|0|0|0	0	3000	4000	8000	0	1	1	16	5000	4000	0	1	0	1	12|9|7	1	0	0	0	0			0	0	0	0	0	0	0	0	0
0	12	简约（低配）				1.5			0	200	2	0	15	30	30	1	0	0	0	7	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	3	0	1	1	1	1	1	10	1	32000	32000	10000	4000	1	6850|8000|10000|27400	0	0	0	0	40000	9	72	3	1	2	2	1	4	0	6.5	0.7	9.5	0	1	1	60	10000	0	67	0.8	0.8	0.4	0.4	0	0	70	0	0	2	0|0|0|0|0|0|0|0	0	3000	4000	8000	0	1	0	16	6000	5000	0	1	0	1	12|9|7	1	0	0	0	0			0	0	0	0	0	0	0	0	0
0	13	均衡（低配）				2			0	200	3	0	20	50	60	1	0	0	0	1	0	0	0	1	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	0	0	0	2	0	1	1	1	1	1	25	1	32000	56000	40000	6000	1	17125|20000|25000|68500	15000	15000	10000	0	80000	15	72	3	0	2	2	1	4	0	5.5	0.8	5	1	1	1	80	10000	0	67	0.8	0.8	0.4	0.4	0	0	70	0	0	2	0|0|0|0|0|0|0|0	0	4000	5000	8000	0	0	0	16	8000	7000	0	1	0	1	12|9|7	0	0	0	0	0			0	0	0	0	0	0	0	0	0
0	20	商城是否配置（0、不改配置；1、只要不同就改；2、比目前的大就用；-1、比目前小就用，nShadowType代码里写了）	0	0	0	1	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	21	商城具体配置（最简）				2				200	1												0						0																								16000									80000				1							0.6				1									0																																					
0	22	商城具体配置（简约）				2				200	2												0						0																								32000									80000				1							0.6				1									0																																					
0	23	商城具体配置（均衡）				2				200	3												0						0																								70000									140000				1							0.8				0									0																																					
0	24	商城具体配置（唯美）				2				200	4												0						0																								800000									140000				1							0.9				0									0																																					
0	25	商城具体配置（高效）				2				200	5												0						0																								70000									140000				1							0.8				0									0																																					
0	26	商城具体配置（电影）				2				200	6												0						0																								70000									140000				1							0.8				0									0																																					
0	27	商城具体配置（极致）				2				200	7												0						0																								800000									140000				1							0.9				0									0																																					
0	28	商城具体配置（探索）				2				200	8												0						0																								800000									140000				1							0.9				0									0																																					
0	29	商城具体配置（沉浸）				2				200	9												0						0											1	1	1											800000									140000				1							0.9				0									0																																					
0	30	登录场景是否配置（0、不改配置；1、只要不同就改；2、比目前的大就用；-1、比目前小就用）	0	0	0	1	0	0	0	200	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	31	登录场景具体配置（最简）				2				200	1									8					0																									10	2		3800									3800				1																							2		1							1																									
0	32	登录场景具体配置（简约）				2				200	2									8					0																									10	1		3800									3800				1																							1		1							1																									
0	33	登录场景具体配置（均衡）				2				200	3									8					0																									100	1		3800									3800				1																							1		1							1																									
0	34	登录场景具体配置（唯美）				2				200	4									8					0																									100	1		200000									800000				1																							1		3							0																									
0	35	登录场景具体配置（高效）				2				200	5									8					0																									100	1		3800									3800				1																							1		1							1																									
0	36	登录场景具体配置（电影）				2				200	6									8					0																									100	1		70000									100000				1																							1		3							1																									
0	37	登录场景具体配置（极致）				2				200	7									8					0																									100	0		200000									800000				1																							0		3							0																									
0	38	登录场景具体配置（探索）				2				200	8									8					0																									100	0		200000									800000				1																							0		3							0																									
0	39	登录场景具体配置（沉浸）				2				200	9									8					0																									100	0		200000									800000				1																							0		3							0																									
0	40	协议动画是否配置（0、不改配置；1、只要不同就改；2、比目前的大就用；-1、比目前小就用，nShadowType代码里写了）	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	41	协议动画具体配置（最简）								200	1																																																							1																																																									
0	42	协议动画具体配置（简约）								200	2																																																							1																																																									
0	43	协议动画具体配置（均衡）								200	3																																																							1																																																									
0	44	协议动画具体配置（唯美）								200	4																																																							1																																																									
0	45	协议动画具体配置（高效）								200	5																																																							1																																																									
0	46	协议动画具体配置（电影）								200	6																																																							1																																																									
0	47	协议动画具体配置（极致）								200	7																																																							1																																																									
0	48	协议动画具体配置（探索）								200	8																																																							1																																																									
0	49	协议动画具体配置（沉浸）								200	9																																																							1																																																									
0	50	家园场景是否配置（0、不改配置；1、只要不同就改；2、比目前的大就用；-1、比目前小就用，nShadowType代码里写了）	0	0	0	0	0	0	0	200	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0	1	-1	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	51	家园场景具体配置（最简）								200	1		10	20																																						10000	8000	5000	2000		3000|4000|5000|7000	0	0	0		20000										6.5		9.5					8000																					16				1	20																		
0	52	家园场景具体配置（简约）								200	2		15	30																																						16000	16000	5000	2000		4000|5000|6000|8000	4000	4000	0		20000										6.5		9.5					8000																					16				1	20																		
0	53	家园场景具体配置（均衡）								200	3		20	50																																						16000	20000	20000	3000		6000|10000|15000|17000	7500	7500	5000		40000										5.5		5					10000																					8				1	40																		
0	54	家园场景具体配置（唯美）								200	4		80	80																																						560000	200000	40000	6000		12000|18000|23000|25000	20000	20000	10000		400000										3.5		3.8					40000																					2				1	90																		
0	55	家园场景具体配置（高效）								200	5		50	50																																						35000	35000	30000	5000		8000|13000|18000|20000	7500	7500	5000		50000										4.5		5					10000																					8				1	40																		
0	56	家园场景具体配置（电影）								200	6		50	50																																						70000	70000	30000	5000		10000|15000|20000|22000	15000	15000	8000		50000										4		4.8					15000																					2				1	90																		
0	57	家园场景具体配置（极致）								200	7		80	80																																						560000	200000	40000	6000		12000|18000|23000|25000	150000	150000	10000		800000										3.5		3.5					40000																					2				0	100																		
0	58	家园场景具体配置（探索）								200	8		80	80																																						560000	200000	40000	6000		12000|18000|23000|25000	150000	150000	10000		800000										3.5		3.5					40000																					2				0	100																		
0	59	家园场景具体配置（沉浸）								200	9		80	80																																						560000	200000	40000	6000		12000|18000|23000|25000	150000	150000	10000		800000										3.5		3.5					40000																					2				0	100																		
0	60	家园场景具体配置（最简 低配）								200	1		10	20																																						8000	7000	5000	2000		3000|4000|5000|7000	0	0	0		20000										6.5		15					0																					16				1	20																		
0	61	家园场景具体配置（简约 低配）								200	2		15	30																																						10000	8000	5000	2000		4000|5000|6000|8000	3000	3000	0		20000										6.5		9.5					8000																					16				1	20																		
0	62	家园场景具体配置（均衡 低配）								200	3		20	50																																						16000	20000	20000	3000		6000|10000|15000|17000	7500	7500	5000		40000										5.5		5					10000																					8				1	40																		
0	63	副本是否配置（0、不改配置；1、只要不同就改；2、比目前的大就用；-1、比目前小就用，nShadowType代码里写了）	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	64	副本场景具体配置（最简）								200	1																																											80000													2	3																																																							
0	65	副本场景具体配置（简约）								200	2																																											80000													2	3																																																							
0	66	副本场景具体配置（均衡）								200	3																																											80000													2	3																																																							
0	67	副本场景具体配置（唯美）								200	4																																											80000													2	3																																																							
0	68	副本场景具体配置（高效）								200	5																																											80000													2	3																																																							
0	69	副本场景具体配置（电影）								200	6																																											80000													2	3																																																							
0	70	副本场景具体配置（极致）								200	7																																											80000													2	3																																																							
0	71	副本场景具体配置（探索）								200	8																																											80000													2	3																																																							
0	72	副本场景具体配置（沉浸）								200	9																																											80000													2	3																																																							
0	73	828大事件场景是否配置（0、不改配置；1、只要不同就改；2、比目前的大就用；-1、比目前小就用，nShadowType代码里写了）	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	74	828大事件场景具体配置（最简）								200	1																																										16000									40000																																																													
0	75	828大事件场景具体配置（简约）								200	2																																										32000									40000																																																													
0	76	828大事件场景具体配置（均衡）								200	3																																										56000									80000																																																													
0	77	828大事件场景具体配置（唯美）								200	4																																										200000									800000																																																													
0	78	828大事件场景具体配置（高效）								200	5																																										70000									100000																																																													
0	79	828大事件场景具体配置（电影）								200	6																																										800000									800000																																																													
0	80	828大事件场景具体配置（极致）								200	7																																										800000									800000																																																													
0	81	828大事件场景具体配置（探索）								200	8																																										800000									800000																																																													
0	82	828大事件场景具体配置（沉浸）								200	9																																										800000									800000																																																													
0	83	特殊场景是否配置（0、不改配置；1、只要不同就改；2、比目前的大就用；-1、比目前小就用，nShadowType代码里写了）	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	84	特殊场景具体配置（最简）								200	1									0																																		80000													2	3																																																							
0	85	特殊场景具体配置（简约）								200	2									0																																		80000													2	3																																																							
0	86	特殊场景具体配置（均衡）								200	3									0																																		80000													2	3																																																							
0	87	特殊场景具体配置（唯美）								200	4									3																																		80000													2	3																																																							
0	88	特殊场景具体配置（高效）								200	5									1																																		80000													2	3																																																							
0	89	特殊场景具体配置（电影）								200	6									2																																		80000													2	3																																																							
0	90	特殊场景具体配置（极致）								200	7									3																																		80000													2	3																																																							
0	91	特殊场景具体配置（探索）								200	8									3																																		80000													2	3																																																							
0	92	特殊场景具体配置（沉浸）								200	9									3																																		80000													2	3																																																							
1	4	BD画质（低）				2			0	250	3	0	50	50	100	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	50	1	70000	70000	60000	10000	1	17125|20000|25000|68500	15000	15000	10000	0	100000	40	120	1	0	0	0	1	1	0	3	0.8	5	1	1	0	60	10000	0	67	0.8	0.8	0.4	0.4	0	0	90	0	0	3	0|0|0|0|0|0|0|0	0	4000	5000	8000	1	0	0	16	8000	7000	0	0	40	1	10|8|5	0	0	0	0	0		1	250	0	0	0	0	0	0	0	0
1	7	BD画质（中）				2			0	250	6	1	80	80	1000	0	0	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	50	1	70000	70000	60000	10000	1	17125|20000|25000|68500	30000	30000	16000	0	100000	80	640	1	0	0	0	1	1	0	2.5	0.8	4.5	1	1	0	80	20000	0	67	0.8	0.8	0.4	0.4	0	0	100	0	0	3	0|0|0|0|0|0|0|0	0	5000	6000	8000	1	0	0	16	8000	7000	0	1	90	1	10|8|5	0	0	0	0	0		1	250	0	0	0	0	0	0	0	0
1	8	BD画质（高）				2			0	250	7	1	100	100	1000	0	0	0	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	100	0	560000	200000	80000	12000	1	20000|25000|30000|80000	300000	300000	20000	0	800000	90	720	0	0	0	0	1	1	0	0	0.9	3	1	1	0	100	80000	1	67	0.8	0.8	0.4	0.4	0	0	100	0	0	3	0|0|0|0|0|0|0|0	0	5000	6000	8000	1	0	0	16	12000	11000	0	0	100	1	10|8|5	0	0	0	0	0		1	250	0	0	0	0	0	0	0	0
1	10	HD场景下的BD画质是否配置（0、不改配置；1、只要不同就改；2、比目前的大就用；-1、比目前小就用，nShadowType代码里写了）	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	13	HD场景下的BD画质（低）				2			0	200	3	1	80	80	1000	0	0	0	1	2	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	50	1	70000	70000	60000	10000	1	17125|20000|25000|68500	30000	30000	16000	0	100000	80	640	1	0	0	0	1	1	0	2.5	0.8	4.5	1	1	0	80	20000	0	67	0.8	0.8	0.4	0.4	0	0	100	0	0	3	0|0|0|0|0|0|0|0	0	5000	6000	8000	1	0	0	16	8000	7000	0	1	90	1	10|8|5	0	0	0	0	0			0	0	0	0	0	0	0	0	0
