SetID	UIID	ReplaceUIID	Desc
472	43346	48526	
473	43215	48385	
473	43241	48413	
473	43267	48441	
473	43293	48469	
473	43319	48497	
473	43345	48525	
474	43221	48391	
474	43247	48419	
474	43273	48447	
474	43299	48475	
474	43325	48503	
474	43351	48531	
475	43222	48392	
475	43248	48420	
475	43274	48448	
475	43300	48476	
475	43326	48504	
475	43352	48532	
476	43213	48383	
476	43239	48411	
476	43265	48439	
476	43291	48467	
476	43317	48495	
476	43343	48523	
477	43219	48389	
477	43245	48417	
477	43271	48445	
477	43297	48473	
477	43323	48501	
477	43349	48529	
478	43209	48379	
478	43235	48407	
478	43261	48435	
478	43287	48463	
478	43313	48491	
478	43339	48519	
479	43210	48380	
479	43236	48408	
479	43262	48436	
479	43288	48464	
479	43314	48492	
479	43340	48520	
480	43227	48397	
480	43253	48425	
480	43279	48453	
480	43305	48481	
480	43331	48509	
480	43357	48537	
481	43228	48398	
481	43254	48426	
481	43280	48454	
481	43306	48482	
481	43332	48510	
481	43358	48538	
482	43205	48375	
482	43231	48403	
482	43257	48431	
482	43283	48459	
482	43309	48487	
482	43335	48515	
483	43206	48376	
483	43232	48404	
483	43258	48432	
483	43284	48460	
483	43310	48488	
483	43336	48516	
484	43435	48621	
484	43461	48649	
484	43487	48677	
484	43513	48705	
484	43539	48733	
484	43565	48761	
485	43426	48612	
485	43452	48640	
485	43478	48668	
485	43504	48696	
485	43530	48724	
485	43556	48752	
486	43425	48611	
486	43451	48639	
486	43477	48667	
486	43503	48695	
486	43529	48723	
486	43555	48751	
487	43431	48617	
487	43457	48645	
487	43483	48673	
487	43509	48701	
487	43535	48729	
487	43561	48757	
488	43432	48618	
488	43458	48646	
488	43484	48674	
488	43510	48702	
488	43536	48730	
488	43562	48758	
489	43423	48609	
489	43449	48637	
489	43475	48665	
489	43501	48693	
489	43527	48721	
489	43553	48749	
490	43429	48615	
490	43455	48643	
490	43481	48671	
490	43507	48699	
490	43533	48727	
490	43559	48755	
491	43419	48605	
491	43445	48633	
491	43471	48661	
491	43497	48689	
491	43523	48717	
491	43549	48745	
492	43420	48606	
492	43446	48634	
492	43472	48662	
492	43498	48690	
492	43524	48718	
492	43550	48746	
493	43437	48623	
493	43463	48651	
493	43489	48679	
493	43515	48707	
493	43541	48735	
493	43567	48763	
494	43438	48624	
494	43464	48652	
494	43490	48680	
494	43516	48708	
494	43542	48736	
494	43568	48764	
495	43415	48601	
495	43441	48629	
495	43467	48657	
495	43493	48685	
495	43519	48713	
495	43545	48741	
496	43416	48602	
496	43442	48630	
496	43468	48658	
496	43494	48686	
496	43520	48714	
496	43546	48742	
535	46659	46660	
535	46667	46668	
535	46675	46676	
535	46683	46684	
535	46691	46692	
535	46699	46700	
540	47066	47296	
540	47068	47294	
540	47070	47298	
540	47072	47302	
540	47074	47300	
540	47076	47292	
550	47308	48401	
550	47310	48429	
550	47312	48457	
550	47314	48485	
550	47316	48513	
550	47318	48541	
551	47324	48627	
551	47326	48655	
551	47328	48683	
551	47330	48711	
551	47332	48739	
551	47334	48767	
627	53323	53325	
627	53331	53333	
627	53339	53341	
627	53347	53349	
627	53355	53357	
627	53363	53365	
628	53327	53329	
628	53335	53337	
628	53343	53345	
628	53351	53353	
628	53359	53361	
628	53367	53369	
631	53419	53451	
631	53423	53455	
631	53427	53459	
631	53431	53463	
631	53435	53467	
631	53439	53471	
632	53421	53453	
632	53425	53457	
632	53429	53461	
632	53433	53465	
632	53437	53469	
632	53441	53473	
633	53662	53817	
633	53664	53815	
633	53666	53819	
633	53668	53823	
633	53670	53821	
633	53672	53813	
639	53829	53993	
639	53831	53995	
639	53833	53997	
639	53835	53999	
639	53837	54001	
639	53839	54003	
640	53845	54009	
640	53847	54011	
640	53849	54013	
640	53851	54015	
640	53853	54017	
640	53855	54019	
1849	101211	101213	
1849	101215	101217	
1849	101219	101221	
1849	101223	101225	
1849	101227	101229	
1849	101231	101233	
1850	101210	101212	
1850	101214	101216	
1850	101218	101220	
1850	101222	101224	
1850	101226	101228	
1850	101230	101232	
1855	101275	101277	
1855	101279	101281	
1855	101283	101285	
1855	101287	101289	
1855	101291	101293	
1855	101295	101297	
1856	100929	100931	
1856	100933	100935	
1856	100937	100939	
1856	100941	100943	
1856	100945	100947	
1856	100949	100951	
1857	101274	101276	
1857	101278	101280	
1857	101282	101284	
1857	101286	101288	
1857	101290	101292	
1857	101294	101296	
1858	100928	100930	
1858	100932	100934	
1858	100936	100938	
1858	100940	100942	
1858	100944	100946	
1858	100948	100950	
1859	101243	101245	
1859	101247	101249	
1859	101251	101253	
1859	101255	101257	
1859	101259	101261	
1859	101263	101265	
1860	100897	100899	
1860	100901	100903	
1860	100905	100907	
1860	100909	100911	
1860	100913	100915	
1860	100917	100919	
1861	101242	101244	
1861	101246	101248	
1861	101250	101252	
1861	101254	101256	
1861	101258	101260	
1861	101262	101264	
1862	100896	100898	
1862	100900	100902	
1862	100904	100906	
1862	100908	100910	
1862	100912	100914	
1862	100916	100918	
1863	100842	101114	
1863	100844	101116	
1863	100846	101118	
1863	100848	101120	
1863	100850	101122	
1863	100852	101124	
1864	100843	101115	
1864	100845	101117	
1864	100847	101119	
1864	100849	101121	
1864	100851	101123	
1864	100853	101125	
1867	100865	100867	
1867	100869	100871	
1867	100873	100875	
1867	100877	100879	
1867	100881	100883	
1867	100885	100887	
1868	100710	100712	
1868	100714	100716	
1868	100718	100720	
1868	100722	100724	
1868	100726	100728	
1868	100730	100732	
1869	100709	100711	
1869	100713	100715	
1869	100717	100719	
1869	100721	100723	
1869	100725	100727	
1869	100729	100731	
1870	100864	100866	
1870	100868	100870	
1870	100872	100874	
1870	100876	100878	
1870	100880	100882	
1870	100884	100886	
1871	100776	100778	
1871	100780	100782	
1871	100784	100786	
1871	100788	100790	
1871	100792	100794	
1871	100796	100798	
1872	100775	100777	
1872	100779	100781	
1872	100783	100785	
1872	100787	100789	
1872	100791	100793	
1872	100795	100797	
1881	100412	100436	
1881	100416	100440	
1881	100420	100444	
1881	100424	100448	
1881	100428	100452	
1881	100432	100456	
1882	100410	100434	
1882	100414	100438	
1882	100418	100442	
1882	100422	100446	
1882	100426	100450	
1882	100430	100454	
1883	100388	100389	
1883	100392	100393	
1883	100396	100397	
1883	100400	100401	
1883	100404	100405	
1883	100408	100409	
1884	100386	100387	
1884	100390	100391	
1884	100394	100395	
1884	100398	100399	
1884	100402	100403	
1884	100406	100407	
1885	100280	100281	
1885	100284	100285	
1885	100288	100289	
1885	100292	100293	
1885	100296	100297	
1885	100300	100301	
1886	100278	100279	
1886	100282	100283	
1886	100286	100287	
1886	100290	100291	
1886	100294	100295	
1886	100298	100299	
1887	100256	100257	
1887	100260	100261	
1887	100264	100265	
1887	100268	100269	
1887	100272	100273	
1887	100276	100277	
1888	100254	100255	
1888	100258	100259	
1888	100262	100263	
1888	100266	100267	
1888	100270	100271	
1888	100274	100275	
1901	99425	99426	
1901	99429	99430	
1901	99435	99436	
1901	99445	99446	
1901	99449	99450	
1901	99453	99454	
1902	99391	99392	
1902	99395	99396	
1902	99401	99402	
1902	99411	99412	
1902	99415	99416	
1902	99419	99420	
1903	98810	98811	
1903	98814	98815	
1903	98820	98821	
1903	98830	98831	
1903	98834	98835	
1903	98838	98839	
1904	98776	98777	
1904	98780	98782	
1904	98785	98786	
1904	98795	98796	
1904	98799	98800	
1904	98803	98804	
1935	100304	100305	
1935	100308	100309	
1935	100312	100313	
1935	100316	100317	
1935	100320	100321	
1935	100324	100325	
1936	100302	100303	
1936	100306	100307	
1936	100310	100311	
1936	100314	100315	
1936	100318	100319	
1936	100322	100323	
2266	117102	117217	
2266	117125	117240	
2266	117148	117263	
2266	117171	117286	
2266	117194	117309	
2267	117103	117218	
2267	117126	117241	
2267	117149	117264	
2267	117172	117287	
2267	117195	117310	
2268	117104	117219	
2268	117127	117242	
2268	117150	117265	
2268	117173	117288	
2268	117196	117311	
2269	117105	117220	
2269	117128	117243	
2269	117151	117266	
2269	117174	117289	
2269	117197	117312	
2270	117106	117221	
2270	117129	117244	
2270	117152	117267	
2270	117175	117290	
2270	117198	117313	
2271	117107	117222	
2271	117130	117245	
2271	117153	117268	
2271	117176	117291	
2271	117199	117314	
2272	117108	117223	
2272	117131	117246	
2272	117154	117269	
2272	117177	117292	
2272	117200	117315	
2273	117109	117224	
2273	117132	117247	
2273	117155	117270	
2273	117178	117293	
2273	117201	117316	
2274	117110	117225	
2274	117133	117248	
2274	117156	117271	
2274	117179	117294	
2274	117202	117317	
2275	117111	117226	
2275	117134	117249	
2275	117157	117272	
2275	117180	117295	
2275	117203	117318	
2276	117112	117227	
2276	117135	117250	
2276	117158	117273	
2276	117181	117296	
2276	117204	117319	
2277	117113	117228	
2277	117136	117251	
2277	117159	117274	
2277	117182	117297	
2277	117205	117320	
2278	117114	117229	
2278	117137	117252	
2278	117160	117275	
2278	117183	117298	
2278	117206	117321	
2279	117115	117230	
2279	117138	117253	
2279	117161	117276	
2279	117184	117299	
2279	117207	117322	
2280	117116	117231	
2280	117139	117254	
2280	117162	117277	
2280	117185	117300	
2280	117208	117323	
2281	117117	117232	
2281	117140	117255	
2281	117163	117278	
2281	117186	117301	
2281	117209	117324	
2282	117118	117233	
2282	117141	117256	
2282	117164	117279	
2282	117187	117302	
2282	117210	117325	
2283	117119	117234	
2283	117142	117257	
2283	117165	117280	
2283	117188	117303	
2283	117211	117326	
2284	117120	117235	
2284	117143	117258	
2284	117166	117281	
2284	117189	117304	
2284	117212	117327	
2285	117121	117236	
2285	117144	117259	
2285	117167	117282	
2285	117190	117305	
2285	117213	117328	
2286	117122	117237	
2286	117145	117260	
2286	117168	117283	
2286	117191	117306	
2286	117214	117329	
2287	117123	117238	
2287	117146	117261	
2287	117169	117284	
2287	117192	117307	
2287	117215	117330	
2288	117124	117239	
2288	117147	117262	
2288	117170	117285	
2288	117193	117308	
2288	117216	117331	
2396	118711	119595	
2396	118717	119601	
2396	118723	119607	
2396	118729	119613	
2396	118735	119619	
2396	118741	119625	
2397	118712	119596	
2397	118718	119602	
2397	118724	119608	
2397	118730	119614	
2397	118736	119620	
2397	118742	119626	
2398	118713	119597	
2398	118719	119603	
2398	118725	119609	
2398	118731	119615	
2398	118737	119621	
2398	118743	119627	
2399	118714	119598	
2399	118720	119604	
2399	118726	119610	
2399	118732	119616	
2399	118738	119622	
2399	118744	119628	
2400	118715	119599	
2400	118721	119605	
2400	118727	119611	
2400	118733	119617	
2400	118739	119623	
2400	118745	119629	
2401	118716	119600	
2401	118722	119606	
2401	118728	119612	
2401	118734	119618	
2401	118740	119624	
2401	118746	119630	
2438	123425	123540	
2438	123448	123563	
2438	123471	123586	
2438	123494	123609	
2438	123517	123632	
2439	123426	123541	
2439	123449	123564	
2439	123472	123587	
2439	123495	123610	
2439	123518	123633	
2440	123427	123542	
2440	123450	123565	
2440	123473	123588	
2440	123496	123611	
2440	123519	123634	
2441	123428	123543	
2441	123451	123566	
2441	123474	123589	
2441	123497	123612	
2441	123520	123635	
2442	123429	123544	
2442	123452	123567	
2442	123475	123590	
2442	123498	123613	
2442	123521	123636	
2443	123430	123545	
2443	123453	123568	
2443	123476	123591	
2443	123499	123614	
2443	123522	123637	
2444	123431	123546	
2444	123454	123569	
2444	123477	123592	
2444	123500	123615	
2444	123523	123638	
2445	123432	123547	
2445	123455	123570	
2445	123478	123593	
2445	123501	123616	
2445	123524	123639	
2446	123433	123548	
2446	123456	123571	
2446	123479	123594	
2446	123502	123617	
2446	123525	123640	
2447	123434	123549	
2447	123457	123572	
2447	123480	123595	
2447	123503	123618	
2447	123526	123641	
2448	123435	123550	
2448	123458	123573	
2448	123481	123596	
2448	123504	123619	
2448	123527	123642	
2449	123436	123551	
2449	123459	123574	
2449	123482	123597	
2449	123505	123620	
2449	123528	123643	
2450	123437	123552	
2450	123460	123575	
2450	123483	123598	
2450	123506	123621	
2450	123529	123644	
2451	123438	123553	
2451	123461	123576	
2451	123484	123599	
2451	123507	123622	
2451	123530	123645	
2452	123439	123554	
2452	123462	123577	
2452	123485	123600	
2452	123508	123623	
2452	123531	123646	
2453	123440	123555	
2453	123463	123578	
2453	123486	123601	
2453	123509	123624	
2453	123532	123647	
2454	123441	123556	
2454	123464	123579	
2454	123487	123602	
2454	123510	123625	
2454	123533	123648	
2455	123442	123557	
2455	123465	123580	
2455	123488	123603	
2455	123511	123626	
2455	123534	123649	
2456	123443	123558	
2456	123466	123581	
2456	123489	123604	
2456	123512	123627	
2456	123535	123650	
2457	123444	123559	
2457	123467	123582	
2457	123490	123605	
2457	123513	123628	
2457	123536	123651	
2458	123445	123560	
2458	123468	123583	
2458	123491	123606	
2458	123514	123629	
2458	123537	123652	
2459	123446	123561	
2459	123469	123584	
2459	123492	123607	
2459	123515	123630	
2459	123538	123653	
2460	123447	123562	
2460	123470	123585	
2460	123493	123608	
2460	123516	123631	
2460	123539	123654	
2591	126761	126876	
2591	126784	126899	
2591	126807	126922	
2591	126830	126945	
2591	126853	126968	
2592	126762	126877	
2592	126785	126900	
2592	126808	126923	
2592	126831	126946	
2592	126854	126969	
2593	126763	126878	
2593	126786	126901	
2593	126809	126924	
2593	126832	126947	
2593	126855	126970	
2594	126764	126879	
2594	126787	126902	
2594	126810	126925	
2594	126833	126948	
2594	126856	126971	
2595	126765	126880	
2595	126788	126903	
2595	126811	126926	
2595	126834	126949	
2595	126857	126972	
2596	126766	126881	
2596	126789	126904	
2596	126812	126927	
2596	126835	126950	
2596	126858	126973	
2597	126767	126882	
2597	126790	126905	
2597	126813	126928	
2597	126836	126951	
2597	126859	126974	
2598	126768	126883	
2598	126791	126906	
2598	126814	126929	
2598	126837	126952	
2598	126860	126975	
2599	126769	126884	
2599	126792	126907	
2599	126815	126930	
2599	126838	126953	
2599	126861	126976	
2600	126770	126885	
2600	126793	126908	
2600	126816	126931	
2600	126839	126954	
2600	126862	126977	
2601	126771	126886	
2601	126794	126909	
2601	126817	126932	
2601	126840	126955	
2601	126863	126978	
2602	126772	126887	
2602	126795	126910	
2602	126818	126933	
2602	126841	126956	
2602	126864	126979	
2603	126773	126888	
2603	126796	126911	
2603	126819	126934	
2603	126842	126957	
2603	126865	126980	
2604	126774	126889	
2604	126797	126912	
2604	126820	126935	
2604	126843	126958	
2604	126866	126981	
2605	126775	126890	
2605	126798	126913	
2605	126821	126936	
2605	126844	126959	
2605	126867	126982	
2606	126776	126891	
2606	126799	126914	
2606	126822	126937	
2606	126845	126960	
2606	126868	126983	
2607	126777	126892	
2607	126800	126915	
2607	126823	126938	
2607	126846	126961	
2607	126869	126984	
2608	126778	126893	
2608	126801	126916	
2608	126824	126939	
2608	126847	126962	
2608	126870	126985	
2609	126779	126894	
2609	126802	126917	
2609	126825	126940	
2609	126848	126963	
2609	126871	126986	
2610	126780	126895	
2610	126803	126918	
2610	126826	126941	
2610	126849	126964	
2610	126872	126987	
2611	126781	126896	
2611	126804	126919	
2611	126827	126942	
2611	126850	126965	
2611	126873	126988	
2612	126782	126897	
2612	126805	126920	
2612	126828	126943	
2612	126851	126966	
2612	126874	126989	
2613	126783	126898	
2613	126806	126921	
2613	126829	126944	
2613	126852	126967	
2613	126875	126990	
3496	144742	149107	
3496	144763	149128	
3496	144784	149149	
3496	144826	149191	
3496	144847	149212	
3497	144743	149108	
3497	144764	149129	
3497	144785	149150	
3497	144827	149192	
3497	144848	149213	
3498	144744	149109	
3498	144765	149130	
3498	144786	149151	
3498	144828	149193	
3498	144849	149214	
3499	144745	149110	
3499	144766	149131	
3499	144787	149152	
3499	144829	149194	
3499	144850	149215	
3500	144746	149111	
3500	144767	149132	
3500	144788	149153	
3500	144830	149195	
3500	144851	149216	
3501	144747	149112	
3501	144768	149133	
3501	144789	149154	
3501	144831	149196	
3501	144852	149217	
3502	144748	149113	
3502	144769	149134	
3502	144790	149155	
3502	144832	149197	
3502	144853	149218	
3503	144749	149114	
3503	144770	149135	
3503	144791	149156	
3503	144833	149198	
3503	144854	149219	
3504	144750	149115	
3504	144771	149136	
3504	144792	149157	
3504	144834	149199	
3504	144855	149220	
3505	144751	149116	
3505	144772	149137	
3505	144793	149158	
3505	144835	149200	
3505	144856	149221	
3506	144752	149117	
3506	144773	149138	
3506	144794	149159	
3506	144836	149201	
3506	144857	149222	
3507	144753	149118	
3507	144774	149139	
3507	144795	149160	
3507	144837	149202	
3507	144858	149223	
3508	144754	149119	
3508	144775	149140	
3508	144796	149161	
3508	144838	149203	
3508	144859	149224	
3509	144755	149120	
3509	144776	149141	
3509	144797	149162	
3509	144839	149204	
3509	144860	149225	
3510	144756	149121	
3510	144777	149142	
3510	144798	149163	
3510	144840	149205	
3510	144861	149226	
3511	144757	149122	
3511	144778	149143	
3511	144799	149164	
3511	144841	149206	
3511	144862	149227	
3512	144758	149123	
3512	144779	149144	
3512	144800	149165	
3512	144842	149207	
3512	144863	149228	
3513	144759	149124	
3513	144780	149145	
3513	144801	149166	
3513	144843	149208	
3513	144864	149229	
3514	144760	149125	
3514	144781	149146	
3514	144802	149167	
3514	144844	149209	
3514	144865	149230	
3515	144761	149126	
3515	144782	149147	
3515	144803	149168	
3515	144845	149210	
3515	144866	149231	
3516	144762	149127	
3516	144783	149148	
3516	144804	149169	
3516	144846	149211	
3516	144867	149232	
3517	144026	148391	
3517	144047	148412	
3517	144068	148433	
3517	144110	148475	
3517	144131	148496	
3518	144027	148392	
3518	144048	148413	
3518	144069	148434	
3518	144111	148476	
3518	144132	148497	
3519	144028	148393	
3519	144049	148414	
3519	144070	148435	
3519	144112	148477	
3519	144133	148498	
3520	144029	148394	
3520	144050	148415	
3520	144071	148436	
3520	144113	148478	
3520	144134	148499	
3521	144030	148395	
3521	144051	148416	
3521	144072	148437	
3521	144114	148479	
3521	144135	148500	
3522	144031	148396	
3522	144052	148417	
3522	144073	148438	
3522	144115	148480	
3522	144136	148501	
3523	144032	148397	
3523	144053	148418	
3523	144074	148439	
3523	144116	148481	
3523	144137	148502	
3524	144033	148398	
3524	144054	148419	
3524	144075	148440	
3524	144117	148482	
3524	144138	148503	
3525	144034	148399	
3525	144055	148420	
3525	144076	148441	
3525	144118	148483	
3525	144139	148504	
3526	144035	148400	
3526	144056	148421	
3526	144077	148442	
3526	144119	148484	
3526	144140	148505	
3527	144036	148401	
3527	144057	148422	
3527	144078	148443	
3527	144120	148485	
3527	144141	148506	
3528	144037	148402	
3528	144058	148423	
3528	144079	148444	
3528	144121	148486	
3528	144142	148507	
3529	144038	148403	
3529	144059	148424	
3529	144080	148445	
3529	144122	148487	
3529	144143	148508	
3530	144039	148404	
3530	144060	148425	
3530	144081	148446	
3530	144123	148488	
3530	144144	148509	
3531	144040	148405	
3531	144061	148426	
3531	144082	148447	
3531	144124	148489	
3531	144145	148510	
3532	144041	148406	
3532	144062	148427	
3532	144083	148448	
3532	144125	148490	
3532	144146	148511	
3533	144042	148407	
3533	144063	148428	
3533	144084	148449	
3533	144126	148491	
3533	144147	148512	
3534	144043	148408	
3534	144064	148429	
3534	144085	148450	
3534	144127	148492	
3534	144148	148513	
3535	144044	148409	
3535	144065	148430	
3535	144086	148451	
3535	144128	148493	
3535	144149	148514	
3536	144045	148410	
3536	144066	148431	
3536	144087	148452	
3536	144129	148494	
3536	144150	148515	
3537	144046	148411	
3537	144067	148432	
3537	144088	148453	
3537	144130	148495	
3537	144151	148516	
3538	144384	148749	
3538	144405	148770	
3538	144426	148791	
3538	144468	148833	
3538	144489	148854	
3539	144385	148750	
3539	144406	148771	
3539	144427	148792	
3539	144469	148834	
3539	144490	148855	
3540	144386	148751	
3540	144407	148772	
3540	144428	148793	
3540	144470	148835	
3540	144491	148856	
3541	144387	148752	
3541	144408	148773	
3541	144429	148794	
3541	144471	148836	
3541	144492	148857	
3542	144388	148753	
3542	144409	148774	
3542	144430	148795	
3542	144472	148837	
3542	144493	148858	
3543	144389	148754	
3543	144410	148775	
3543	144431	148796	
3543	144473	148838	
3543	144494	148859	
3544	144390	148755	
3544	144411	148776	
3544	144432	148797	
3544	144474	148839	
3544	144495	148860	
3545	144391	148756	
3545	144412	148777	
3545	144433	148798	
3545	144475	148840	
3545	144496	148861	
3546	144392	148757	
3546	144413	148778	
3546	144434	148799	
3546	144476	148841	
3546	144497	148862	
3547	144393	148758	
3547	144414	148779	
3547	144435	148800	
3547	144477	148842	
3547	144498	148863	
3548	144394	148759	
3548	144415	148780	
3548	144436	148801	
3548	144478	148843	
3548	144499	148864	
3549	144395	148760	
3549	144416	148781	
3549	144437	148802	
3549	144479	148844	
3549	144500	148865	
3550	144396	148761	
3550	144417	148782	
3550	144438	148803	
3550	144480	148845	
3550	144501	148866	
3551	144397	148762	
3551	144418	148783	
3551	144439	148804	
3551	144481	148846	
3551	144502	148867	
3552	144398	148763	
3552	144419	148784	
3552	144440	148805	
3552	144482	148847	
3552	144503	148868	
3553	144399	148764	
3553	144420	148785	
3553	144441	148806	
3553	144483	148848	
3553	144504	148869	
3554	144400	148765	
3554	144421	148786	
3554	144442	148807	
3554	144484	148849	
3554	144505	148870	
3555	144401	148766	
3555	144422	148787	
3555	144443	148808	
3555	144485	148850	
3555	144506	148871	
3556	144402	148767	
3556	144423	148788	
3556	144444	148809	
3556	144486	148851	
3556	144507	148872	
3557	144403	148768	
3557	144424	148789	
3557	144445	148810	
3557	144487	148852	
3557	144508	148873	
3558	144404	148769	
3558	144425	148790	
3558	144446	148811	
3558	144488	148853	
3558	144509	148874	
4644	185699	185025;180609	降龙伏虎·七宝护手 / 骇风怒浪·等差无别护手
4644	185723	185049;180633	降龙伏虎·七宝腰带 / 骇风怒浪·等差无别腰带
4644	185747	185073;180657	降龙伏虎·七宝靴 / 骇风怒浪·等差无别靴
4644	185795	185121;180705	降龙伏虎·七宝冠 / 骇风怒浪·等差无别冠
4644	185819	185145;180729	降龙伏虎·七宝衣 / 骇风怒浪·等差无别衣
4645	185700	185026;180610	降龙伏虎·赋诗护手 / 骇风怒浪·催觞云叠护手
4645	185724	185050;180634	降龙伏虎·赋诗腰带 / 骇风怒浪·催觞云叠腰带
4645	185748	185074;180658	降龙伏虎·赋诗靴 / 骇风怒浪·催觞云叠靴
4645	185796	185122;180706	降龙伏虎·赋诗冠 / 骇风怒浪·催觞云叠冠
4645	185820	185146;180730	降龙伏虎·赋诗衣 / 骇风怒浪·催觞云叠衣
4646	185701	185027;180611	降龙伏虎·月窟护手 / 骇风怒浪·扶杳疏信护手
4646	185725	185051;180635	降龙伏虎·月窟腰带 / 骇风怒浪·扶杳疏信腰带
4646	185749	185075;180659	降龙伏虎·月窟靴 / 骇风怒浪·扶杳疏信靴
4646	185797	185123;180707	降龙伏虎·月窟冠 / 骇风怒浪·扶杳疏信冠
4646	185821	185147;180731	降龙伏虎·月窟衣 / 骇风怒浪·扶杳疏信衣
4647	185702	185028;180612	降龙伏虎·春归护手 / 骇风怒浪·银絮云征护手
4647	185726	185052;180636	降龙伏虎·春归腰带 / 骇风怒浪·银絮云征腰带
4647	185750	185076;180660	降龙伏虎·春归靴 / 骇风怒浪·银絮云征靴
4647	185798	185124;180708	降龙伏虎·春归冠 / 骇风怒浪·银絮云征冠
4647	185822	185148;180732	降龙伏虎·春归衣 / 骇风怒浪·银絮云征衣
4648	185703	185029;180613	降龙伏虎·山间护手 / 骇风怒浪·非古川风护手
