Force	Generation	Name	Character	Desc	bOutOfPrint	nVersion	nGainWayType
10	8	夜曜影刃		<text>text="惊虹贯白日，挟电破疾风。敛衣舐血刃，影没残月升。" font=100 </text>			
10	9	熠焱圣使		<text>text="道阻兮难行，熠耀兮高明，焱炽兮煌煌，魂归兮彼方。" font=100 </text>			
21	1	轻眉		<text>text="长孙忘情门下,煞染轻眉。" font=100 </text>
21	2	流缘		<text>text="风夜北门下，流缘何处。" font=100 </text>			
21	3	觅雪		<text>text="宋森雪门下，谁人觅雪。" font=100 </text>			
21	4	万劫		<text>text="王不空门下，万劫降秽。" font=100 </text>			
21	5	星河		<text>text="申屠远门下，弓挽星河。" font=100 </text>			
21	6	潋滟		<text>text="燕忆眉门下，潋滟无岸。" font=100 </text>			
21	7	引月		<text>text="薛直门下，引月雕云。" font=100 </text>			
21	8	淬血霜锋		<text>text="狂饮黄泉酒千盏，血战淬锋发霜硎。" font=100 </text>			
21	9	劫煞修罗		<text>text="劫火锻身魂不殁，雁关横刃铸修罗。" font=100 </text>			
22	1	流霆		<text>text="门主杨逸飞门下，静水流霆。" font=100 </text>			
22	2	折仙		<text>text="门主杨逸飞门下，仙凡折腰。" font=100 </text>			
22	3	道子		<text>text="道子杨青月门下，大道自然。" font=100 </text>			
22	4	真幻		<text>text="幻魔心韩非池门下，往生幻梦。" font=100 </text>			
22	5	遗音		<text>text="古脉弦歌赵宫商门下，大圣遗音。" font=100 </text>			
22	6	载川		<text>text="前缘相知张婉玉门下，文心载川。" font=100 </text>			
22	7	鸾翔		<text>text="闭目晓音康念门下，静夜听鸾。" font=100 </text>			
22	8	一心		<text>text="一气倾楼凤息颜门下，一心二意。" font=100 </text>			
22	9	惊雷		<text>text="九变玉徽崖牙门下，百变惊雷。" font=100 </text>			
22	10	濯世雅音		<text>text="采斫梧桐枝，洋洋抚雅音。弦歌悠千载，渊乎乐不淫。" font=100 </text>			
22	11	剑歌侠影		<text>text="弹铗剑歌新丰市，扬眉轻笑蔑王侯。把酒洗刃青光冷，探丸夜行逍遥游。" font=100 </text>			
23	1	归雁		<text>text="三庄主柳静海门下，雁归何处。" font=100 </text>			
23	2	命途		<text>text="三庄主柳静海门下，莫测命途。" font=100 </text>			
23	3	夕容		<text>text="三庄主柳静海门下，悠悠夕颜。" font=100 </text>			
23	4	惊澜		<text>text="大庄主柳惊涛门下，澜卷惊涛。" font=100 </text>			
23	5	吞吴		<text>text="二庄主柳浮云门下，力吞东吴。" font=100 </text>			
23	6	月痕		<text>text="柳弄痕门下，霜月秋痕。" font=100 </text>			
23	7	朝容		<text>text="柳夕门下，朝发花容。" font=100 </text>			
23	8	惊梦刀客		<text>text="谁惊浮生如梦，一刀斩断三生。" font=100 </text>			
23	9	刀狂		<text>text="风疾雨骤，太行狂歌；狂歌痛饮，刀法如神。" font=100 </text>			
24	1	纵横		<text>text="蓬莱门主方乾门下，革旧图新，百家争鸣。" font=100 </text>			
24	2	岐黄		<text>text="医宗宗主温蘅门下，素心妙手，悬壶济世。" font=100 </text>			
24	3	神机		<text>text="墨宗宗主武长生门下，匠心独具，神机百变。" font=100 </text>			
24	4	无为		<text>text="道宗宗主李清宁门下，大道无形，道法自然。" font=100 </text>			
24	5	修权		<text>text="法宗宗主韩昼门下，法不阿贵，绳不挠曲。" font=100 </text>			
24	6	乘云仙客		<text>text="步流云以飘摇兮，历四海之逍遥。" font=100 </text>			
24	7	洞玄仙君		<text>text="悟太虚以窥道兮，极天问而求索。" font=100 </text>			
25	1	长安古意		<text>text="古意飘零登楼眺，明月从来照长安。" font=100 </text>			
25	2	锦官花重		<text>text="晓看红湿处，花重锦官城。" font=100 </text>			
25	3	瞿塘峥嵘		<text>text="瞿塘晴色露崔嵬，巫峡云涛卷峥嵘。" font=100 </text>			
25	4	苍山雪月		<text>text="苍山万重残雪夜，月出云海人未还。" font=100 </text>			
25	5	洛阳归雁		<text>text="乡书何处达，归雁洛阳边。" font=100 </text>			
25	6	广陵残月		<text>text="广陵尘，残月冷，落花去，断红尘。" font=100 </text>			
25	7	鬼面无心		<text>text="太白有雪，松风幽吟，鬼面玄裳，无情无心，山河万里，誓忠吾皇。" font=100 </text>			
25	8	覆血修罗		<text>text="风萧萧兮，隐龙出渊，提刃浴血，修罗抬眼，饮罢黄泉，护吾社稷。" font=100 </text>			
211	1	天极		<text>text="老宗主袁天纲门下，天之枢纽，守道之源。" font=100 </text>			
211	2	紫微		<text>text="紫微君萧卿云门下，中宫知微，星仪浑天。" font=100 </text>			
211	3	太微		<text>text="太微君聂无极门下，列象昭昭，诸法备严。" font=100 </text>			
211	4	天市		<text>text="天市君墨非门下，周流繁华，顺天之轨。" font=100 </text>			
211	5	少微		<text>text="少微君处月风门下，处士精学，归隐西垣。" font=100 </text>			
211	6	鸿蒙算子		<text>text="五行不悖，星运有常。大小九州，天机衍算。" font=100 </text>			
211	7	天命始终		<text>text="象生高天，地有五德。奉天证道，存节知命。" font=100 </text>			
212	1	灵兰		<text>text="药宗宗主陈月门下，名传圣手，灵兰秘授。" font=100 </text>			
212	2	探微		<text>text="轩岐长老秦素问门下，探微索隐，钩深致远。" font=100 </text>			
212	3	百药		<text>text="刀圭长老陈梦麟门下，琼藻新栽，百药御疾。" font=100 </text>			
212	4	鬼手		<text>text="鬼手侠医秦铮门下，乌刃藏锋，来去无迹。" font=100 </text>			
212	5	巫祝		<text>text="奉祀通灵完颜祭门下，天佑长白，万物灵生。" font=100 </text>			
212	6	侍草药生		<text>text="四时阴阳，万物根本，草木知节，乃入药门。" font=100 </text>			
212	7	金匮药师		<text>text="精勤博访，方臻理要，百草尽纳，以遂夙心。" font=100 </text>
213	1	孤客		<text>text="刀宗宗主谢云流门下，且歌且侠，流俗无畏。" font=100 </text>			
213	2	扬世		<text>text="浪游刀主浪三归门下，是非之间，江湖之远。" font=100 </text>			
213	3	末刀		<text>text="流芳刀主练红洗门下，千帆万影，有刀传世。" font=100 </text>			
213	4	钩玄		<text>text="洞幽刀主莫铭门下，生死短长，一武道尽。" font=100 </text>			
213	5	不惧堂弟子		<text>text="敢作敢为，通身是胆。不惧不畏，少年英侠。" font=100 </text>			
213	6	小刀主		<text>text="才学兼优，武技高强。分堂表率，宗门新星。" font=100 </text>	
214	1	万灵		<text>text="苍梧君颂少风门下，尘间万灵，皆入吾心。" font=100 </text>			
214	2	扶光		<text>text="长川卿颂山门下，扶光辽远，四野皆明。" font=100 </text>			
214	3	聆语		<text>text="麓岚卿颂挽音门下，苍麓叠翠，闻灵轻语。" font=100 </text>			
214	4	风泽		<text>text="回苏卿颂静竹门下，风拂山泽，渐生苏息。" font=100 </text>			
214	5	小兽王		<text>text="鸟兽作友，江湖不孤。" font=100 </text>			
