ID	Length	String
STR_TIP_JING	87	<text>text="精" font=65 </text><text>text="\\\n表示你的双倍阅历时间。" font=106 </text>
STR_TIP_QI	87	<text>text="气" font=65 </text><text>text="\\\n表示你的双倍内功时间。" font=106 </text>
STR_TIP_SHEN	153	<text>text="神" font=65 </text><text>text="\\\n你的技艺修炼和快速传送需要消耗这个值，当这个值为零时，你将不能进行技艺和快速传送的操作。" font=106 </text>
STR_TITLE_REPUTATION	4	声望
STR_REPUTATION_FORCE	4	势力
STR_TITLE_REPULEVEL	8	声望等级
STR_TITLE_RIDE	4	坐骑
STR_TITLE_BAG	4	背包
STR_TITLE_SKILL	4	武学
STR_SKILLTAB_JC	4	基础
STR_SKILLTAB_JH	4	江湖
STR_SKILLTAB_CY	4	纯阳
STR_SKILLTAB_QX	4	七秀
STR_SKILLTAB_SL	4	少林
STR_SKILLTAB_TC	4	天策
STR_SKILLTAB_WH	4	万花
STR_CRAFT_FX	4	佛学
STR_CRAFT_DX	4	道学
STR_CRAFT_ZJ	4	杂集
STR_CRAFT_READ	4	阅读
STR_CRAFT_READFINISH	8	完成阅读
STR_CRAFT_COPY	4	抄录
STR_CRAFT_COST	18	草纸2,神10,阅读250
STR_CRAFT_MAKE	4	制造
STR_CRAFT_MAKEALL	8	全部制造
STR_TITLE_FRIEND	4	好友
STR_FRIEND_ADDFRIEND	8	添加好友
STR_TITLE_PARTY	4	队伍
STR_FREE_FOR_ALL	8	自由拾取
STR_PARTY_PICK_UP	8	队伍拾取
STR_TIP_DELFRIENDGROUP	14	删除一个分组。
STR_TIP_PARTYMANAGE	26	在这里可以对队伍进行管理。
STR_TIP_ROLLMINI	94	你可以在下方看到这项物品离结束分配还有多少时间，如果你需要这件物品，请尽快结束其他物品的分配。
STR_TITLE_FACTION	4	帮会
STR_TITLE_QUEST	4	任务
STR_QUEST_ACCEPT	8	接受任务
STR_QUEST_TRACK	4	追踪
STR_QUEST_CANCEL	4	放弃
STR_QUEST_SHARE	4	共享
STR_TIP_SHOWQUEST	94	将选定任务的任务状况显示在主界面上，以便于你可以随时查看。对已追踪的任务使用这个键将取消追踪。
STR_TIP_DELQUEST	124	取消选定的任务，将其从任务日志中去除。相关任务物品会保留在你的物品栏里，你可以重新去接受这个任务。放弃任务不会给你任何惩罚。
STR_TIP_SHAREQUEST	50	与你的队友共享这个任务，共享时他必须位于你的周围。
STR_MIDDLEMAP_ENTER	12	进入世界地图
STR_MINIMAP_BIGMAP	1	M
STR_MINIMAP_ZOOMOUT	1	+
STR_TITLE_SHOP	4	商店
STR_SHOP_PAGENUM	5	第1页
STR_SHOP_SALE	4	出售
STR_SHOP_BUYBACK	4	回购
STR_TIP_REPAIR	91	<text>text="修理" font=65 </text><text>text="\\\n修理一件你所指定的物品。" font=106 </text>
STR_TIP_REPAIRALL	97	<text>text="全部修理" font=65 </text><text>text="\\\n修理你身上所有损坏的物品。" font=106 </text>
STR_TITLE_BANK	6	储物箱
STR_MAIL_RECEIVE	4	收信
STR_MAIL_SEND	4	寄信
STR_MAIL_DELETE	4	删除
STR_MAIL_FORWARD	8	转发信件
STR_MAIL_REPLY	8	回复信件
STR_MAIL_DELIVER	8	发送信件
STR_MAIL_TO	8	收件人：
STR_MAIL_STITLE	10	信件主题：
STR_TITLE_TRADE	4	交易
STR_TITLE_TALK	4	对话
STR_TITLE_LOOT	4	拾取
STR_REVIVE_YES	8	原地疗伤
STR_REVIVE_NO	10	复活点复活
STR_TIP_VOICESET	36	你可以根据需要在这里调节音乐和音效。
STR_SOUND_SETTING	8	声音设置
STR_MAIN_VOLUME	6	主音量
STR_SILENCE	4	静音
STR_UISOUND	8	界面音效
STR_ERRORSOUND	8	错误提示
STR_SPEAK	8	角色对话
STR_SCENESOUND	8	场景音效
STR_ROLESOUND	8	角色音效
STR_BGMUSIC	8	背景音乐
STR_BGMUSICLOOP	8	循环播放
STR_TIP_SCREENSET	122	你可以根据需要调节你的图像设置以获得更好的游戏运行效果，它们包括修改你的画面分辨率，更好的抗锯齿效果，更多的光影特效等等。
STR_TITLE_UISET	8	界面设置
STR_UISET_NN	11	显示NPC名字
STR_TIP_HOTKEYSET	32	你可以在这里改变你的快捷键设置。
STR_TITLE_HOTKEY	10	快捷键设置
STR_HOTKEY_DEFAULT	8	恢复默认
STR_HOTKEY_CLEAR	4	清除
STR_RETURNLOGIN	12	返回登录界面
STR_RETURNCHARA	12	返回角色选择
STR_QUITGAME	8	退出游戏
STR_RETURNGAME	8	返回游戏
STR_TIP_EXITGAME	52	关闭你的游戏，如果你需要继续游戏，建议不要选择此项。
STR_TIP_BACKTOGAME	24	关闭这个界面，继续游戏。
STR_BUY	4	购买
STR_SEARCH	4	查找
STR_SEARCH2	4	搜索
STR_SURE	4	确定
STR_CANCEL	4	取消
STR_GOODBYE	4	告辞
STR_RETURN	4	返回
STR_BACK	4	后退
STR_CLOSE	4	关闭
STR_TESTNUM1	1	9
STR_TESTNUM2	2	99
STR_TESTNUM3	3	999
STR_TESTNUM4	4	9999
STR_TESTNUM5	7	129/999
STR_TESTNUM6	6	0/9999
STR_TESTNUM7	9	1200~9999
STR_TESTTEXT1	8	未知目标
STR_TITLE_MOVIE	8	片头动画
STR_TITLE_STUFF	8	制作人员
STR_TITLE_REGISTER	8	注册账号
STR_TITLE_FIND_PASSWORD	8	忘记密码
STR_TITLE_RECHARGE	8	账号充值
STR_TITLE_SERVERLIST	16	大区与服务器选择
STR_TITLE_NEXT	6	下一步
STR_NAME	6	角色名
STR_WHOLE_NAME	8	角色名称
STR_FACESTYLE	4	脸型
STR_HAIRSTYLE	4	头型
STR_DRESS	4	衣服
STR_TITLE_LOGIN_HOMEPLACE	10	选择新手村
STR_LOGIN_HOMEPLACE_01	7	新手村A
STR_TITLE_NOW_SERVER	10	当前服务器
STR_ADD_ON_MGR	8	插件管理
STR_TITLE_ENTER_GAME	8	进入游戏
STR_LABEL_ACCOUNT	4	账号
STR_LABEL_PASSWORD	4	密码
STR_AUTO_LOGIN	8	记住账号
STR_LOGIN_DELETECHAR	28	请输入以下内容以确认删除角色
STR_AUTO_LOGIN	8	自动登录
STR_SEND	4	共享
STR_SAVE	4	保存
STR_BREATH	4	呼吸
STR_SKILL_STUDY	4	学习
STR_TIP_REPUCHECK	65	勾选这个选项后，你将会向这个势力开战，你可以攻击所有该势力的NPC。
STR_RETURN_MAIL	4	退信
STR_LOGIN_ROLE_NAME	23	角色名只能输入2~6个汉字
STR_BIND_A1	16	绑定快捷栏第一页
STR_BIND_A2	16	绑定快捷栏第二页
STR_BIND_A3	16	绑定快捷栏第三页
STR_BIND_AN	12	不绑定快捷栏
STR_TITLE_MYSTIQUE	4	秘笈
STR_EQUIP_AMICE	8	背部挂件
STR_PROPERTY_INFO	4	属性
STR_PROPERTY_DEFEND	4	防御
STR_MARKET_NAME	4	名称
STR_MARKET_AMEND	8	修改价格
STR_MARKET_Stop	4	收摊
STR_MATCH_ITME_COUNT	8	参赛物件
STR_MARKET_MARKETSETTING	8	摊位设置
STR_MARKET_HISTORY	8	交易查看
STR_MARKET_MARKETNAME	4	摊位
STR_MARKET_HISTORYNAME	4	查看
STR_MARKET_MARKETTRADE	8	查看摊位
STR_VIDEO_BASICSETTING	8	基础设置
STR_CRAFT_THEW	4	精力
STR_FRIEND_ENEMY	4	劲敌
STR_UISET_ELSEDISPLAY	12	其他显示选项
STR_TIP_MYSTIQUETIP	87	<text>text="秘笈" font=65 </text><text>text="\\\n点击打开秘笈装备界面" font=106 </text>
STR_BAG_SPLIT	4	拆分
STR_PROPERTY_KF	4	内功
STR_CRAFT_MJ	4	秘笈
STR_TRADE_TARGET	4	目标
STR_TRADE_SELF	4	自己
STR_UISET_SYS	10	系统栏设置
STR_MAP_MYSTATE	8	标记注释
STR_FLITER	6	过滤器
STR_MIDDLEMAP_WORLDMAP	8	世界地图
STR_MINIKEYBOARD_SHIFT	7	↑Shift
STR_MINIKEYBOARD_BACKSPACE	2	←
STR_MINIKEYBOARD_A	1	G
STR_MINIKEYBOARD_AM	1	g
STR_PROTOCOL_TITLE	8	用户协议
STR_PROTOCOL_AGREE	12	我已阅读协议
STR_LOGIN_CHANGESERVER	10	更改服务器
STR_EULA_READEULA	8	查看协议
STR_EULA_AGREEEULA	10	我同意协议
STR_EULA_AGREE	4	同意
STR_TITLE_FINDPASSWORD	8	找回密码
STR_EULA_REFUSE	4	拒绝
STR_MAP_ALPHA	14	地图不透明度：
STR_AUTO_LOGINTIP	86	勾上这个选项会自动保存您的账号和上次登录的服务器，如果您是网吧用户，我们不推荐您使用。
STR_PARTY_FLAG	4	队长
STR_PARTY_BOSS	6	分配者
STR_PARTY_CENTER	4	阵眼
STR_LOGIN_PLEASEWAIT	17	排队中，请等待...
STR_GM_BUGCRAFT	8	生活技艺
STR_GM_BUGOTHER	4	其他
STR_GM_CHARTITLE	6	角色名
STR_GM_SEX	4	性别
STR_GM	8	客服中心
STR_GM_SURE	4	提交
STR_IE	10	网页浏览器
STR_PLAYER_SLCOMBAT	4	禅那
STR_LOGIN_RANDOM	4	随机
STR_LOGIN_KINGSOFT	30	金山软件 版权所有 保留全部权利
STR_NOTES_TITLE	8	上线通知
STR_F_TIP	16	点击打开江湖指南
STR_ADDR	6	地址：
STR_BAG_CU	4	整理
STR_BAG_OPTION	127	<text>text="背包排列模式（标准 / 紧凑）" font=163 </text><text>text="\\\n单击这里可以切换背包的两种排列模式。" font=106 </text>
STR_UISET_BAG	8	背包选项
STR_MAINBAR_LOCK	19	锁定/解锁所有快捷栏
STR_MAINBAR_UPDOWN	17	展开/关闭副快捷栏
STR_NO_QUEST	8	没有任务
STR_TITLE_RELATION	4	社交
STR_QUEST_AUTOTRACE	12	自动追踪任务
STR_LOGIN_ANNOUNS	114	抵制不良游戏，拒绝盗版游戏；注意自我保护，谨防受骗上当；\n适度游戏益脑，沉迷游戏伤身；合理安排时间，享受健康生活。
STR_FRIEND_FA	8	好感度：
STR_TIP_CBFRIEND	111	<text>text="好友" font=65 </text><text>text="\\\n显示你的好友信息，好友名单是灰色则表示离线。" font=106 </text>
STR_TIP_CBENEMY	107	<text>text="劲敌" font=65 </text><text>text="\\\n显示你的劲敌，劲敌名单是灰色则表示离线。" font=106 </text>
STR_EMOTION_ACTION	8	表情动作
STR_EMOTION_JIANGHU_MANAGE	4	管理
STR_EMOTION_JIANGHU_CANCEL	4	退出
STR_EMOTION_MANAGE_ENTER	4	确定
STR_EMOTION_MANAGE_NEW	4	新建
STR_EMOTION_MANAGE_DELETE	4	删除
STR_EMOTION_MANAGE_TARGET_TEXT	12	有目标用语：
STR_EMOTION_MANAGE_NO_TARGET_TE	12	无目标用语：
STR_EMOTION_MANAGE_CMD_TEXT	6	指令：
STR_QUEST_CANASSIST	10	可协助任务
STR_QUEST_ASSIST	280	<text>text="协助任务" font=172 </text><text>text="\\\n当你帮助队友完成一个你已经完成的任务时，会获得一定的协助任务奖励，这个任务必须是可被协助的，且协助中不能离队友太远。\n" font=4 </text><text>text="协助任务奖励" font=172 </text><text>text="\\\n好感度，师徒值。\n" font=4 </text>
STR_TIP_CBFRIEND	111	<text>text="好友" font=65 </text><text>text="\\\n显示你的好友信息，好友名单是灰色则表示离线。" font=106 </text>
STR_TIP_CBENEMY	107	<text>text="劲敌" font=65 </text><text>text="\\\n显示你的劲敌，劲敌名单是灰色则表示离线。" font=106 </text>
STR_SEARCH1	6	搜索：
STR_UICUSTOM	59	       在这个模式下，你可以自由定制主界面中各个元素的位置。
STR_UICUSTOMTITLE	16	主界面自定义模式
STR_TITLE_NEW_RECIPE	18	你学会了新的秘笈。
STR_MINIMAP_SWITCH	15	打开/关闭小地图
STR_MINIMAP_NPCSEARCH	118	<text>text="小地图司南" font=163 </text><text>text="\\\n你可以在这个列表中筛选在小地图上显示的信息。" font=106 </text>
STR_SYSTEM_EMOTIONTITLE	8	表情动作
STR_UISET_APPLY	4	应用
STR_EMOTION_COMMAND2	1	/
STR_EMOTION_MANAGE_WARNING	34	注：$N表示自己，$n表示你选中的目标
STR_EMOTION_MANAGE_DEFAULT	4	恢复
STR_GJ	4	广角
STR_CHAR_RAGE	174	<text>text="武斗值" font=163 </text><text>text="\\\n武斗值是用来记录玩家恶意PK程度的数值。你可以通过小地图司南来选择是否在小地图上显示那些武斗值很高的玩家。" font=106 </text>
STR_DUR_HELM	14	帽子耐久度过低
STR_DUR_CHEST	14	上装耐久度过低
STR_DUR_BANGLE	14	护腕耐久度过低
STR_DUR_WAIST	14	腰带耐久度过低
STR_DUR_PANTS	14	下装耐久度过低
STR_DUR_BOOTS	14	鞋子耐久度过低
STR_DUR_WEAPON	14	武器耐久度过低
STR_DUR_WEAPON2	14	暗器耐久度过低
STR_LOGIN_LOGINTITLE	6	登  录
STR_QUEST_DAY	130	<text>text="日常任务" font=172 </text><text>text="\\\n可以重复完成的任务。你每天完成日常任务的个数不得超过35个。\n" font=4 </text>
STR_LOGIN_JX3URL	8	官方网站
STR_TIP_OPTIONUI	94	你可以根据需要在这里修改更多的界面选项，他们包括更多的界面显示开关，定制更灵活的界面元素等等。
STR_TIP_RETURNLOGIN	82	结束你当前的游戏，返回到登录界面。如果你需要更换账号或服务器进行游戏，请选择此项。
STR_TIP_RETURNCHOOSE	74	结束你当前的游戏，返回人物选择界面。如果你需要更换人物角色，请选择此选项。
STR_UISET_BFTEARM	8	小队加入
STR_UISET_BFCENCEL	8	离开战场
STR_UISET_BFALL	4	全部
STR_BF_NAME	4	名字
STR_BF_KILL1	8	协助击伤
STR_BF_DEAD	6	受重伤
STR_BF_KILL2	4	击伤
STR_BF_DAMAGE	6	伤害量
STR_BF_HEALTH	6	治疗量
STR_BF_PRESTAGE	4	威望
STR_TITLE_GANG	4	帮会
STR_TITLE_MESSAGE	4	帮众
STR_TITLE_NOTICE	8	最新公告
STR_TITLE_NAME	4	名字
STR_TITLE_LEVEL	4	等级
STR_TITLE_PLACE	6	所在地
STR_TITLE_REMARKS	4	备注
STR_TITLE_AddPEOPLE	8	招收帮众
STR_TIP_ACTION	65	点击打开表情管理界面。 你可以向指定目标发送有趣的表情动作和语言。
STR_BAG_SPLITTIP	42	拆分叠加的物品（快捷方式：Shift+鼠标左键）
STR_BAG_CUTIP	28	将物品按照不同类型进行排序。
STR_TITLE_TELL	8	帮会简介
STR_TITLE_HAIR	4	发布
STR_TITLE_MONTH	2	月
STR_PARTY_ATTRACTION	106	<text>text="好感度" font=163 </text><text>text="\\\n显示你与该好友的好感度数值和等级。\n" font=106 </text>
STR_ALIGNMENT_TITLE	4	阵营
STR_LEAVE_GUILD	8	退出帮会
STR_UISET_BF1	5	队伍1
STR_UISET_BF2	5	队伍2
STR_UISET_BF3	5	队伍3
STR_UISET_BF4	5	队伍4
STR_AUCTION_SEARCH	8	物品名称
STR_AUCTION_RESULT	8	搜索结果
STR_AUCTION_DEFAULT	4	重置
STR_AUCTION_LEVEL	2	—
STR_AUCTION_UNITPRICE	4	单价
STR_AUCTION_MYBID	8	我的出价
STR_AUCTION_BID	4	竞标
STR_AUCTION_BID2	4	竞拍
STR_BF_SOLO	4	单挑
STR_BF_INJURED	6	受伤量
STR_BF_REWARD	4	奖励
STR_BF_MONEY	8	奖励金钱
STR_BF_EXP	8	奖励经验
STR_BATTLEFIELD_HELP	4	说明
STR_TEAM_TITLE	4	团队
STR_TITLE_BOOK	4	书目
STR_TITLE_TARGET	10	对方的书籍
STR_TITLE_ME	4	自己
STR_TITLE_CHANGE	4	兑换
STR_CRAFT_CAN_MAKE	12	材料充足配方
STR_SUBDATA	4	提交
TR_TITLE_REWARD	4	奖励
STR_TITLE_HELPER	8	新手帮助
STR_NEXT_MSG	6	下一条
STR_PREV_MSG	6	上一条
STR_DUNGEON_DISPLAYALL	8	取消选择
STR_GUILD_SCIENCETREE	6	天工树
STR_GUILD_GNAME	8	帮会名称
STR_GUILD_BOSS	8	现任帮主
STR_ADDFRIEND_TITLE	16	附近的玩家列表：
STR_LOGIN_BANG	4	刘海
STR_LOGIN_BRAID	4	辫子
STR_DELETE	4	删除
STR_TITLE_SEENAME	4	称号
STR_EQUIP_WEAPON	4	武器
STR_GUILD_BANK_1	6	仓库一
STR_GUILD_BANK_2	6	仓库二
STR_GUILD_BANK_3	6	仓库三
STR_GUILD_BANK_4	6	仓库四
STR_GUILD_BANK_5	6	仓库五
STR_GUILD_BANK_6	6	仓库六
STR_GUILD_BANK_7	6	仓库七
STR_GUILD_BANK_8	6	仓库八
STR_GUILD_BANK_10	6	仓库十
STR_PARTYPANEL_MARK	8	标记权限
STR_ACHIEVEMENT_JHMW	8	江湖名望
STR_ACTIVITY_REWARD	8	活动奖品
STR_ACHIEVEMENT_RANK	4	排名
STR_ACHIEVEMENT_PLAYER	4	玩家
STR_TITLE_TALKS	8	聊天设置
STR_TITLE_PAGE	8	聊天页面
STR_TITLE_WINDOW	8	聊天窗口
STR_TITLE_COLOR	8	频道颜色
STR_TITLE_FONT	4	字体
STR_TITLE_SIZE	4	字号
STR_SETTING_COLOR	12	调整背景颜色
STR_SETTING_DEPTH	14	调整背景透明度
STR_CLOSE_COLOR	10	关闭背景色
STR_CLOSE_ALWAY	4	常用
STR_TITLE_COMMON	8	普通频道
STR_TITLE_MONEY	4	金钱
STR_TITLE_COLLIGATE	4	综合
STR_TITLE_ADENSE	4	密聊
STR_TITLE_CHANNEL	4	频道
STR_PASSWORD_X	4	★★
STR_ACHIEVEMENT_FINISHTITLE	4	完成
STR_PASSWORD_TITLE	14	密码保护卡输入
STR_PASSWORD_BACKSPACE	8	清除所有
STR_ACHIEVEMENT_JHMWTIP	98	<text>text="江湖名望" font=163 </text><text>text="\\\n完成隐元秘鉴事项后获得。\n" font=106 </text>
STR_ACHIEVEMENT_JHYLTIP	126	<text>text="江湖资历" font=163 </text><text>text="\\\n江湖名望的总和，是在隐元会神秘商人处兑换奖励的条件。\n" font=106 </text>
STR_TIP_COLORNAME	54	小提示：你可以通过点击色板来选择你喜欢的聊天字体颜色。
STR_QUEST_SUGGEST	4	指引
STR_QUEST_SUGGESTTIP	88	点击打开指引界面，你可以从中查看适合你当前阶段的任务区域指引，也包括战场，武林秘境等等。
STR_QUEST_SUGGESTBUTTON	18	我现在可以做什么？
STR_QUEST_SUGGESTBUTTON	18	我现在可以去哪里？
STR_REQUEST_SERVER_LIST	22	正在获取服务器列表……
STR_TITLE_DEAD	4	重伤
STR_TITLE_BOSS	4	帮主
STR_PARTY	10	活动奖励：
STR_NAMEING	8	修改名称
STR_SECURITYCARD_HELP	12	查看帮助信息
STR_SECUITYCARD_ONE	4	个位
STR_SECUITYCARD_TEN	4	十位
STR_SECUITYCARD_HELP	40	注：鼠标距离密码转盘越远，数字转动越快。
STR_SECUITYCARD_HELPTITLE	8	范例介绍
STR_OPTIMIZE_NOREMIND	12	以后不再提醒
STR_OPTIMIZE_NOREMIND	12	以后不再提示
STR_MONTHLYCARD_EXPLAIN	10	寄售说明：
STR_MONTHLYCARD_MODE	10	寄售模式：
STR_MONTHLYCARD_TIME	10	寄售时间：
STR_MONTHLYCARD_VALUE	10	寄售价格：
STR_MONTHLYCARD_BUY	8	充值通宝
STR_MONTHLYCARDP_MODE	10	充值模式：
STR_MONTHLYCARDP_DAYS	8	充值时间
STR_MONTHLYCARDP_TIME	8	保管时间
STR_MONTHLYCARDP_SALER	6	出售者
STR_MONTHLYCARDP_VALUE	4	价格
STR_MONTHLYCARDP_TONGBAO	4	通宝
STR_GMCHECK_SENCE	8	所在场景
STR_GMCHECK_TRANSMIT	4	传送
STR_GMCHECK_SENDMESSAGE	8	发送消息
STR_MACO_NAME	6	名字：
STR_MACO_DESC	24	描述：（不超过60个汉字）
STR_MACO_CONTENT	8	宏命令：
STR_MACO_NEW	4	新建
STR_MACO_DEL	4	删除
STR_MAILPANEL_SELECTALL	4	全选
STR_MAILPANEL_FROM	8	寄信人：
STR_MAILPANEL_CONTENT	10	信件内容：
STR_ACHIEVEMENT_MAINNR	62	宏图霸业风雷动\n白发渔樵笑谈中\n古来多少豪杰事\n千秋一笔尽英雄
STR_MACO_MANAGE	6	宏管理
STR_TITLE_HELP	8	江湖指南
STR_AUTO_DEL_MAIL	16	自动删除空白信件
STR_AUTO_DEL_MAILTIP	72	当你将信件中的物品取下，并且该信件内容为空的时候，系统将自动删除该邮件。
STR_GMMESSAGE_LIST	4	名单
STR_MONTHLYCARD_SELL	4	寄售
STR_LOGIN_RENAME2	34	请您输入新的角色名称 （2-6个汉字）
STR_SYSTEM_MENTOR	143	<text>text="师徒" font=65 </text><text>text="  （<KEY TOGGLE_MENTOR_PANEL>）"font=65</text><text>text="\\\n点击打开师徒界面。" font=106 </text>
STR_RIDE_RIDEBOX1	4	头饰
STR_RIDE_RIDEBOX2	4	足饰
STR_RIDE_RIDEBOX3	4	鞍饰
STR_RIDE_RIDEBOX4	4	马饰
STR_OPENCOURSE	16	点击查看详细内容
STR_MENTOR_CALL	4	召唤
STR_MENTOR_PARTY	4	组队
STR_HELPER_KNOW	8	剑三知道
STR_HELPER_MENT	4	活动
STR_COURES_CLOSE	34	打开江湖指南界面可再次查看历程提示
STR_WORLDMAP_TIP1	8	停战区域
STR_WORLDMAP_TIP2	8	争夺区域
STR_WORLDMAP_TIP3	8	保护区域
STR_WORLDMAP_TIP4	8	战争区域
STR_WORLDMAP_TIP11	154	<text>text="停战区域" font=163 </text><text>text="\\\n在这个区域内，系统将关闭玩家的阵营模式，不允许开启。存在被其他玩家开启敌对的危险。" font=106 </text>
STR_WORLDMAP_TIP21	164	<text>text="争夺区域" font=163 </text><text>text="\\\n在这个区域内，系统将强制关闭玩家的阵营模式，而后可以自由开启。存在被其他玩家开启敌对的危险。" font=106 </text>
STR_WORLDMAP_TIP31	138	<text>text="保护区域" font=163 </text><text>text="\\\n在这个区域内，系统将关闭玩家的阵营模式，不允许对其他玩家开启敌对。" font=106 </text>
STR_WORLDMAP_TIP41	164	<text>text="战争区域" font=163 </text><text>text="\\\n在这个区域内，系统将强制开启玩家的阵营模式，不允许关闭。除浩气盟和恶人谷场景外，均存在被其他玩家开启敌对的危险
。" font=106 </text>	0	
STR_GUILD_RENAME	80	该帮会名称已被系统强制更改，原因可能是合服后帮会名称冲突，或不符合新的命名规范。
STR_GUILD_RENAME2	37	请您输入新的帮会名称（不超过8个汉字）
STR_ITEMBOX_TITLE	8	奖励查看
STR_ITEMBOX_LOOT	8	全部拾取
STR_GUILD_REFRESH	4	刷新
STR_LOGINROLELIST_RENAME	4	改名
STR_LOGIN_ENTER	16	不改名，进入游戏
STR_SYNC_CONFIG	8	同步选项
STR_HIDE_TIP	12	下次不再提示
STR_MACRO_ICON	6	图标：
STR_MACRO_TITLE	10	宏命令设置
STR_ADDON_LOAD_PAST	16	允许加载过期插件
STR_QUESTTRANCE	8	任务追踪
STR_TIP_MACRO	90	你可以在这里建立宏命令，通过这个功能可以快速执行一些相对比较复杂的操作，让你更轻松地游戏。
STR_WISH_WISHTIP	22	我的愿望：（少于50字）
STR_WISH_TITLE	6	许愿笺
STR_WISH_WISH	4	许愿
STR_LOOTROLL_CANCEL	4	放弃
STR_EMOTION_IMAGE	8	表情图标
STR_RANDOMREWARD_CHOOSE	16	请选择一个奖励：
STR_EXAMINATION_TYPETITLE	8	题目选择
STR_EXAMINATION_ANSWER	6	答题区
STR_EXAMINATION_LASTTIME	8	剩余时间
STR_EXAMINATION_NEXT	6	下一题
STR_EXAMINATION_BACK	6	上一题
STR_CALLFRIEND_TITLE	8	好友召请
STR_CALLFRIEND_TIP	22	可召请一名好友到你身边
STR_CALLGUIDMEMBER_TITLE	12	帮会成员召请
STR_CALLGUIDMEMBER_TIP	30	可最多召请五名帮会成员到你身边
STR_CALL_TITLE	4	召请
STR_CALLGUILDMEMBER_NOFRIEND	20	当前没有帮会成员在线
STR_CALLFRIEDN_NOFRIEND	40	只能召请好感度六重以上（包括六重）的好友
STR_BIND_A4	16	绑定快捷栏第四页
STR_UAC_KEYBOARDW	6	W:前进
STR_UAC_KEYBOARDS	6	S:后退
STR_UAC_KEYBOARDA	8	A:向左转
STR_UAC_KEYBOARDD	8	D:向右转
STR_UAC_TITLE1	8	如何移动
STR_PARTYRECRUIT_QUEUE	8	个人排队
STR_PARTYRECRUIT_PARTYQUEUE	8	队伍排队
STR_PARTYRECRUIT_TITLE	8	队伍招募
STR_PARTYRECRUIT_DGPAGE	8	秘境排队
STR_PARTYRECRUIT_STATE	8	当前状态
STR_PARTYRECRUIT_TPDREWARD	12	二人秘境奖励
STR_PARTYRECRUIT_TPDTIP	48	奖励根据你每次完成秘境时的得分和人物等级而变化。
STR_PARTYRECRUIT_EXP	4	阅历
STR_PARTYRECRUIT_CONTRIBUTION	10	江湖贡献值
STR_PARTYRECRUIT_MEDAL	6	虎贲佩
STR_PARTYRECRUIT_SCORE	4	评分
STR_PARTYRECRUIT_EXIT	8	离开秘境
STR_PARTYRECRUITY_WARNING	66	警告：强制离开秘境后，你将受到负面效果影响，在一定时间内不得排队！
STR_TITLE_UICUSTOMMODE	10	自定义界面
STR_TIP_UICUSTOMMODE	32	你可以在这里修改你的主界面布局。
STR_PARTYRECRUIT_COMMINGSOON1	16	五人门派普通秘境
