MapId	MapName	Describe	Group0	Group1	Group2	Group3	PQOption0Name	PQOption0Icon	PQOption1Name	PQOption1Icon	PQOption2Name	PQOption2Icon	PQOption3Name	PQOption3Icon	Reward0Icon	Reward1Icon	Reward2Icon	Reward3Icon	HelpImage	HelpText	Type	szTypeName	szActivityID	szTimeTip	szSubMapID
322	李渡鬼域		探秘者	感染者											27				\ui\Image\BattleField\liduguiyu.tga	<text>text="战场背景\\\n"font=163</text><text>text="\\\n《尸典》邪术“幽溟鬼雾”重出江湖，天一邪教欲东山再起，江湖义士为收集尸毒样本而深入险地。随着尸毒的悄然传播，一场惊心动魄的生存之战在传说故地“李渡城”中拉开帷幕。" font=18</text><text>text="\\\n\\\n胜利目标：\\\n" font=163</text><text>text="\\\n探秘者：收集240份尸毒样本。\\\n感染者：解决所有敌人或者等到时间结束。" font=18</text><text>text="\\\n\\\n得分方法：\\\n" font=163</text><text>text="\\\n探秘者：\\\n    收集散落的尸毒样本、通过击伤感染者和尸罐获得尸毒样本。\\\n    收集同伴被感染时遗留的魂铃、收集击破尸罐时掉落的魂铃。\\\n\\\n感染者：\\\n    击败探秘者。\\\n　　　" font=18</text>	5				
410	沧溟绝境														27				\ui\Image\BattleField\cangmingjuejing.tga	<text>text="战场背景\\\n"font=163</text><text>text="\\\n香巫教主香老人在叛出五仙教时，偷走五仙教至宝《毒蛊经》，后携女儿曦凰与一众弟子前往东海向苍天君寻仇，败，香巫教一行漂流至东海群岛沧溟。曦凰不断蛊惑岛上住民加入香巫教，组成大军欲继父之志，奈何大军尚未出发，整个荒岛便被水龙卷侵袭。而留在中原的香巫教众数年来向着东海寻觅《毒蛊经》，终有金巫踏上沧溟岛，此后中原便有传言，东海有岛，名曰沧溟，神兵满地、且藏隐秘之宝，引群侠竞相前往。" font=18</text><text>text="\\\n\\\n胜利目标：\\\n" font=163</text><text>text="\\\n尽量多的收集武器，装备，药品等，且躲避水龙卷的侵袭，尽早到达安全区，并击败所有敌人。" font=18</text><text>text="\\\n\\\n得分方法：\\\n" font=163</text><text>text="\\\n重伤敌对选手，并且活到最后！！\\\n　　　" font=18</text>	4				
412	列星岛	碾碎他们	蓝方	红方			摧毁天斗两仪阵阵眼								99	132	61		\ui\Image\BattleField\liexingdao.tga	<text>text="战场背景：\\\n" font=163</text><text>text="\\\n鲲鹏岛南面邻近的小岛，因岛上气脉随星象变化，充盈灵动而得名。自第二代苍天君在此岛设下天斗两仪阵后，一直用于各家弟子的结队比试。久而久之，阵中气脉感应天人之气，竟化作生灵，习武之人在此阵中运功演法，受其影响，可增长功力、精进武学。" font=18</text><text>text="\\\n\\\n胜利目标：\\\n" font=163</text><text>text="\\\n摧毁对方的天斗两仪阵阵眼！" font=18</text>	6	每日战场	246	<D0>12点至次日凌晨1点可获得战阶积分奖励、双倍威望奖励。	
415	野狸岛	人迹罕至的野狸岛上，一场前所未有的天工对决正等待着侠士们加入！					得分	27	排名	26					136	0			\ui\Image\BattleField\yelidao.tga	 <text>text="战场背景\\\n"font=163</text><text>text="\\\n蓬莱墨宗弟子墨藉受武长生引荐前往万花拜访工圣，被其弟子李公瓒制造的机甲铁颅吸引，二人一拍即合，墨藉停留在万花期间，便与李公瓒一起研究改进爆裂铁颅的技术。因墨宗宗主墨离不屑于中原的机关术，墨藉离开蓬莱前往人迹罕至的野狸岛继续研究铁颅。东海与中原相隔千里，两人平时仅能以书信和图纸互通铁颅技术，墨藉和李公瓒都期待着一场酣畅的交流。恰逢东海霸王擂面向中原武林人士开放，李公瓒与万花弟子一同来到东海，看到墨藉用自己的图纸制作出的铁颅，便提出想以切磋的方式测试两方铁颅的性能。两人遂邀请前来东海参加霸王擂的武林侠士们参与其中，一场前所未有的天工对决正等待着侠士们加入……" font=18</text><text>text="\\\n\\\n胜利目标：\\\n" font=163</text><text>text="\\\n首先获得满分的侠士可取得该场比赛的胜利。" font=18</text><text>text="\\\n\\\n得分方法：\\\n" font=163</text><text>text="\\\n使用飞火铁颅击中一名对手可得五分，击退可得二十分。击中前三名，或分数落后较大时击中任意目标，可获额外积分。\\\n　　　" font=18</text>	7				
512	白龙绝境														27				\ui\Image\BattleField\bailongjuejing.tga	<text>text="战场背景\\\n"font=163</text><text>text="\\\n在很长一段时间里，乌蒙贵的得力手下樨汐，一直在西南深林中继续有关尸人的实验。当樨汐敏锐觉察到因中原陷入战乱，南诏第五代王阁罗凤趁此机会不断扩张领土时，她觉得这是一个值得利用的好机会。\\\n樨汐以用蛊术为阁罗凤挑选忠诚勇士为名，获得了阁罗凤的准许，在白龙口地区，正大光明开辟了一片杀戮之地。南诏的神兵、密宝、灵药，吸引众多武功不俗的侠客、身怀绝技的异人，他们在这一片寂静的深林中，展开厮杀，欲夺魁首。\\\n而樨汐的腐沼毒雾总悄无声息得将所有人包围……\\\n有些人比赛之初便被淘汰遣返，有些人夺魁后成为南诏之臣，有些人潜入其中仅为刺探情报，有些人夺取神兵密宝后潇洒而去，还有些人被毒雾侵蚀之后便消失得无影无踪……" font=18</text><text>text="\\\n\\\n胜利目标：\\\n" font=163</text><text>text="\\\n可通过右下角地图选择战场开始时的交通路线，并尽量多的收集武器，装备，药品等，躲避毒雾的侵袭，尽早到达安全区，并击败所有敌人。当侠士首次被击伤时，还有机会通过无间死斗重新返回战场！" font=18</text><text>text="\\\n\\\n得分方法：\\\n" font=163</text><text>text="\\\n重伤敌对选手，并且活到最后！！\\\n　　　" font=18</text>	4				
515	雪龙风原	在此处见证天下第一帮的崛起	蓝方	红方			战场身份								99	132	61		\ui\Image\BattleField\banghuiliansai.tga	<text>text="战场背景：\\\n" font=163</text><text>text="\\\n雪龙风原，一个见证天下第一帮会诞生的地方，有诗云：\\\n倾山雪浪若龙脊，万古长风犹凛冽。\\\n群雄并起论浮沉，云巅煮酒辞花谢。" font=18</text><text>text="\\\n\\\n胜利目标：\\\n" font=163</text><text>text="\\\n摧毁敌方大旗或者大旗手，即可获取胜利！" font=18</text><text>text="\\\n\\\n战场规则：\\\n" font=163</text><text>text="\\\n1.熟练的进行职业搭配、复活点部署、城门开关、载具使用，是每个帮主的必修课；\\\n2.获取战场资源可以在载具商人处换取攻防物资，更好的获取战局的主动权；\\\n3.资源获取方式：\\\n    .随着时间增长（少量）\\\n    .占领中央占旗区（大量）\\\n    .摧毁敌方的粮仓和工坊（大量）\\\n    .摧毁敌方城门和神机台（大量）\\\n" font=18</text>	8		75	<D0>12点至次日凌晨1点可获得战阶积分奖励、双倍威望奖励。	
532	天原绝境														27				\ui\Image\BattleField\tianyuanjuejing.tga	<text>text="战场背景\\\n"font=163</text><text>text="\\\n长白山麓的东北冰原，地形复杂，天气变幻无常，若与狂风骤雪正面相遇，哪怕是内力深厚的武林人士也难以招架。\\\n柳家、独孤家、长孙氏、绳池剑宗、武家恩怨颇深，历年来几家弟子若要下山历练，都需前往此地。绳池剑宗的两位与宗主同辈分的叔祖“卷丘”朴太闲与“大翅璐剑”崔路南在下山之时也被霸刀山庄庄主柳风骨捉到，遗恨于吞吴刀下。但在这里历练之后的生还者多半能有大进境，也算一块历练宝地。\\\n这片冰原自远古以来便生产天材地宝，如老参丹株、精铁稀矿，又因几家恩仇对决，经常无可避免将来此寻宝的外人卷入，渐渐为北地武林所知，被北地武林成为“绝境天原”，等闲之人不敢轻易踏入。" font=18</text><text>text="\\\n\\\n胜利目标：\\\n" font=163</text><text>text="\\\n保证自己温度在正常范围内，尽量多的收集武器，装备，药品等，躲避冰雪的侵袭，尽早到达安全区，并击败所有敌人。" font=18</text><text>text="\\\n\\\n得分方法：\\\n" font=163</text><text>text="\\\n重伤敌对选手，并且活到最后！！\\\n　　　" font=18</text>	4				
589	羊村大作战														0				\ui\Image\BattleField\yangcundazuozhan.tga	<text>text="场景故事\\\n"font=163</text><text>text="\\\n某年某月某日，羊村忽然出现在大唐，随之而来的还有青青草原上的诸位。他们与大唐侠士产生了一段充满趣味的故事。"?font=18</text><text>text="\\\n\\\n胜利目标：\\\n"?font=163</text><text>text="\\\n在限定时间内，羊羊阵营完成任务开启大门并有不少于三名羊羊阵营成员溜出羊村即为胜利，其余情况视为狼狼阵营胜利。"?font=18</text><text>text="\\\n\\\n得分方法：\\\n"?font=163</text><text>text="\\\n羊羊阵营：完成任务、救助队友、阻挠狼狼阵营行动\\\n\\\n狼狼阵营：阻挠、追逐、捉住羊羊阵营成员"?font=18</text>	9				
645	洱海绝境														27				\ui\Image\BattleField\erhaijuejing.tga	<text>text="战场背景\\\n"font=163</text><text>text="\\\n乾元二年，南诏王召开武林大会，香巫教借着沙壹之宾首席的乌蒙贵与南诏王达成了某些利益的置换。\\\n随后，南诏王将苍山洱海的部分地区辟出，召八方豪杰前来角逐，又许下重奖予角逐至最后的勇士，一时间洱海刀光剑影难绝……" font=18</text><text>text="\\\n\\\n胜利目标：\\\n" font=163</text><text>text="\\\n尽量多的收集武器，装备，药品等，躲避毒雾的侵袭，尽早到达安全区，并击败所有敌人。每隔一段时间将开启南诏王之召，在其中击败敌人即可获取稀有装备！" font=18</text><text>text="\\\n\\\n得分方法：\\\n" font=163</text><text>text="\\\n重伤敌对选手，并且活到最后！！\\\n　　　" font=18</text>	4				
995	八荒衡鉴																				10				
