MaxValue	DiamondLevel1	DiamondAmount1	DiamondLevel2	DiamondAmount2	DiamondLevel3	DiamondAmount3	DiamondLevel4	DiamondAmount4	DiamondLevel5	DiamondAmount5	DiamondLevel6	DiamondAmount6	DiamondLevel7	DiamondAmount7	DiamondLevel8	DiamondAmount8	FaultyDiamondTabType	FaultyDiamondTabIndex	FaultyDiamondCount
8600	7	3	6	1	4	2	3	1											
8700	7	3	6	1	5	1	3	2											
8800	7	3	6	1	5	1	4	3											
8900	7	3	6	1	5	2	4	1											
9000	7	3	6	1	5	2	4	3											
9100	7	3	6	1	5	3	4	1											
9200	7	3	6	2	3	2													
9300	7	3	6	2	4	2	3	1											
9400	7	3	6	2	5	1	3	2											
9500	7	3	6	2	5	2													
9600	8	1	4	1	3	1	2	1											
9700	8	1	4	3															
9800	8	1	5	1	4	1													
9900	8	1	5	2															
10000	8	1	5	2	4	2													
10100	8	1	5	3															
10200	8	1	5	3	4	1													
10300	8	1	6	1	3	1													
10400	8	1	6	1	4	2	3	1											
10500	8	1	6	1	5	1													
10600	8	1	6	1	5	1	4	2											
10700	8	1	6	1	5	2	4	1											
10800	8	1	6	1	5	2	4	3											
11000	8	1	6	1	5	3	4	2											
11100	8	1	6	2	4	2													
11200	8	1	6	2	5	1	3	3											
11300	8	1	6	2	5	2													
11400	8	1	6	2	5	2	4	1											
11500	8	1	6	2	5	2	4	3											
11550	8	1	6	2	5	3	4	1											
11600	8	1	6	2	5	3	4	2											
11700	8	1	6	3	4	1													
11800	8	1	6	3	4	2	3	2											
11900	8	1	6	3	5	1	4	1											
12000	8	1	6	3	5	1	4	3											
12100	8	1	7	1															
12200	8	1	7	1	4	1													
12300	8	1	7	1	4	3													
12400	8	1	7	1	5	1	4	1											
12500	8	1	7	1	5	2													
12600	8	1	7	1	5	2	4	2											
12700	8	1	7	1	5	3													
12800	8	1	7	1	6	1													
12900	8	1	7	1	6	1	4	1											
13150	8	1	7	1	6	1	4	3											
13300	8	1	7	1	6	1	5	2											
13450	8	1	7	1	6	1	5	3											
13600	8	1	7	1	6	2													
13800	8	1	7	1	6	2	5	1											
14000	8	1	7	1	6	2	5	2											
14100	8	1	7	1	6	2	5	3											
14400	8	1	7	1	6	3													
14500	8	1	7	1	6	3	5	1											
14600	8	1	7	1	6	3	5	2											
14700	8	1	7	2															
14800	8	1	7	2	4	2													
14900	8	1	7	2	5	1													
15000	8	1	7	2	5	1	4	2											
15100	8	1	7	2	5	2													
15200	8	1	7	2	5	2	4	2											
15400	8	1	7	2	5	3	3	1											
15500	8	1	7	2	6	1	4	2											
15700	8	1	7	2	6	1	5	1											
15900	8	1	7	2	6	1	5	2											
16000	8	1	7	2	6	1	5	3											
16100	8	1	7	2	6	2													
16200	8	1	7	2	6	2	4	2											
16400	8	1	7	2	6	2	5	1											
16600	8	1	7	2	6	2	5	2											
16700	8	1	7	2	6	2	5	3											
16800	8	1	7	2	6	3													
16900	8	1	7	2	6	3	4	2											
17000	8	1	7	2	6	3	5	1											
17200	8	1	7	2	6	3	5	2											
17300	8	1	7	3															
17400	8	1	7	3	4	2	3	1											
17500	8	1	7	3	5	1	3	2											
17600	8	1	7	3	5	1	4	3											
17700	8	1	7	3	5	2	3	3											
17800	8	1	7	3	5	2	4	3											
17900	8	1	7	3	5	3	4	1											
18000	8	1	7	3	6	1	3	2											
18200	8	1	7	3	6	1	4	3											
18400	8	1	7	3	6	1	5	2											
18500	8	1	7	3	6	1	5	3											
18600	8	1	7	3	6	2													
18750	8	1	7	3	6	2	4	1											
19000	8	1	7	3	6	2	5	1											
19100	8	2																	
19200	8	2	4	2	3	1													
19300	8	2	5	1	3	2													
19400	8	2	5	1	4	3													
19500	8	2	5	2	4	1	2	1											
19600	8	2	5	2	4	3													
19700	8	2	5	3	4	1													
19800	8	2	6	1	3	2													
19900	8	2	6	1	4	2	3	2											
20000	8	2	6	1	5	1	3	3											
20100	8	2	6	1	5	2													
20200	8	2	6	1	5	2	4	1											
20300	8	2	6	1	5	2	4	3											
20400	8	2	6	1	5	3	4	1											
20500	8	2	6	2	3	2													
20600	8	2	6	2	4	3													
20700	8	2	6	2	5	1	4	1											
20800	8	2	6	2	5	1	4	3											
20900	8	2	6	2	5	2	4	1											
21000	8	2	6	2	5	3													
21100	8	2	6	2	5	3	4	2											
21200	8	2	6	3	4	1													
21300	8	2	6	3	4	3													
21400	8	2	6	3	5	1	4	1											
21500	8	2	6	3	5	1	4	3											
21600	8	2	6	3	5	2	4	1											
21700	8	2	7	1	4	1													
21800	8	2	7	1	4	3													
21900	8	2	7	1	5	1	4	1											
22000	8	2	7	1	5	2													
22100	8	2	7	1	5	2	4	2											
22200	8	2	7	1	5	3													
22300	8	2	7	1	5	3	4	2											
22400	8	2	7	1	6	1	4	1											
22600	8	2	7	1	6	1	5	1											
22800	8	2	7	1	6	1	5	2											
22900	8	2	7	1	6	1	5	3											
23000	8	2	7	1	6	2													
23100	8	2	7	1	6	2	4	2											
23300	8	2	7	1	6	2	5	1											
23500	8	2	7	1	6	2	5	2											
23600	8	2	7	1	6	2	5	3											
23700	8	2	7	1	6	3													
23800	8	2	7	1	6	3	4	2											
24000	8	2	7	1	6	3	5	1											
24100	8	2	7	1	6	3	5	2											
24200	8	2	7	2															
24300	8	2	7	2	4	2													
24400	8	2	7	2	5	1													
24500	8	2	7	2	5	1	4	2											
24600	8	2	7	2	5	2	3	1											
24700	8	2	7	2	5	2	4	2											
24800	8	2	7	2	5	3	3	2											
24900	8	2	7	2	6	1													
25000	8	2	7	2	6	1	4	2											
25200	8	2	7	2	6	1	5	1											
25400	8	2	7	2	6	1	5	2											
25500	8	2	7	2	6	1	5	3											
25600	8	2	7	2	6	2													
25700	8	2	7	2	6	2	4	2											
25900	8	2	7	2	6	2	5	1											
26100	8	2	7	2	6	2	5	2											
26200	8	2	7	2	6	2	5	3											
26300	8	2	7	2	6	3													
26400	8	2	7	2	6	3	4	2											
26600	8	2	7	2	6	3	5	1											
26700	8	2	7	2	6	3	5	2											
26800	8	2	7	3	3	1													
26900	8	2	7	3	4	2	3	1											
27000	8	2	7	3	5	1	3	2											
27100	8	2	7	3	5	2													
27200	8	2	7	3	5	2	4	1											
27300	8	2	7	3	5	2	4	3											
27400	8	2	7	3	5	3	4	1											
27500	8	2	7	3	6	1	3	2											
27600	8	2	7	3	6	1	4	3											
27750	8	2	7	3	6	1	5	1											
27900	8	2	7	3	6	1	5	2											
28000	8	2	7	3	6	1	5	3											
28100	8	2	7	3	6	2													
28200	8	2	7	3	6	2	3	2											
28250	8	2	7	3	6	2	4	3											
28450	8	2	7	3	6	2	5	1											
28500	8	2	7	3	6	2	5	2											
28600	8	3	3	2															
28700	8	3	4	2	3	1													
28800	8	3	5	1	3	2													
28900	8	3	5	1	4	3													
29000	8	3	5	2	4	1													
29100	8	3	5	2	4	3	3	1											
29200	8	3	5	3	4	1													
29300	8	3	6	1	3	2													
29400	8	3	6	1	4	2	3	2											
29500	8	3	6	1	5	1	4	1											
29600	8	3	6	1	5	1	4	3											
29700	8	3	6	1	5	2	4	1											
29800	8	3	6	1	5	2	4	3											
29900	8	3	6	1	5	3	4	1											
30000	8	3	6	2	3	3													
30100	8	3	6	2	4	3													
30200	8	3	6	2	5	1	4	1											
30300	8	3	6	2	5	1	4	3											
30400	8	3	6	2	5	2	4	1											
30500	8	3	6	2	5	2	4	3											
30600	8	3	6	2	5	3	4	1											
30700	8	3	6	3	4	1													
30800	8	3	6	3	4	3													
30900	8	3	6	3	5	1	4	1											
31000	8	3	6	3	5	1	4	3											
31100	8	3	6	3	5	2	4	1											
31200	8	3	7	1	4	1	3	1											
31300	8	3	7	1	4	3													
31500	8	3	7	1	5	1	4	2											
31600	8	3	7	1	5	2	4	2											
31700	8	3	7	1	5	3													
31800	8	3	7	1	5	3	4	2											
31900	8	3	7	1	6	1	4	2											
32100	8	3	7	1	6	1	5	1											
32300	8	3	7	1	6	1	5	2											
32400	8	3	7	1	6	1	5	3											
32500	8	3	7	1	6	2	2	1											
32600	8	3	7	1	6	2	4	2											
32800	8	3	7	1	6	2	5	1											
33000	8	3	7	1	6	2	5	2											
33100	8	3	7	1	6	2	5	3											
33200	8	3	7	1	6	3													
33300	8	3	7	1	6	3	4	2											
33500	8	3	7	1	6	3	5	1											
33600	8	3	7	1	6	3	5	2											
33700	8	3	7	2															
33800	8	3	7	2	4	2													
33900	8	3	7	2	5	1													
34000	8	3	7	2	5	1	4	2											
34100	8	3	7	2	5	2	3	1											
34200	8	3	7	2	5	2	4	2											
34300	8	3	7	2	5	3	3	2											
34400	8	3	7	2	6	1													
34500	8	3	7	2	6	1	4	2											
34700	8	3	7	2	6	1	5	1											
34850	8	3	7	2	6	1	5	2											
35000	8	3	7	2	6	1	5	3											
39400	8	3	7	2	6	2	2	1											
42900	8	3	7	2	6	2	2	1											
46400	8	3	7	2	6	2	2	1											
50000	8	3	7	2	6	2	2	1											
55000	8	3	7	2	6	2	2	1											
60000	8	3	7	2	6	2	2	1											
65000	8	3	7	2	6	2	2	1											
70000	8	3	7	2	6	2	2	1											
75000	8	3	7	2	6	2	2	1											
80000	8	3	7	2	6	2	2	1											
85000	8	3	7	2	6	2	2	1											
90000	8	3	7	2	6	2	2	1											
95000	8	3	7	2	6	2	2	1											
100000	8	3	7	2	6	2	2	1											
108000	8	3	7	2	6	2	2	1											
116000	8	3	7	2	6	2	2	1											
124000	8	3	7	2	6	2	2	1											
132000	8	3	7	2	6	2	2	1											
140000	8	3	7	2	6	2	2	1											
148000	8	3	7	2	6	2	2	1											
156000	8	3	7	2	6	2	2	1											
164000	8	3	7	2	6	2	2	1											
172000	8	3	7	2	6	2	2	1											
180000	8	3	7	2	6	2	2	1											
190000	8	3	7	2	6	2	2	1											
200000	8	3	7	2	6	2	2	1											
210000	8	3	7	2	6	2	2	1											
220000	8	3	7	2	6	2	2	1											
230000	8	3	7	2	6	2	2	1											
240000	8	3	7	2	6	2	2	1											
255000	8	3	7	2	6	2	2	1											
270000	8	3	7	2	6	2	2	1											
285000	8	3	7	2	6	2	2	1											
300000	8	3	7	2	6	2	2	1											
315000	8	3	7	2	6	2	2	1											
330000	8	3	7	2	6	2	2	1											
350000	8	3	7	2	6	2	2	1											
370000	8	3	7	2	6	2	2	1											
390000	8	3	7	2	6	2	2	1											
410000	8	3	7	2	6	2	2	1											
430000	8	3	7	2	6	2	2	1											
450000	8	3	7	2	6	2	2	1											
470000	8	3	7	2	6	2	2	1											
490000	8	3	7	2	6	2	2	1											
