ID	TabType1	TabIndex1	StackNum1	Rate1	TabType2	TabIndex2	StackNum2	Rate2	TabType3	TabIndex3	StackNum3	Rate3	TabType4	TabIndex4	StackNum4	Rate4	TabType5	TabIndex5	StackNum5	Rate5	TabType6	TabIndex6	StackNum6	Rate6	TabType7	TabIndex7	StackNum7	Rate7	TabType8	TabIndex8	StackNum8	Rate8	RateType1	RateType2	RepresentType	ScriptName
83	5	18848	1	1048576	5	10309	1	1048576																									2	2		
84	5	10303	1	1048576	5	10304	1	1048576	5	6258	5	1048576																					2	2		
85	5	19309	10	1048576	5	19403	5	1048576	5	19943	10	1048576																					2	2		
86	5	10303	7	1048576	5	10304	5	1048576	5	6258	10	1048576	5	40608	15	1048576	5	6254	1	1048576	5	17454	2	1048576									2	2		
87	5	10302	7	1048576	5	16687	25	1048576	5	6258	10	1048576	5	40608	25	1048576	5	6253	3	1048576	5	6254	1	1048576	5	17454	2	1048576					2	2		
88	5	10303	7	1048576	5	10304	3	1048576	5	40608	30	1048576	5	17454	2	1048576																	2	2		
89	5	40608	50	1048576	5	40385	5	1048576	8	64	1	1048576	5	19878	1	1048576																	2	2		
90	8	10164	1	1048576	5	17741	1	1048576																									2	2		
91	8	10165	1	1048576	5	17741	1	1048576																									2	2		
92	8	10166	1	1048576	5	17741	1	1048576																									2	2		
93	8	10167	1	1048576	5	17741	1	1048576																									2	2		
94	8	10168	1	1048576	5	17741	1	1048576																									2	2		
95	8	10169	1	1048576	5	17741	1	1048576																									2	2		
96	5	19309	40	1048576	5	19403	35	1048576																									2	2		
97	5	19943	15	1048576	5	16686	5	1048576																									2	2		
98	5	19309	30	1048576	5	19403	15	1048576																									2	2		
99	5	11794	1	1048576	5	17741	1	1048576																									2	2		
100	5	19309	50	1048576	5	19403	18	1048576																									2	2		
101	5	19309	5	1048576	5	19403	5	1048576	5	6258	5	1048576																					2	2		
102	5	20527	1	524288	5	20528	1	524288																									1	2		
103	5	24447	1	1048576	5	19943	50	1048576	5	19309	50	1048576	5	19403	25	1048576	5	6258	50	1048576	5	17376	1	1048576	5	20523	1	1048576					2	2		
104	5	24447	1	1048576	5	19943	50	1048576	5	19309	50	1048576	5	19403	25	1048576	5	6258	50	1048576	5	17376	1	1048576	5	6253	1	1048576					2	2		
105	8	601	1	1048576																													2	2		
106	8	604	1	1048576																													2	2		
107	8	531	1	1048576																													2	2		
108	5	24447	1	1048576	5	19943	50	1048576	5	19309	50	1048576	5	19403	25	1048576	5	6258	50	1048576	5	17376	1	1048576	5	20523	1	1048576					2	2		
109	8	17632	1	1048576	8	17633	1	1048576	8	17634	1	1048576																					2	2		
110	8	17639	1	1048576	8	17640	1	1048576	8	17641	1	1048576																					2	2		
111	8	17646	1	1048576	8	17647	1	1048576	8	17648	1	1048576																					2	2		
112	8	5485	0	1048576	8	5486	0	1048576	8	5487	0	1048576	8	5488	0	1048576	8	5489	0	1048576	8	10967	0	1048576	8	10968	0	1048576					2	2		
113	5	40385	1	1048576	5	11610	1	1048576	5	11609	1	1048576																					2	2		
114	5	8025	1674	1048576																													2	2		
115	5	8025	1650	1048576																													2	2		
116	5	8025	1681	1048576																													2	2		
117	5	8025	1657	1048577																													2	2		
118	5	8025	1666	1048578																													2	2		
119	5	8025	1642	1048579																													2	2		
120	5	6237	2	1048576	5	40385	1	1048576	8	4023	1	1048576	5	21497	1	1048576																	2	2		
121	5	8835	1	1048576	5	21498	1	1048576																									2	2		
122	5	8836	1	1048576	5	21499	1	1048576																									2	2		
123	5	8837	1	1048576	5	21500	1	1048576																									2	2		
124	5	8838	1	1048576	5	21501	1	1048576																									2	2		
125	5	19877	1	1048576	5	21502	1	1048576																									2	2		
126	5	19878	1	1048576																													2	2		
127	8	17628	1	1048576	8	17627	1	1048576	8	17626	1	1048576																					2	2		
128	8	17643	1	1048576	8	17642	1	1048576	8	17644	1	1048576																					2	2		
129	8	17713	1	1048576	8	17714	1	1048576	8	17715	1	1048576																					2	2		
130	5	19943	5	1048576	5	16686	3	1048576	5	21243	1500	1048576																					2	2		
131	5	22173	1	1048576	5	22175	1	1048576	5	22178	1	1048576	8	4023	1	1048576	8	4023	1	1048576	8	4023	1	1048576	8	4023	1	1048576					2	2		scripts/Map/直升满级/box/LevelUpCommon.lua
132	5	6258	1500	1048576	5	40608	300	1048576	5	40385	20	1048576	8	516	1	1048576																	2	2		scripts/Map/直升满级/box/LevelUpCommon.lua
133	5	22941	1	1048576	5	22173	1	1048576	5	22179	1	1048576	5	22949	1	1048576	5	22950	1	1048576	5	22951	1	1048576	5	22953	10	1048576					2	2		scripts/Map/直升满级/box/LevelUpCommon.lua
134	5	8828	1	1048576	5	6029	10	1048576	5	6058	100	1048576																					2	2		
135	5	8828	1	1048576	5	6029	10	1048576	5	6058	100	1048576	5	23017	2	1048576																	2	2		
136	8	13739	1	1048576	5	7056	1	1048576	5	23416	1	1048576																					2	2		
137	8	13738	1	1048576	5	7057	1	1048576	5	23417	1	1048576																					2	2		
138	8	13740	1	1048576	5	23424	1	1048576	5	32015	1	1048576																					2	2		
139	5	40608	10	1048576	5	40385	2	1048576	5	23419	1	1048576	5	6714	3	1048576																	2	2		
140	5	5069	1	1048576	5	5070	1	1048576	5	5071	1	1048576	5	40608	15	1048576	5	40385	2	1048576	5	23420	1	1048576	5	6714	3	1048576					2	2		
141	8	13737	1	1048576	5	40608	15	1048576	5	40385	3	1048576	5	23421	1	1048576	5	6714	3	1048576													2	2		
142	5	40608	20	1048576	5	40385	4	1048576	5	23422	1	1048576	5	6714	3	1048576																	2	2		
143	8	13741	1	1048576	8	13742	1	1048576	5	23458	2	1048576	5	40608	20	1048576	5	40385	4	1048576	5	23423	1	1048576	5	6714	3	1048576					2	2		
144	5	23430	2	1048576	5	24446	3	1048576	5	6258	300	1048576	5	40608	30	1048576	5	40385	4	1048576	5	6714	3	1048576									2	2		
145	8	13744	1	1048576	5	7056	1	1048576	5	23432	1	1048576																					2	2		
146	8	13743	1	1048576	5	7057	1	1048576	5	23433	1	1048576																					2	2		
147	8	13745	1	1048576	5	23424	1	1048576	5	32016	1	1048576																					2	2		
148	5	40608	10	1048576	5	40385	2	1048576	5	23435	1	1048576	5	6714	3	1048576																	2	2		
149	5	5069	1	1048576	5	5070	1	1048576	5	5071	1	1048576	5	40608	15	1048576	5	40385	2	1048576	5	23436	1	1048576	5	6714	3	1048576					2	2		
150	8	13737	1	1048576	5	40608	15	1048576	5	40385	3	1048576	5	23437	1	1048576	5	6714	3	1048576													2	2		
151	5	40608	20	1048576	5	40385	4	1048576	5	23438	1	1048576	5	6714	3	1048576																	2	2		
152	8	13746	1	1048576	8	13747	1	1048576	5	23458	2	1048576	5	40608	20	1048576	5	40385	4	1048576	5	23439	1	1048576	5	6714	3	1048576					2	2		
153	5	23430	2	1048576	5	24446	3	1048576	5	6258	300	1048576	5	40608	30	1048576	5	40385	4	1048576	5	6714	3	1048576									2	2		
154	8	13748	1	1048576	5	7056	1	1048576	5	23441	1	1048576																					2	2		
155	8	13749	1	1048576	5	7057	1	1048576	5	23442	1	1048576																					2	2		
156	8	13750	1	1048576	5	23424	1	1048576	5	32017	1	1048576																					2	2		
157	5	40608	10	1048576	5	40385	2	1048576	5	23444	1	1048576	5	6714	3	1048576																	2	2		
158	5	5069	1	1048576	5	5070	1	1048576	5	5071	1	1048576	5	40608	15	1048576	5	40385	2	1048576	5	23445	1	1048576	5	6714	3	1048576					2	2		
159	8	13737	1	1048576	5	40608	15	1048576	5	40385	3	1048576	5	23446	1	1048576	5	6714	3	1048576													2	2		
160	5	40608	20	1048576	5	40385	4	1048576	5	23447	1	1048576	5	6714	3	1048576																	2	2		
161	8	13751	1	1048576	8	13752	1	1048576	5	23458	2	1048576	5	40608	20	1048576	5	40385	4	1048576	5	23448	1	1048576	5	6714	3	1048576					2	2		
162	5	23430	2	1048576	5	24446	3	1048576	5	6258	300	1048576	5	40608	30	1048576	5	40385	4	1048576	5	6714	3	1048576									2	2		
163	8	13754	1	1048576	5	7056	1	1048576	5	23450	1	1048576																					2	2		
164	8	13753	1	1048576	5	7057	1	1048576	5	23451	1	1048576																					2	2		
165	8	13755	1	1048576	5	23424	1	1048576	5	32018	1	1048576																					2	2		
166	5	40608	10	1048576	5	40385	2	1048576	5	23453	1	1048576	5	6714	3	1048576																	2	2		
167	5	5069	1	1048576	5	5070	1	1048576	5	5071	1	1048576	5	40608	15	1048576	5	40385	2	1048576	5	23454	1	1048576	5	6714	3	1048576					2	2		
168	8	13737	1	1048576	5	40608	15	1048576	5	40385	3	1048576	5	23455	1	1048576	5	6714	3	1048576													2	2		
169	5	40608	20	1048576	5	40385	4	1048576	5	23456	1	1048576	5	6714	3	1048576																	2	2		
170	8	13756	1	1048576	8	13757	1	1048576	5	23458	2	1048576	5	40608	20	1048576	5	40385	4	1048576	5	23457	1	1048576	5	6714	3	1048576					2	2		
171	5	23430	2	1048576	5	24446	3	1048576	5	6258	300	1048576	5	40608	30	1048576	5	40385	4	1048576	5	6714	3	1048576									2	2		
172	5	23525	1	419430	5	23527	1	209716	5	23529	1	209715	5	23535	1	209715	5	23538	1	104858	5	23544	1	20972	5	23545	1	41943	8	13761	1	5243	1	1		
173	5	24824	15	1048576	5	24804	10	1048576	5	21243	3000	1048576																					2	2		
174	8	13918	1	1047528	8	13919	1	1048																									1	1		
175	5	19943	10	1048576	5	19309	10	1048576	5	19403	5	1048576	5	19886	2	548576	5	24447	1	248576													2	2		
176	8	17808	1	1048576	8	17809	1	1048576	8	17810	1	1048576																					2	2		
177	8	17811	1	1048576	8	17812	1	1048576	8	17813	1	1048576																					2	2		
178	5	30693	40	1048576	5	30701	13	1048576																									2	2		
179	5	30709	22	1048576	5	30689	7	1048576	5	30690	5	1048576																					2	2		
180	5	30693	50	1048576	5	30701	5	1048576																									2	2		
181	5	24808	60	1048576	5	24816	15	1048576	5	11640	1	1048576																					2	2		
182	5	24808	40	1048576	5	24816	30	1048576	5	11640	3	1048576																					2	2		
183	5	24824	15	1048576	5	24804	5	1048576	5	11640	3	1048576																					2	2		
184	5	24824	15	1048576	5	24804	10	1048576	5	21243	3000	1048576	5	11640	2	1048576																	2	2		
185	5	10854	10	1048576	5	24816	25	1048576	5	17325	1	1048576																					2	2		
186	5	28681	1	1048576	5	24807	8	1048576	5	17324	1	1048576																					2	2		
187	5	28682	20	1048576	5	24816	25	1048576	5	24726	20	1048576																					2	2		
188	5	16691	4	1048576	5	24816	15	1048576	5	24726	6	1048576																					2	2		
189	5	24808	60	1048576	5	24816	15	1048576																									2	2		
190	5	24824	15	1048576	5	24804	10	1048576	5	24446	1	1048576																					2	2		
191	5	24444	4	1048576	5	24816	25	1048576	5	17325	1	1048576																					2	2		
192	5	24808	40	1048576	5	24816	30	1048576																									2	2		
193	5	24444	1	1048576	5	24807	8	1048576	5	17324	1	1048576																					2	2		
194	5	24444	1	1048576	5	24816	15	1048576	5	24726	6	1048576																					2	2		
195	5	24824	15	1048576	5	24804	5	1048576																									2	2		
196	5	24445	2	1048576	5	24816	25	1048576	5	24726	1	1048576																					2	2		
197	5	24824	15	1048576	5	24804	10	1048576	5	24446	1	1048576	5	24445	2	1048576																	2	2		
198	5	24824	15	1048576	5	24804	5	1048576	5	24445	3	1048576																					2	2		
199	8	19673	1	1048576	8	19674	1	1048576	8	19675	1	1048576	8	19676	1	1048576	5	29150	1	1048576	5	7056	1	1048576	5	7057	1	1048576	5	23458	2	1048576	2	2		
200	5	18448	30	1048576	5	40608	50	1048576	5	24446	1	314572	5	24447	1	104857	5	10334	1	26214	5	11794	1	26214	8	17504	1	419					2	2		
201	5	19886	10	1048576	5	24444	30	1048576	5	24446	1	419430	5	24447	1	209715	5	10334	1	31457	5	11794	1	31457	8	13914	1	419					2	2		
202	5	24824	50	1048576	5	24808	50	1048576	5	24816	25	1048576	5	24446	1	524288	5	24447	1	314572	5	10334	1	36700	5	11794	1	36700	8	19441	1	419	2	2		
203	5	40385	20	1048576	5	18449	50	1048576	5	40608	200	1048576																					2	2		
204	5	29938	1	1783	8	19441	1	3460	8	13914	1	7025	8	11802	1	7025	5	22411	1	853960	5	21317	1	175323									1	1		
205	5	24824	22	1048576	5	24805	75	1048576																									2	2		
206	7	39257	1	1048576	7	39263	1	1048576	7	39269	1	1048576	7	39275	1	1048576	7	39281	1	1048576	7	39287	1	1048576									2	2		
207	6	17486	1	1048576	8	22511	1	1048576	8	22517	1	1048576	8	22523	1	1048576	8	22523	1	1048576													2	2		
208	5	24445	1	796917	5	24446	1	209716	5	24447	1	41943																					1	2		
209	8	13741	1	1048576	8	13742	1	1048576	5	23458	2	1048576	5	32019	1	1048576																	2	2		
210	8	13746	1	1048576	8	13747	1	1048576	5	23458	2	1048576	5	32019	1	1048576																	2	2		
211	8	13751	1	1048576	8	13752	1	1048576	5	23458	2	1048576	5	32019	1	1048576																	2	2		
212	8	13756	1	1048576	8	13757	1	1048576	5	23458	2	1048576	5	32019	1	1048576																	2	2		
213	8	13737	1	1048576																													2	2		
214	5	30847	2	734003	5	30853	1	314573																									1	1		
215	8	22490	1	1048576																													2	2		
216	8	3924	1	1048576	8	20024	1	1048576	8	20025	1	1048576	8	24877	1	1048576																	2	2		
217	8	3925	1	1048576	8	20026	1	1048576	8	20027	1	1048576	8	24879	1	1048576																	2	2		
218	8	3926	1	1048576	8	20028	1	1048576	8	20029	1	1048576	8	24878	1	1048576																	2	2		
219	8	3927	1	1048576	8	20030	1	1048576	8	20031	1	1048576	8	24876	1	1048576																	2	2		
220	5	30709	15	1048576	5	30689	10	1048576	5	24446	1	1048576																					2	2		
221	5	33203	22	1048576	5	30690	75	1048576	5	24442	150	1048576																					2	2		
222	5	30694	8	1048576	5	33204	25	1048576	5	11683	3	1048576																					2	2		
223	5	30695	1	1048576	5	30702	1	1048576	5	11683	1	1048576																					2	2		
224	5	30710	3	1048576	5	30689	10	1048576	5	11684	1	1048576	5	24442	120	1048576																	2	2		
225	5	30709	15	1048576	5	30689	10	1048576																									2	2		
226	5	30709	15	1048576	5	30689	10	1048576	5	24442	120	1048576																					2	2		
227	5	33203	22	1048576	5	30690	75	1048576																									2	2		
228	5	36958	40	1048576	5	36967	13	1048576																									2	2		
229	5	36998	22	1048576	5	36994	75	1048576																									2	2		
230	5	36958	50	1048576	5	36967	5	1048576																									2	2		
231	8	25639	1	1048576	8	25640	1	1048576	8	25641	1	1048576																					2	2		
232	5	36986	15	1048576	5	36993	10	1048576	5	24442	120	1048576																					2	2		
233	8	25779	1	1048576	8	25780	1	1048576	8	25781	1	1048576																					2	2		
234	5	40608	40	1048576	5	36967	13	1048576																									2	2		
235	5	44329	22	1048576	5	36994	75	1048576																									2	2		
236	5	40608	50	1048576	5	36967	5	1048576																									2	2		
237	5	44329	15	1048576	5	36993	10	1048576	5	24442	120	1048576																					2	2		
238	5	40385	10	1048576	5	24726	100	1048576	5	24442	80	1048576	5	40608	100	1048576	5	19886	20	1048576	5	31379	8	1048576	5	43762	6	1048576					2	2		
239	5	40385	20	1048576	5	24726	150	1048576	5	24442	120	1048576	5	40608	150	1048576	5	19886	30	1048576	5	31379	10	1048576	5	43762	8	1048576					2	2		
240	5	40385	30	1048576	5	24726	200	1048576	5	40608	200	1048576	5	19886	40	1048576	5	31379	12	1048576	5	43762	10	1048576	5	45890	10	1048576	5	44311	100	1048576	2	2		
241	5	40608	40	1048576	5	47789	25	1048576																									2	2		
242	5	47798	22	1048576	5	47803	75	1048576																									2	2		
243	5	40608	50	1048576	5	47789	10	1048576																									2	2		
244	5	47798	15	1048576	5	47803	100	1048576	5	24442	120	1048576																					2	2		
245	8	36709	1	1048576	8	36710	1	1048576	8	36711	1	1048576																					2	2		
246	8	36712	1	1048576	8	36713	1	1048576	8	36714	1	1048576																					2	2		
247	5	50791	22	1048576	5	47803	75	1048576																									2	2		
248	5	50791	15	1048576	5	47803	100	1048576	5	24442	120	1048576																					2	2		
249	8	36818	1	1048576	8	36819	1	1048576	8	36820	1	1048576																					2	2		
250	8	36821	1	1048576	8	36822	1	1048576	8	36823	1	1048576																					2	2		
