CubTabIndex	FodderMask	NPCID	AdultTabType1	AdultTabIndex1	AdultTabType2	AdultTabIndex2	AdultTabType3	AdultTabIndex3	MaxGrowthExpCoef	MaxFullMeasureCoef
21876	520	19113		11777		11777		11777	1024	
21887	520	19113		11778		11778		11778	1024	
21888	516	36923		11780		11780		11780	1024	
21889	520	27009		11781		11781		11781	1024	
22540	520	19113		13054		13054		13054	1024	
22541	520	19113		13055		13055		13055	1024	
22542	516	40829		13056		13056		13056	512	
22543	516	40829		13057		13057		13057	512	
22544	516	40830		13058		13058		13058	512	
22545	516	40829		13059		13059		13059	512	
22725	1	18555		13094		13095		13096	1024	
22726	1	18555		13097		13098		13099	1024	
22727	1	18555		13100		13101		13102	1024	
22728	1	18555		13103		13104		13105	1024	
22729	1	18555		13106		13107		13108	1024	
22730	1	36409		13109		13110		13111	1024	
22731	1	36409		13112		13113		13114	1024	
22732	1	36409		13115		13116		13117	1024	
22733	1	36409		13118		13119		13120	1024	
22734	1	18553	8	27813	8	27814	8	24906	1024	1024
22735	1	18553	8	27813	8	27814	8	27815	1024	1024
22736	1	18553	8	27813	8	27814	8	24906	1024	1024
22737	1	18553	8	27834	8	27835	8	27836	1024	1024
22738	1	18553	8	27792	8	27793	8	27794	1024	1024
22739	1	36409	8	11632	8	11640	8	13109	1024	1024
22740	1	36409	8	11633	8	11641	8	13111	1024	1024
22741	1	36409	8	11634	8	11642	8	13112	1024	1024
22742	1	36409	8	11635	8	11643	8	13114	1024	1024
22743	1	36409	8	11636	8	13110	8	13115	1024	1024
22744	1	36409	8	11637	8	13113	8	13117	1024	1024
22745	1	36409	8	11638	8	13116	8	13119	1024	1024
22746	1	36409	8	11639	8	13118	8	13120	1024	1024
22747	1	18552	8	27816	8	27817	8	27818	1024	1024
22748	1	18552	8	27837	8	27839	8	24909	1024	1024
22749	1	18552	8	27837	8	27839	8	24909	1024	1024
22750	1	18552	8	27837	8	27838	8	27839	1024	1024
22751	1	18552	8	27795	8	27796	8	27797	1024	1024
22760	520	27009		13052		13052		13052	1024	
23368	520	27009		13224		13224		13224	1024	
23369	520	19113		13225		13225		13225	1024	
23370	520	19113		13226		13226		13226	1024	
23785	256	43648		13788		13788		13788	5514	4100
23871	520	19113		13910		13910		13910	1024	
23872	520	19113		13911		13911		13911	1024	
23873	520	27009		13909		13909		13909	1024	
25854	520	19113		13925		13925		13925	1024	
25855	520	19113		13926		13926		13926	1024	
25856	520	27009		13924		13924		13924	1024	
27751	516	55252		18286		18286		18286	1024	
27752	520	27009		18284		18284		18284	1024	
29443	520	19114		21054		21054		21054	1024	
34199	1	18555	8	27804	8	27805	8	27806	1024	1024
34200	1	18555	8	27830	8	27828	8	27829	1024	1024
34201	1	18555	8	27846	8	27847	8	27848	1024	1024
34202	1	18555	8	27849	8	27850	8	27851	1024	1024
34203	1	18555	8	5759	8	5769	8	13100	1024	1024
34204	1	18555	8	5761	8	5758	8	13102	1024	1024
34205	1	18555	8	27827	8	27826	8	27825	1024	1024
34206	1	18555	8	5764	8	13095	8	13105	1024	1024
34207	1	18555	8	27807	8	27808	8	27809	1024	1024
34208	1	18555	8	5766	8	13097	8	13107	1024	1024
34209	1	18551	8	24902	8	27819	8	24903	1024	1024
34210	1	18551	8	27819	8	27820	8	27821	1024	1024
34211	1	18551	8	27840	8	27841	8	27842	1024	1024
34212	1	18551	8	27798	8	27799	8	27800	1024	1024
34213	1	18550	8	27822	8	27823	8	27824	1024	1024
34214	1	18550	8	27843	8	27844	8	27845	1024	1024
34215	1	18550	8	24904	8	27801	8	24905	1024	1024
34216	1	18550	8	27801	8	27802	8	27803	1024	1024
34217	1	18554	8	27810	8	27811	8	27812	1024	1024
34218	1	18554	8	27831	8	27832	8	27833	1024	1024
34219	1	18554	8	24907	8	27789	8	24908	1024	1024
34220	1	18554	8	27789	8	27790	8	27791	1024	1024
34222	1	18479	8	27852	8	27853	8	27854	1024	1024
34223	1	18479	8	27855	8	27856	8	27857	1024	1024
34224	1	18479	8	27858	8	27859	8	27860	1024	1024
34225	1	18545	8	27861	8	27862	8	27863	1024	1024
34226	1	18545	8	27864	8	27865	8	27866	1024	1024
34227	1	18545	8	27867	8	27868	8	27869	1024	1024
34228	1	18546	8	27870	8	27871	8	27872	1024	1024
34229	1	18546	8	27873	8	27874	8	27875	1024	1024
34230	1	18546	8	27876	8	27877	8	27878	1024	1024
34231	1	18547	8	27879	8	27880	8	27881	1024	1024
34232	1	18547	8	27882	8	27883	8	27884	1024	1024
34233	1	18547	8	27885	8	27886	8	27887	1024	1024
34234	1	18548	8	27888	8	27889	8	27890	1024	1024
34235	1	18548	8	27891	8	27892	8	27893	1024	1024
34236	1	18548	8	27894	8	27895	8	27896	1024	1024
34237	1	18549	8	27897	8	27898	8	27899	1024	1024
34238	1	18549	8	27900	8	27901	8	27902	1024	1024
34239	1	18549	8	27903	8	27904	8	27905	1024	1024
34805	256	69661	8	24923	8	24923	8	24923	5514	5120
35345	1	36409	8	28792	8	28797	8	28798	1024	1024
35346	1	36409	8	28793	8	28804	8	28812	1024	1024
35347	1	36409	8	28794	8	28805	8	28813	1024	1024
35348	1	36409	8	28795	8	28806	8	28814	1024	1024
35349	1	36409	8	28796	8	28807	8	28815	1024	1024
35350	1	36409	8	28792	8	28808	8	28793	1024	1024
35351	1	36409	8	28797	8	28809	8	28812	1024	1024
35352	1	36409	8	28798	8	28810	8	28794	1024	1024
35353	1	36409	8	28799	8	28811	8	28813	1024	1024
35354	1	36409	8	28800	8	28804	8	28795	1024	1024
35355	1	36409	8	28801	8	28805	8	28814	1024	1024
35356	1	36409	8	28802	8	28806	8	28807	1024	1024
35357	1	36409	8	28803	8	28796	8	28815	1024	1024
