ID	DoodadName(≥Ã–Ú≤ª∂¡)	DoodadTemplateID	CostThew	ProfessionID	RequireLevel	DoodadLevel	ToolItemType	ToolItemIndex	PowerfulToolItemType	PowerfulToolItemIndex	EquipmentType	Exp	PrepareFrame	ExpertiseDrop	ExpertiseRate	ExpertiseMinCount	ExpertiseMaxCount	Lv0_Drop0	Lv0_Rate0	Lv0_Drop1	Lv0_Rate1	Lv0_Drop2	Lv0_Rate2	Lv0_Drop3	Lv0_Rate3	Lv0_MinCount	Lv0_MaxCount	Lv1_Drop0	Lv1_Rate0	Lv1_Drop1	Lv1_Rate1	Lv1_Drop2	Lv1_Rate2	Lv1_Drop3	Lv1_Rate3	Lv1_MinCount	Lv1_MaxCount	Lv2_Drop0	Lv2_Rate0	Lv2_Drop1	Lv2_Rate1	Lv2_Drop2	Lv2_Rate2	Lv2_Drop3	Lv2_Rate3	Lv2_MinCount	Lv2_MaxCount	Lv3_Drop0	Lv3_Rate0	Lv3_Drop1	Lv3_Rate1	Lv3_Drop2	Lv3_Rate2	Lv3_Drop3	Lv3_Rate3	Lv3_MinCount	Lv3_MaxCount	CostVigor
1010	Ω“¯ª®	1010	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\jinyinhua.tab	1024							1	1	≤›“©\jinyinhua.tab	1024							1	1	≤›“©\jinyinhua.tab	1024							1	1	≤›“©\jinyinhua.tab	1024							1	1	40
1011	Ω¥¥–°≤›	1011	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\jinchuangxiaocao.tab	1024							1	1	≤›“©\jinchuangxiaocao.tab	1024							1	1	≤›“©\jinchuangxiaocao.tab	1024							1	1	≤›“©\jinchuangxiaocao.tab	1024							1	1	40
1012	Ë€ËΩ	1012	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\gouqi.tab	1024							1	1	≤›“©\gouqi.tab	1024							1	1	≤›“©\gouqi.tab	1024							1	1	≤›“©\gouqi.tab	1024							1	1	40
1015	«ß¿Ôœ„	1015	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\qianlixiang.tab	1024							1	1	≤›“©\qianlixiang.tab	1024							1	1	≤›“©\qianlixiang.tab	1024							1	1	≤›“©\qianlixiang.tab	1024							1	1	40
1016	ÃÔ∆ﬂ	1016	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\tianqi.tab	1024							1	1	≤›“©\tianqi.tab	1024							1	1	≤›“©\tianqi.tab	1024							1	1	≤›“©\tianqi.tab	1024							1	1	40
1017	ÃÏ¬È	1017	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\tianma.tab	1024							1	1	≤›“©\tianma.tab	1024							1	1	≤›“©\tianma.tab	1024							1	1	≤›“©\tianma.tab	1024							1	1	40
1018	‘∂÷æ	1018	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\yuanzhi.tab	1024							1	1	≤›“©\yuanzhi.tab	1024							1	1	≤›“©\yuanzhi.tab	1024							1	1	≤›“©\yuanzhi.tab	1024							1	1	40
1019	œ…√©	1019	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\xianmao.tab	1024							1	1	≤›“©\xianmao.tab	1024							1	1	≤›“©\xianmao.tab	1024							1	1	≤›“©\xianmao.tab	1024							1	1	40
2643	¬Û∂¨	2643	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\maidong.tab	1024							1	1	≤›“©\maidong.tab	1024							1	1	≤›“©\maidong.tab	1024							1	1	≤›“©\maidong.tab	1024							1	1	40
2641	¥®±¥	2641	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\chuanbei.tab	1024							1	1	≤›“©\chuanbei.tab	1024							1	1	≤›“©\chuanbei.tab	1024							1	1	≤›“©\chuanbei.tab	1024							1	1	40
2642	≥Ê≤›	2642	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\chongcao.tab	1024							1	1	≤›“©\chongcao.tab	1024							1	1	≤›“©\chongcao.tab	1024							1	1	≤›“©\chongcao.tab	1024							1	1	40
4227	 Ø¡´ª®	4227	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\shilianhua.tab	1024							1	1	≤›“©\shilianhua.tab	1024							1	1	≤›“©\shilianhua.tab	1024							1	1	≤›“©\shilianhua.tab	1024							1	1	40
4228	±À∞∂ª®	4228	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\bianhua.tab	1024							1	1	≤›“©\bianhua.tab	1024							1	1	≤›“©\bianhua.tab	1024							1	1	≤›“©\bianhua.tab	1024							1	1	40
3358	≤›¡œ_∞Ÿ¬ˆ∏˘	3358	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›¡œ\baimaigen.tab	1024							1	1	≤›¡œ\baimaigen.tab	1024							1	1	≤›¡œ\baimaigen.tab	1024							1	1	≤›¡œ\baimaigen.tab	1024							1	1	5
3361	≤›¡œ_◊œª®‹Ÿﬁ£	3361	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›¡œ\zihuamuxu.tab	1024							1	1	≤›¡œ\zihuamuxu.tab	1024							1	1	≤›¡œ\zihuamuxu.tab	1024							1	1	≤›¡œ\zihuamuxu.tab	1024							1	1	15
3360	≤›¡œ_ÃœÛ≤›	3360	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›¡œ\tianxiangcao.tab	1024							1	1	≤›¡œ\tianxiangcao.tab	1024							1	1	≤›¡œ\tianxiangcao.tab	1024							1	1	≤›¡œ\tianxiangcao.tab	1024							1	1	30
3359	≤›¡œ_ª ÷Ò≤›	3359	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›¡œ\huangzhucao.tab	1024							1	1	≤›¡œ\huangzhucao.tab	1024							1	1	≤›¡œ\huangzhucao.tab	1024							1	1	≤›¡œ\huangzhucao.tab	1024							1	1	50
5659	∞◊ ı	5659	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\Lv95_shennong1.tab	1024							1	1	≤›“©\Lv95_shennong1.tab	1024							1	1	≤›“©\Lv95_shennong1.tab	1024							1	1	≤›“©\Lv95_shennong1.tab	1024							1	1	40
5660	◊œÀ’	5660	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\Lv95_shennong2.tab	1024							1	1	≤›“©\Lv95_shennong2.tab	1024							1	1	≤›“©\Lv95_shennong2.tab	1024							1	1	≤›“©\Lv95_shennong2.tab	1024							1	1	40
7526	…∫∫˜	7526	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\shanhu.tab	1024							1	1	≤›“©\shanhu.tab	1024							1	1	≤›“©\shanhu.tab	1024							1	1	≤›“©\shanhu.tab	1024							1	1	40
8268	ƒæ¡œ	8268	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\muliao.tab	1024							1	1	≤›“©\muliao.tab	1024							1	1	≤›“©\muliao.tab	1024							1	1	≤›“©\muliao.tab	1024							1	1	40
8269	¬´Œ≠∏À	8269	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\luwei.tab	1024							1	1	≤›“©\luwei.tab	1024							1	1	≤›“©\luwei.tab	1024							1	1	≤›“©\luwei.tab	1024							1	1	40
8270	÷Ò¡œ	8270	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\zhuliao.tab	1024							1	1	≤›“©\zhuliao.tab	1024							1	1	≤›“©\zhuliao.tab	1024							1	1	≤›“©\zhuliao.tab	1024							1	1	40
10312	ƒ˝—™≤›	10312	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\ningxuecao.tab	1024							1	1	≤›“©\ningxuecao.tab	1024							1	1	≤›“©\ningxuecao.tab	1024							1	1	≤›“©\ningxuecao.tab	1024							1	1	40
10353	¡È∑Á≤›	10353	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\puhuang.tab	1024							1	1	≤›“©\puhuang.tab	1024							1	1	≤›“©\puhuang.tab	1024							1	1	≤›“©\puhuang.tab	1024							1	1	40
