FellowPetIndex	NpcTemplateID	ItemTabType	ItemTabIndex	Type	Score
151	51087	8	16882	2	45
152	51088	8	16883	2	45
153	51089	8	16884	2	45
154	51090	8	16885	2	45
155	51091	8	16886	3	45
156	51092	8	16887	3	45
157	51093	8	16888	3	45
158	51094	8	16889	3	45
159	51095	8	16890	3	45
160	51107	8	16891	3	45
161	51108	8	16892	3	45
162	51109	8	16893	3	45
163	51110	8	17259	3	45
164	51111	8	17260	3	45
165	51112	8	17261	3	45
166	51113	8	17262	3	45
167	51114	8	17263	3	45
168	51115	8	17264	3	45
169	51116	8	17265	3	45
170	51117	8	17266	3	45
171	51118	8	17267	3	45
172	51119	8	17268	3	45
173	51120	8	17269	3	45
174	51121	8	17270	3	45
175	51122	8	17271	2	45
176	51123	8	17272	2	45
177	51124	8	17273	2	45
178	51125	8	17274	2	45
179	51126	8	17275	2	45
180	51127	8	17276	3	45
181	51128	8	17277	3	45
182	51129	8	17278	3	45
183	51130	8	17279	3	45
184	51131	8	17280	3	45
185	51234	8	17499	3	0
186	51235	8	17500	3	0
187	51236	8	17501	3	0
188	51237	8	17502	3	0
189	51238	8	17503	3	0
190	51553	8	18262	3	50
191	51546	8	18263	1	50
192	51576	8	18264	2	43
193	51571	8	18265	3	45
194	51567	8	18266	3	45
195	51572	8	18267	3	45
196	51573	8	18268	3	45
197	51566	8	18269	2	45
198	51561	8	18270	2	45
199	51574	8	18271	3	45
200	51562	8	18272	3	45
201	51563	8	18273	3	45
202	51568	8	18274	3	45
203	51569	8	18275	3	45
204	51575	8	18276	3	45
205	51564	8	18277	4	45
206	51565	8	18278	4	45
207	69417	8	18279	2	45
208	51727	8	18280	4	0
209	51973	8	18281	2	0
210	52304	8	18282	3	60
211	52305	8	18283	3	60
212	53393	8	18284	1	43
213	53401	8	18285	3	50
214	53402	8	18286	3	60
215	53403	8	18287	3	45
216	53404	8	18288	3	45
217	53405	8	18289	3	45
218	53406	8	18290	3	45
219	53407	8	18291	3	45
220	53408	8	18292	3	45
221	53409	8	18293	3	0
222	53559	8	18294	3	43
223	55629	8	19236	3	0
224	55646	8	19266	4	0
225	55576	8	18295	2	50
226	55575	8	18296	2	60
227	55866	8	18297	3	0
228	56666	8	18300	3	60
229	56660	8	18298	1	50
230	56664	8	18299	1	43
231	57444	8	18301	3	50
232	57634	8	21050	3	60
233	57653	8	21051	3	60
234	58946	8	21052	3	55
235	59137	8	21053	3	43
236	59138	8	21054	1	50
237	59139	8	21055	1	43
238	59140	8	21056	3	60
239	59141	8	21057	3	0
240	59142	8	21058	3	0
241	59143	8	21059	3	0
242	59144	8	21060	1	50
243	59203	8	21061	4	43
244	59362	8	22530	3	35
245	59363	8	21062	3	43
246	59364	8	21063	3	35
247	59365	8	21064	3	43
248	59366	8	21065	3	35
249	59367	8	21066	3	43
250	59368	8	21067	3	35
251	59369	8	21068	3	43
252	59370	8	21069	3	50
253	59691	8	22531	3	0
254	59969	8	22535	4	60
255	60231	8	22533	3	57
256	60232	8	22534	2	35
257	61364	8	22532	3	60
258	61365	8	22536	3	60
259	63038	8	22540	3	0
260	63142	8	22538	3	55
261	63146	8	22539	3	50
262	63147	8	22537	1	50
263	63148	8	22541	1	0
264	63149	8	22542	1	45
265	63150	8	22543	1	45
266	63151	8	22544	1	45
267	63152	8	22545	1	45
268	63153	8	22546	1	45
269	64301	8	22547	1	45
270	64358	8	22548	3	0
271	64359	8	22549	3	0
272	64360	8	22550	3	0
273	64365	8	22551	1	43
274	64366	8	22552	1	43
275	64439	8	22553	1	0
276	64497	8	22554	1	55
277	64750	8	22555	3	60
278	64751	8	22556	3	50
279	64928	8	22557	3	0
280	65095	8	22558	3	60
281	65949	8	22559	4	60
282	66541	8	22560	3	50
283	66674	8	22561	3	50
284	66681	8	22562	2	35
285	66682	8	22563	3	55
286	66683	8	22564	4	0
287	66684	8	22565	3	43
288	66685	8	22566	3	50
289	66810	8	22567	3	60
290	66811	8	22568	3	60
291	66852	8	22569	3	0
292	66853	8	22570	3	0
293	66854	8	22571	3	0
294	66855	8	22572	2	0
295	66856	8	22573	3	0
296	66857	8	22574	2	0
297	66858	8	22575	3	0
298	66859	8	22576	3	0
299	66860	8	22577	3	0
300	66861	8	22578	3	0
301	66862	8	22579	4	0
302	66863	8	22580	2	0
303	66864	8	22581	3	0
304	66865	8	22582	1	0
305	66877	8	22583	1	43
306	66950	8	22584	3	60
307	66951	8	22585	3	60
308	66975	8	22586	2	50
309	67509	8	22587	2	60
310	68951	8	22588	3	0
311	68960	8	22589	3	45
312	68961	8	22590	3	45
313	68962	8	22591	3	45
314	68963	8	22592	3	45
315	68964	8	22593	3	45
316	68965	8	22594	3	45
317	68966	8	22595	3	45
318	68967	8	22596	1	35
319	68968	8	22597	2	45
320	68969	8	22598	3	50
321	68970	8	22599	3	55
322	68971	8	22600	3	45
323	68972	8	22601	3	43
324	68973	8	22602	3	50
325	68974	8	22603	4	0
326	68975	8	22604	2	45
327	69207	8	22605	3	0
328	69208	8	22606	3	45
329	69428	8	22607	3	60
330	69429	8	22608	3	50
331	69430	8	22609	3	60
332	69431	8	22610	3	60
333	69504	8	27906	2	0
334	69539	8	27907	3	0
335	69933	8	27908	1	60
336	99206	8	27909	4	43
337	99207	8	27910	3	50
338	99208	8	27911	3	55
339	99209	8	27912	3	35
340	99210	8	27913	3	50
341	99211	8	27914	3	45
342	99212	8	27915	2	50
343	99213	8	27916	3	0
344	99214	8	27917	4	60
345	99298	8	27918	3	60
346	99335	8	27919	2	0
347	99439	8	27920	2	60
348	99817	8	27921	3	60
349	99922	8	27922	3	60
350	102072	8	27923	3	60
351	102885	8	27924	3	45
352	102886	8	27925	3	45
353	102887	8	27926	3	45
354	102888	8	27927	3	45
355	102889	8	27928	3	45
356	102890	8	27929	3	45
357	102891	8	27930	3	
358	102892	8	27931	3	45
359	102893	8	27932	3	40
360	102894	8	27933	3	45
361	103030	8	27935	3	40
362	103035	8	27936	3	
363	102895	8	27934	1	45
364	103509	8	27937	3	60
365	103510	8	27938	3	60
366	103511	8	27939	3	50
367	103512	8	27940	3	0
368	103742	8	27941	3	60
369	103797	8	27942	3	0
370	103798	8	27943	3	0
371	104056	8	27944	3	60
372	104953	8	27945	3	0
373	105006	8	27946	3	55
374	105007	8	27947	2	60
375	105008	8	27948	3	35
376	105214	8	27949	4	60
377	105307	8	27950	3	30
378	105441	8	27951	3	0
379	105583	8	27952	2	60
380	105956	8	27953	2	60
381	106178	8	27954	3	60
382	106179	8	27955	3	60
383	107476	8	27956	2	50
384	107477	8	27957	3	55
385	107478	8	27958	3	35
386	107731	8	27959	3	45
387	107732	8	27960	3	43
388	107733	8	27961	3	45
389	107734	8	27962	3	45
390	107735	8	27963	3	45
391	107736	8	27964	3	45
392	107737	8	27965	3	45
393	107738	8	27966	3	45
394	107739	8	27967	3	
395	107740	8	27968	1	45
397	108250	8	27970	3	60
398	108251	8	27971	3	50
399	108273	8	27972	1	60
400	108274	8	27973	1	60
401	108323	8	27974	3	60
402	108560	8	27975	2	60
403	108561	8	27976	2	60
404	108562	8	27977	2	60
405	108563	8	27978	2	60
406	108564	8	27979	2	60
407	108565	8	27980	2	60
408	108934	8	27981	3	0
409	109211	8	27982	2	60
410	109393	8	27983	3	60
411	109394	8	27984	3	60
412	109395	8	27985	3	50
413	109396	8	27986	3	50
414	109397	8	27987	2	50
415	109398	8	27988	1	45
416	109399	8	27989	3	43
419	110407	8	27992	3	50
420	110535	8	27993	3	60
421	110859	8	27994	3	60
422	110967	8	27995	3	60
423	111431	8	27996	3	60
424	113008	8	27997	3	45
425	113009	8	27998	3	60
426	113010	8	27999	2	43
427	113011	8	28000	4	60
428	113012	8	28001	2	60
429	113013	8	28002	2	50
430	113014	8	28003	4	50
431	113015	8	35928	2	45
432	113016	8	35929	2	45
433	113017	8	35930	2	45
434	113018	8	35931	2	45
435	113019	8	35932	2	45
436	113020	8	35933	2	45
437	113022	8	35934	2	0
439	120574	8	35935	2	0
440	120629	8	35936	3	60
441	120630	8	35937	3	50
442	120755	8	35938	3	60
443	120844	8	35939	3	60
444	122086	8	35940	3	0
445	122115	8	35941	3	60
446	122466	8	35942	2	60
447	122467	8	35943	3	60
448	123058	8	35944	3	50
449	123059	8	35945	3	50
450	123060	8	35946	1	50
451	123061	8	35947	1	45
452	123299	8	35948	2	60
453	123315	8	35949	4	60
454	123316	8	35950	4	60
455	123776	8	35951	4	60
456	123964	8	35952	3	60
457	123999	8	35953	3	60
458	124000	8	35954	3	60
459	124085	8	35955	3	60
460	124086	8	35956	3	60
461	125555	8	35957	1	60
462	125928	8	35958	3	43
463	125929	8	35959	3	45
464	125930	8	35960	1	60
465	125931	8	35961	3	50
466	125932	8	35962	2	50
467	125933	8	35963	1	60
468	125934	8	35964	3	45
469	125935	8	35965	3	45
470	125936	8	35966	3	45
471	125937	8	35967	3	45
472	125938	8	35968	3	45
473	125939	8	35969	3	45
474	125940	8	35970	3	
475	126226	8	35971	3	60
476	126227	8	35972	3	50
