ID	ShopTemplateID1	ShopTemplateID2	ShopTemplateID3	ShopTemplateID4	ShopTemplateID5	ShopTemplateID6	ShopTemplateID7	ShopTemplateID8	ShopTemplateID9	ShopTemplateID10	ShopTemplateID11	ShopTemplateID12	ShopTemplateID13	ShopTemplateID14	ShopTemplateID15	ShopTemplateID16	ShopOptionText1	ShopOptionText2	ShopOptionText3	ShopOptionText4	ShopOptionText5	ShopOptionText6	ShopOptionText7	ShopOptionText8	ShopOptionText9	ShopOptionText10	ShopOptionText11	ShopOptionText12	ShopOptionText13	ShopOptionText14	ShopOptionText15	ShopOptionText16
3529	84																生活技艺·缝纫材料	洛阳城·配方 														
3530	381																防具															
3531	387																鞋子															
3532	383																衣服															
3534	405																武器·双兵															
3535	86																生活技艺·烹饪酒水															
3536	401																暗器															
3538	402																武器·枪															
3539	403																武器·棍															
3540	384																帽子															
3541	399																武器·笔															
3542	404																武器·剑															
3560	383																衣服															
3561	383																衣服															
3594	395																灵丹妙药															
3614	397																武器															
3615	395																灵丹妙药	枫华谷·配方														
3665	794																															
3670	401																暗器															
3696	82	57															阅读·抄书材料	长安城·书籍														
3697	84																生活技艺·缝纫材料	长安城·配方														
3699	80																生活技艺·铸造材料	长安城·配方														
3704	81																生活技艺·医术材料	长安城·配方														
3705	83																生活技艺·烹饪调味品															
3708	85																生活技艺·烹饪蔬菜															
3710	389																小吃美食	长安城·配方														
3715	86																生活技艺·烹饪酒水															
3717	395																灵丹妙药															
3723	388																背包															
3728	391																杂货															
3729	390																礼品															
3730	387																鞋子															
3732	145																声望-长安·装备	声望-长安·物资														
3736	381																防具															
3738	384																帽子															
3739	383																衣服															
3741	401																暗器															
3743	405																武器·双兵															
3744	402																武器·枪															
3745	403																武器·棍															
3746	404																武器·剑															
3748	399																武器·笔															
3768	401																暗器															
3769	397																武器															
3779	381																防具															
3780	138																稻香村·杂货															
3781	397																武器															
3782	381																防具															
3783	397																武器															
3784	159	160															声望-洛阳·装备	声望-洛阳·物资														
3790	58	393	394														长安城·坐骑	马具	草料													
3791	66	393	394														扬州城·坐骑	马具	草料													
3792	63	393	394														洛阳城·坐骑	马具	草料													
3811	391																杂货	纯阳·配方														
3812	391																杂货	七秀·配方														
3813	391																杂货															
3815	391																杂货	纯阳·配方														
3832	389																小吃美食															
3844	397																武器															
3845	397																武器															
3846	381																防具															
3847	381																防具															
3876	395																灵丹妙药															
3905	391	291															杂货	枫华谷·书籍	枫华谷·配方													
3983	391																杂货															
4019	391	313															杂货	南屏山·书籍	南屏山·配方													
4022	85																生活技艺·烹饪蔬菜															
4023	83																生活技艺·烹饪调味品															
4026	381																防具	南屏山·配方														
4027	395																灵丹妙药	南屏山·配方														
4042	85																生活技艺·烹饪蔬菜															
4043	83																生活技艺·烹饪调味品															
4048	401																暗器															
4072	391	313															杂货	南屏山·书籍	南屏山·配方													
4129	389																小吃美食	龙门荒漠·配方														
4132	391	306															杂货	龙门荒漠·书籍	龙门荒漠·配方													
4179	389																小吃美食	龙门荒漠·配方														
4197	397																武器															
4198	381																防具	龙门荒漠·配方														
4199	83																生活技艺·烹饪调味品															
4200	85																生活技艺·烹饪蔬菜															
4201	395																灵丹妙药	龙门荒漠·配方														
4202	391	306															杂货	龙门荒漠·书籍	龙门荒漠·配方													
4203	401																暗器															
4245	397																武器															
4290	391	306															杂货	龙门荒漠·书籍	龙门荒漠·配方													
4341	587																															
4394	377																第二门派·少林秘笈															
4395	379																第二门派·万花秘笈															
4403	378																第二门派·天策秘笈															
4405	401																暗器															
4406	397																武器															
4407	391	304															杂货	昆仑·书籍	昆仑·配方													
4408	389																小吃美食	昆仑·配方														
4415	376																第二门派七秀秘笈															
4464	375																第二门派·纯阳秘笈															
4521	381																防具	南屏山·配方														
4525	389																小吃美食	南屏山·配方														
4529	401																暗器															
4530	395																灵丹妙药	南屏山·配方														
4532	397																武器															
4536	397																武器															
4542	389																小吃美食	南屏山·配方														
4543	389																小吃美食	南屏山·配方														
4545	83																生活技艺·烹饪调味品															
4547	391	313															杂货	南屏山·书籍	南屏山·配方													
4552	401																暗器															
4555	395																灵丹妙药	南屏山·配方														
4556	397																武器															
4561	397																武器															
4599	381																防具	南屏山·配方														
4619	587																															
4640	391	316															杂货	瞿塘峡·书籍														
4665	395																灵丹妙药															
4668	198																															
4671	172																声望-扬州·物资	声望-扬州·物资														
4682	391	316															杂货	瞿塘峡·书籍														
4683	391	316															杂货	瞿塘峡·书籍														
4684	391	316															杂货	瞿塘峡·书籍														
4685	401																暗器															
4686	401																暗器															
4687	381	317															防具	瞿塘峡-任务·少儿的衣衫	瞿塘峡·配方													
4688	381	317															防具	瞿塘峡-任务·少儿的衣衫	瞿塘峡·配方													
4689	395																灵丹妙药															
4690	389																小吃美食	瞿塘峡·配方														
4691	389																小吃美食	瞿塘峡·配方														
4692	85																生活技艺·烹饪蔬菜															
4693	85																生活技艺·烹饪蔬菜															
4694	83																生活技艺·烹饪调味品															
4695	83																生活技艺·烹饪调味品															
4716	166																声望-少林·物资															
4724	1288	1293	1001	278					0	0																						
4742	200																															
4743	170																声望-万花·物资															
4752	164																声望-七秀·物资															
4753	149																声望-纯阳·物资															
4754	168																声望-天策·物资															
4766	86																生活技艺·烹饪酒水	扬州城·配方 														
4847	389																小吃美食	巴陵县·配方														
4848	85																生活技艺·烹饪蔬菜															
4850	391	280															杂货	巴陵县·书籍	巴陵县·配方													
4851	397	523															武器															
4852	381																防具	巴陵县·配方														
4853	401																暗器															
4854	395																灵丹妙药	巴陵县·配方														
4855	83																生活技艺·烹饪调味品															
4933	85																生活技艺·烹饪蔬菜															
5080	391	313															杂货	南屏山·书籍	南屏山·配方													
5096	391	313															杂货	南屏山·书籍	南屏山·配方													
5109	395																灵丹妙药	枫华谷·配方														
5150	391																杂货															
5164	391																杂货															
5175	391																杂货															
5188	391																杂货															
5336	83																生活技艺·烹饪调味品															
5337	85																生活技艺·烹饪蔬菜															
5338	395																灵丹妙药	昆仑·配方														
5429	315																南屏山·稀有商品															
5430	391																杂货															
5445	381																防具															
5446	388																背包															
5447	83																生活技艺·烹饪调味品															
5448	389																小吃美食	浩气盟·配方														
5449	391																杂货															
5450	81																生活技艺·医术材料	浩气盟·配方														
5451	395																灵丹妙药															
5452	401																暗器															
5453	82	295															阅读·抄书材料	浩气盟·书籍														
5454	155	156	157														声望-浩气盟·装备	声望-浩气盟·物资	声望-浩气盟·饰品													
5457	84																生活技艺·缝纫材料	浩气盟·配方														
5458	85																生活技艺·烹饪蔬菜															
5459	397																武器															
5460	375																第二门派·纯阳秘笈															
5461	377																第二门派·少林秘笈															
5462	378																第二门派·天策秘笈															
5463	379																第二门派·万花秘笈															
5464	376																第二门派七秀秘笈															
5535	397																武器															
5536	397																武器															
5708	80																生活技艺·铸造材料	长安城·配方														
5709	141																声望-镖局联盟·120品武器															
5720	390																礼品															
5724	80																生活技艺·铸造材料															
5854	391	280															杂货	巴陵县·书籍	巴陵县·配方													
5858	397																武器															
5874	952																															
5910	313																南屏山·书籍															
5932	949																															
5939	956																															
5945	953																															
5947	951																															
5979	137																稻香村·小吃美食															
5981	140																稻香村·武器															
5987	169																声望-万花·装备															
5993	162	1006															声望-南洋商会·装备															
5996	147	1004															声望-长歌门·装备	声望-长歌门·物资														
5998	173	1003															声望-隐元会·装备	声望-隐元会·物资														
5999	441																兑换牌·145品装备															
6003	442																兑换牌·145品装备															
6004	442																兑换牌·145品装备															
6186	391																杂货															
6388	138																稻香村·杂货															
6403	378																第二门派·天策秘笈															
6404	376																第二门派七秀秘笈															
6405	375																第二门派·纯阳秘笈															
6406	379																第二门派·万花秘笈															
6407	377																第二门派·少林秘笈															
6514	1184																															
6559																	冬至-金币·西域商品															
6560	93																冬至-金币·杂货															
6561																	冬至-货币·佳品															
6567	464	459	463														冬至-货币·恶人谷205品·上衣	冬至-货币·恶人谷205品腰带	冬至-货币·恶人谷205品·武器	冬至-货币·恶人谷230品·上衣	冬至-货币·恶人谷230品·帽子	冬至-货币·恶人谷230品·下装	冬至-货币·恶人谷230品·项链	冬至-货币·恶人谷230品·腰坠	冬至-货币·恶人谷230品·戒指							
6580	409																兑换·桃李饰品															
6644	948																															
6648	144																声望-藏剑·物资															
6649	143																声望-藏剑·装备															
6651	794																															
6653	397																武器															
6654	381																防具															
6655	395																灵丹妙药															
6656	391																杂货	藏剑·配方														
6657	389																小吃美食	藏剑·配方														
6658	83																生活技艺·烹饪调味品															
6659	85																生活技艺·烹饪蔬菜															
6660	82	106															阅读·抄书材料	藏剑·书籍														
6661	80																生活技艺·铸造材料	藏剑·配方														
6672	401																暗器															
6803	490																春节·龙兴阵介绍															
6810	87																春节-货币·奇货															
6811	88																春节-金币·礼盒															
6812	471																春节-货币·砸年兽材料	春节-金币·佳品														
6813	91																春节-金币·烟花															
6815	391	319															杂货	扬州·书籍														
6829	90																春节-金币·封家肉品															
7049	391																杂货															
7055	392	393	394														坐骑	马具	草料													
7111	391																杂货	藏剑·配方														
7164	161																声望-觅宝会·物资															
7245	396																香火															
7288	482	492	1156	1257	1258	1401	1402																									
7392	95	1085															端午节-金币·粽子杂货															
7393	96	1018															端午节-金币·粽子材料															
7534	592																吉祥杂货铺															
7689	374																第二门派·藏剑秘笈															
7692	374																第二门派·藏剑秘笈															
7693	374																第二门派·藏剑秘笈															
7696	924																															
7697	932																															
7698	927																															
7699	923																															
7700	929																															
7701	928																															
7727	326	0	0	0	0	0	0	0									帮会·丹房															
7730	338	0	0	0	0	0	0	0									帮会·工房															
7839	391																杂货															
7851	391																杂货															
7877	391																杂货															
8131	935	1002	279	1293	1138	1299	1119	1289	1371	1412	1363																					
8132	1288	1293	1001	278	1138	1299	1118	934	1370	1411	1362																					
8133	63	393	394														洛阳城·坐骑	马具	草料													
8134	66	393	394														扬州城·坐骑	马具	草料													
8182	140	0	0	0	0	0	0	0									稻香村·武器															
8251	391	0	0	0	0	0	0	0									杂货															
8418	391	0	0	0	0	0	0	0									杂货															
8808	407																五行石															
8892	470	465	469														冬至-货币·浩气盟205品·上衣	冬至-货币·浩气盟205品·腰带	冬至-货币·浩气盟205品·武器	冬至-货币·浩气盟230品·上衣	冬至-货币·浩气盟230品·帽子	冬至-货币·浩气盟230品·下装	冬至-货币·浩气盟230品·项链	冬至-货币·浩气盟230品·腰坠	冬至-货币·浩气盟230品·戒指							
8895			0	0	0	0	0	0									冬至-货币·205品御厨装备	冬至-货币·230品御厨装备														
8936	391	0	0	0	0	0	0	0									杂货															
8937	84		0	0	0	0	0	0									生活技艺·缝纫材料															
9373	82	123															阅读·抄书材料	五毒-任务·山歌														
9377	401																暗器															
9384	193	1009															声望-五毒·装备															
9385	391																杂货															
9404	1173																杂货															
9429	391																杂货															
9446	395																灵丹妙药															
9448	391																杂货															
9468	794																															
9507	955																															
9508	931																															
9772	140																武器															
9785	391	846	903	0	0	0	0	0									杂货															
9786	391	0	0	0	0	0	0	0									杂货															
9787	368	0	0	0	0	0	0	0									帮会·种子															
9788	330	0	0	0	0	0	0	0									帮会-钓鱼·渔具															
9789	510	0	0	0	0	0	0	0																								
9790	945			0	0	0	0	0																								
9791	941			0	0	0	0	0																								
9792	942			0	0	0	0	0																								
9793	937			0	0	0	0	0																								
9794	936			0	0	0	0	0																								
9795	944			0	0	0	0	0																								
9799	366	0	0	0	0	0	0	0									擂台·小吃															
9800	364	0	0	0	0	0	0	0									擂台·宴席															
9854	82																阅读·抄书材料															
9856	176	177															声望-拜火教·装备	声望-拜火教·物资														
9862	381																防具															
9863	84																生活技艺·缝纫材料															
9864	80																生活技艺·铸造材料															
9865	81																															
9866	83																生活技艺·烹饪调味品															
9867	388																背包															
9868	391																杂货															
9870	60	393	394														成都·坐骑	马具	草料													
9882	182																声望-九黎族·物资															
9883	190	189															声望-天南王家·装备	声望-天南王家·物资														
9884	183	184															声望-藏经阁·装备	声望-藏经阁·物资														
9885	174	175															声望-霸刀·南离营·装备	声望-霸刀·南离营·物资														
9887	180	181															声望-大理宫·装备	声望-大理宫·物资														
9888	186	187															声望-塔纳·装备	声望-塔纳·物资														
9889	195	194															声望-轩辕舍·物资	声望-轩辕舍·装备														
10047	391																杂货															
10048	391																杂货															
10049	401																暗器															
10051	381																防具															
10053	401	0	0	0	0	0	0	0									暗器															
10108	395	0	0	0	0	0	0	0									灵丹妙药															
10118	1268	0	0	0	0	0	0	0																								
10348	100	0	0	0	0	0	0	0									阿甘的天工囊															
10398	510	0	0	0	0	0	0	0									帮会·江湖书库															
10416	367	0	0	0	0	0	0	0									擂台·昭义帖															
10426	329	0	0	0	0	0	0	0									帮会-钓鱼·火折子															
10592	391																杂货															
10595	391																杂货															
10596	391																杂货															
10598	391	0	0	0	0	0	0	0									杂货															
10599	391	0	0	0	0	0	0	0									杂货															
10617	391	0	0	0	0	0	0	0									杂货															
10618	391	319	0	0	0	0	0	0									杂货	扬州·书籍														
10619	391	319	0	0	0	0	0	0									杂货	扬州·书籍														
10621	391	319	0	0	0	0	0	0									杂货	扬州·书籍														
10622	391	319	0	0	0	0	0	0									杂货	扬州·书籍														
10624	391																杂货															
10640	397	0	0	0	0	0	0	0									武器															
10850	331	901	0	0	0	0	0	0									帮会·战旗															
10852	322	0	0	0	0	0	0	0									帮会·牌匾															
10896	339	0	0	0	0	0	0	0									帮会·工房															
10897	340	0	0	0	0	0	0	0									帮会·工房															
10898	327	0	0	0	0	0	0	0									帮会·丹房															
10899	328	0	0	0	0	0	0	0									帮会·丹房															
10900	323	0	0	0	0	0	0	0									帮会·牌匾															
10901	324	0	0	0	0	0	0	0									帮会·牌匾															
10902	325	0	0	0	0	0	0	0									帮会·牌匾															
10903	332	900	0	0	0	0	0	0									帮会·战旗															
10904	333	899	0	0	0	0	0	0									帮会·战旗															
10905	334	898	0	0	0	0	0	0									帮会·战旗															
10986	1247	0	0	0	0	0	0	0									帮会·宴席															
11238	397	0	0	0	0	0	0	0									武器															
12111	391																杂货															
12112	391	0	0	0	0	0	0	0									杂货															
12113	391	0	0	0	0	0	0	0									杂货															
12404	391	0	0	0	0	0	0	0									杂货															
12405	391	0	0	0	0	0	0	0									杂货															
12527	391	0	0	0	0	0	0	0									杂货															
12606	176	177	0	0	0	0	0	0									声望-拜火教·装备	声望-拜火教·物资														
12930	365	0	0	0	0	0	0	0									擂台·鲜花															
13102	391																杂货															
13103	391																杂货															
13104	391																杂货															
13113	381																防具															
13114	397																武器															
13115	392	393	394														坐骑	马具	草料													
13211	397																武器															
13212	381	0	0	0	0	0	0	0									防具															
13213	397	0	0	0	0	0	0	0									武器															
13214	381																防具															
13215	381	0	0	0	0	0	0	0									防具															
13216	401																暗器															
13217	401	0	0	0	0	0	0	0									暗器															
13218	401	0	0	0	0	0	0	0									暗器															
13219	395	0	0	0	0	0	0	0									灵丹妙药															
13220	395	0	0	0	0	0	0	0									灵丹妙药															
13221	395	0	0	0	0	0	0	0									灵丹妙药															
14017	182	0	0	0	0	0	0	0									声望-九黎族·物资															
14111	85	0	0	0	0	0	0	0									生活技艺·烹饪蔬菜															
14112	86	0	0	0	0	0	0	0									生活技艺·烹饪酒水															
14113	395	0	0	0	0	0	0	0									灵丹妙药															
14114	401	0	0	0	0	0	0	0									暗器															
14189	391	0	0	0	0	0	0	0									杂货															
14190	391	0	0	0	0	0	0	0									杂货															
14191	391	0	0	0	0	0	0	0									杂货															
14192	391	0	0	0	0	0	0	0									杂货															
14193	391	0	0	0	0	0	0	0									杂货															
14194	391	0	0	0	0	0	0	0									杂货															
14195	391	0	0	0	0	0	0	0									杂货															
14196	391	0	0	0	0	0	0	0									杂货															
14197	391	0	0	0	0	0	0	0									杂货															
14198	391	0	0	0	0	0	0	0									杂货															
14199	391	0	0	0	0	0	0	0									杂货															
14223	397	0	0	0	0	0	0	0									武器															
14224	381	0	0	0	0	0	0	0									防具															
14225	401	0	0	0	0	0	0	0									暗器															
14226	395	0	0	0	0	0	0	0									灵丹妙药															
14227	397	0	0	0	0	0	0	0									武器															
14228	397	0	0	0	0	0	0	0									武器															
14229	397	0	0	0	0	0	0	0									武器															
14230	381	0	0	0	0	0	0	0									防具															
14231	381	0	0	0	0	0	0	0									防具															
14232	381	0	0	0	0	0	0	0									防具															
14233	401	0	0	0	0	0	0	0									暗器															
14234	401	0	0	0	0	0	0	0									暗器															
14235	401	0	0	0	0	0	0	0									暗器															
14236	395	0	0	0	0	0	0	0									灵丹妙药															
14237	395	0	0	0	0	0	0	0									灵丹妙药															
14238	395	0	0	0	0	0	0	0									灵丹妙药															
14259	180	181	0	0	0	0	0	0									声望-大理宫·装备	声望-大理宫·物资														
14262	189	190	0	0	0	0	0	0									声望-天南王家·物资	声望-天南王家·装备														
14266	187	186	0	0	0	0	0	0									声望-塔纳·物资	声望-塔纳·装备														
14267	192	191		0	0	0	0	0									声望-祝融殿·物资	声望-祝融殿·装备														
14272	183	184	0	0	0	0	0	0									声望-藏经阁·装备	声望-藏经阁·物资														
14273	195	194	0	0	0	0	0	0									声望-轩辕舍·物资	声望-轩辕舍·装备														
14274	174	175	0	0	0	0	0	0									声望-霸刀·装备	声望-霸刀·物资														
14275	181	180	0	0	0	0	0	0									声望-大理宫·物资	声望-大理宫·装备														
14319	391	0	0	0	0	0	0	0									杂货															
14326	761	0	0	0	0	0	0	0									糖葫芦															
14352	80																生活技艺·铸造材料	洛阳城·配方 														
14356	80																生活技艺·铸造材料	洛阳城·配方 														
14359	391	0	0	0	0	0	0	0									杂货															
14360	391	0	0	0	0	0	0	0									杂货															
14364	84		0	0	0	0	0	0									生活技艺·缝纫材料	洛阳城·配方 														
14365	80		0	0	0	0	0	0									生活技艺·缝纫材料	洛阳城·配方 														
14457	341	0	0	0	0	0	0	0									帮会·宝物															
14458	342	0	0	0	0	0	0	0									帮会·宝物															
14459	343	0	0	0	0	0	0	0									帮会·宝物															
14559	140	0	0	0	0	0	0	0									稻香村·武器															
