ID	AnnounceType	CoolDownID	OwnDuration	BuffID	BuffLevel	Type	TitleID	SFXID
293	1					1		
294	1					1		
295	1					1		
296	1					1		
297	1					1		
298	1							
299	1					1		
300	1					1		3
301	3	380				1		100
302	3	380				1		101
303	3	380				1		102
304	3	380				1		103
305	3	380				1		104
306	3	380				1		105
307	0							
308	0							
309	0							
310	0							
311	1							
312	1							
313	1							
314	1							
315	1							
316	1							
317	1							
318	1							
319	1							
320	1							
321	1					1		
322	1							
323	1					1		4
324	1							
325	3							
326	3							
327	3							
328	3							
329	3					1		
330	3					1		
331	3					1		
332	3					1		
333	1							
335	3		604800			1	27	
336	3		604800			1	28	
337	3		604800			1	29	
338	3		604800			1	30	
339	3		604800			1	31	
340	3		604800			1	32	
341	3		604800			1	33	
342	3		604800			1	34	
343	3		604800			1	35	
344	3		604800			1	36	
345	3		604800			1	37	
346	3		604800			1	38	
347	3		604800			1	39	
348	3		604800			1	40	
349	3		604800			1	41	
350	3					1		
351	3					1		
352	3					1		
353	3					1		
354	3					1		
355	1							
356	1					1		
357	1							
358	1							
359	1							
360	1					1		
361	1							5
362	1					1		
363	1							6
364	1					1		
365	1					1		
366	1					1		
367	1					1		
368	1					1		
369	1					1		
370	1							
371	1					1		
372	1					1		
373	1					1		
374	1					1		
375	1					1		
376	1					1		
377	1					1		7
378	1					1		8
379	1					1		9
380	1					1		10
381	1					1		11
382	1					1		12
383	1					1		13
384	1					1		14
385	1					1		15
386	1					1		16
387	1					1		17
388	1					1		18
389	1					1		19
390	3	380				1		106
391	3	380				1		107
392	3	380				1		108
393	3	380				1		109
394	1		604800	13209	1	1		
395	3		900			1		
396	1					1		
397	1					1		
398	3		5184000			1		
399	3		5184000			1		
400	3					1		
401	3					1		
402	3					1		
403	3					1		
404	3							110
405	1							
406	1					1		
407	3		7200			1	42	
408	3		7200			1	43	
409	3		2592000			1		
410	3		2592000			1		
411	1					1		
412	1					1		
413	1					1		
414	1		432000			1		
415	1		432000			1		
416	1					1		
417	1					1		
418	1							
419	1					1		
420	1		7776000			1		
421	3					1		
422	1					1		20
423	1					1		
424	3					1		
425	3					1		
426	1					1		21
427	1		7776000			1		
428	1		7776000			1		
429	1		7776000			1		
430	1							
431	1							
432	3					1		
433	3					1		
434	1		2592000			1	44	
435	3					1		
436	1					1		
437	1							
438	1							
439	1							
440	1							
441	1							
442	1							
443	1							
444	1							
445	1							
446	1							
447	1							
448	1							
449	1							
450	1							
451	1					1		22
452	1					1		23
453	1							
454	1							
455	1					1		
456	1							
457	1							
458	1					1		
459	1					1		24
460	1					1		25
461	1					1		26
462	1					1		27
463	1					1		28
464	1					1		29
465	1					1		30
466	1					1		31
467	1					1		32
468	1					1		33
469	1					1		34
470	1					1		35
471	1					1		36
472	1					1		37
473	1					1		38
474	1					1		
475	1					1		
476	1					1		
477	1					1		
478	1					1		
479	1					1		
480	1							
481	1							
482	1							
483	1							
484	1							
485	1					1		
486	1					1		
487	1					1		
488	1					1		
489	1					1		
490	1					1		39
491	1							
492	1							
493	1							40
494	1					1		
495	3					1		
496	3					1		
497	1							
498	1							
499	1							
500	1					1		
501	1					1		
502	1							
503	1							
504	1							
505	1					1		41
506	1					1		42
507	3					1		
508	3					1		
509	3					1		
510	3					1		
511	3					1		
512	3					1		
513	3					1		
514	3					1		
515	3					1		
516	3					1		
517	3					1		
518	1							
519	3					1		43
520	3					1		44
521	3					1		45
522	3					1		46
523	3					1		47
524	3					1		48
525	3					1		49
526	3					1		50
527	3					1		51
528	3					1		
529	1							
530	3					1		
531	3					1		52
532	1					1		
533	3					1		
534	3					1		
535	3					1		53
536	3					1		
537	3					1		
538	3					1		
539	3					1		54
540	3					1		55
541	1					1		56
542	1					1		57
543	1					1		58
544	1					1		59
545	1					1		60
546	1					1		61
547	1					1		62
548	1					1		63
549	1					1		64
550	1					1		65
551	1					1		66
552	1					1		67
553	1					1		68
554	1					1		69
555	1					1		70
556	1					1		71
557	1							
558	1		7776000			1		
559	1		7776000			1		
560	1		7776000			1		
561	1		7776000			1		
562	1					1		
563	3					1		
564	3					1		
565	3					1		
566	3					1		
567	3					1		
568	3					1		
569	3					1		
570	3					1		
571	3					1		
572	1							
573	1							
574	1							
575	1							
576	3					1		
577	1							
578	1							
579	1					1		
580	1					1		
581	1							
582	1					1		
583	1					1		72
584	1							
585	1							
586	1							
587	1					1		73
588	1					1		74
589	1							
590	1					1		
591	1					1		
592	1					1		
593	1		172800	23145	1	1	45	
594	1							
595	1					1		
596	1					1		
597	1					1		
598	1					1		
599	1					1		
600	1					1		
601	3					1		
602	3					1		
603	3					1		
604	3					1		
605	3					1		
606	3					1		
607	3					1		
608	3					1		
609	3					1		
610	1					1		75
611	1					1		
612	1					1		
613	1					1		76
614	1					1		77
615	1					1		78
616	1					1		79
617	1					1		80
618	1					1		81
619	1					1		82
620	1					1		83
621	1					1		84
622	1					1		85
623	1					1		86
624	1					1		87
625	1					1		88
626	1					1		89
627	1					1		90
628	1					1		91
629	1					1		92
630	1					1		
631	1					1		
632	1					1		
633	1							
634	1							
635	1					1		
636	1					1		
637	1					1		93
638	1							
639	1							
640	1					1		
641	1					1		
642	1					1		
643	1		604800			1	46	
644	1		5443200			1	47	
645	1					1		123
646	1		10800			1	48	
647	1					1		
648	1							
649	1					1		
650	1							
651	1							
652	1							
653	1					1		
654	1					1		
655	1					1		
656	1					1		
657	1							
658	1					1		125
659	1							
660	1					1		
661	1							
662	1							
663	1							
664	1							
665	1							
666	1							
667	1							
668	3					1		
669	3					1		
670	3					1		
671	3					1		
672	3					1		
673	3					1		
674	3					1		
675	3					1		
676	3					1		
677	1					1		
678	1							126
679	1							
680	1					1		
681	1							
682	1					1		127
683	1					1		128
684	1					1		129
685	1					1		130
686	1					1		131
687	1					1		132
688	1					1		133
689	1					1		134
690	1					1		135
691	1					1		136
692	1					1		137
693	1					1		138
694	1					1		139
695	1					1		140
696	1					1		141
697	1					1		142
698	1					1		143
699	1					1		144
700	1					1		
701	1							
702	1							
703	1					1		
704	1							
705	1					1		
706	1					1		
707	1							145
708	1					1		
709	1					1		
710	1					1		146
