Level	Experience	Strength	Agility	Vitality	Spirit	Spunk	MaxLife	MaxMana	MaxStamina	MaxThew	MaxAssistExp	MaxAssistTimes	RunSpeed	JumpSpeed	Height	LifeReplenish	LifeReplenishPercent	LifeReplenishExt	ManaReplenish	ManaReplenishPercent	ManaReplenishExt	HitBase	ParryBaseRate	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	NoneWeaponAttackSpeedBase	MaxPhysicsDefence	WorldChannelDailyLimit	ForceChannelDailyLimit	CampChannelDailyLimit	MaxContribution	WhisperDailyLimit	IdentityChannelDailyLimit	SprintPowerMax	SprintPowerCost	SprintPowerRevive	SprintPowerCostOnWall	SprintPowerCostStandOnWall	SprintPowerCostRunOnWallExtra	HorseSprintPowerMax	HorseSprintPowerCost	HorseSprintPowerRevive	SceneChannelDailyLimit	NearbyChannelDailyLimit	WorldChannelDailyLimitByVIP	WorldChannelDailyLimitBySuperVIP
14	15176	5	6	6	6	5	304	121	630	620	100	12											300								3	20	0	30000	80	20	80400	185	45	128	128	200	76400	200	33	20	200	60	90
15	16308	6	6	6	6	6	316	125	630	630	100	12											300								3	20	0	30000	80	20	81000	185	45	128	128	200	77000	200	33	20	200	60	90
16	17493	6	6	7	6	6	342	128	640	630	100	12											300								3	20	0	30000	80	20	81600	185	45	128	128	200	77600	200	33	20	200	60	90
17	18735	6	7	7	7	6	367	132	650	640	100	13											300								3	20	0	30000	80	20	82200	185	45	128	128	200	78200	200	33	20	200	60	90
18	20039	7	7	7	7	7	392	136	650	640	100	13											300								3	20	0	30000	80	20	82800	185	45	128	128	200	78800	200	33	20	200	60	90
19	21403	7	7	8	7	7	418	140	660	650	100	13											300								20	30	0	30000	-1	30	83400	185	45	128	128	200	79400	200	33	500	5000	60	90
20	22828	7	8	8	8	7	443	143	670	650	100	13											300								20	30	0	30000	-1	30	84000	185	45	128	128	200	80000	200	33	500	5000	60	90
21	24322	8	8	8	8	8	468	147	670	660	100	13											300								20	30	0	30000	-1	30	84600	185	45	128	128	200	80600	200	33	500	5000	60	90
22	25886	8	8	9	8	8	494	151	680	660	100	13											300								20	30	0	30000	-1	30	85200	185	45	128	128	200	81200	200	33	500	5000	60	90
23	27523	8	9	9	9	8	519	154	720	670	100	13											300								20	30	0	30000	-1	30	85800	185	45	128	128	200	81800	200	33	500	5000	60	90
24	29234	9	9	9	9	9	545	158	760	670	100	13											300								20	30	0	30000	-1	30	86400	185	45	128	128	200	82400	200	33	500	5000	60	90
25	31023	9	9	10	9	9	570	162	800	680	100	13											300								20	30	0	30000	-1	30	87000	185	45	128	128	200	83000	200	33	500	5000	60	90
26	32891	9	10	10	10	9	595	165	840	680	100	14											300								20	30	0	30000	-1	30	87600	185	45	128	128	200	83600	200	33	500	5000	60	90
27	34840	10	10	10	10	10	621	169	880	690	100	14											300								20	30	0	30000	-1	30	88200	185	45	128	128	200	84200	200	33	500	5000	60	90
28	36879	10	10	11	10	10	646	173	920	720	100	14											300								20	30	0	30000	-1	30	88800	185	45	128	128	200	84800	200	33	500	5000	60	90
29	39010	10	11	11	11	10	671	176	960	760	100	14											300								20	30	0	30000	-1	30	89400	185	45	128	128	200	85400	200	33	500	5000	60	90
30	41236	11	11	11	11	11	697	180	1000	800	100	14											300								30	50	20	30000	-1	50	90000	185	45	128	128	200	86000	200	33	500	5000	60	90
31	43560	11	11	12	11	11	722	187	1040	840	100	14											300								30	50	20	30000	-1	50	90600	185	45	128	128	200	86600	200	33	500	5000	60	90
32	45983	11	12	12	12	11	747	191	1080	880	100	14											300								30	50	20	30000	-1	50	91200	185	45	128	128	200	87200	200	33	500	5000	60	90
33	48516	12	12	12	12	12	773	198	1120	920	100	14											300								30	50	20	30000	-1	50	91800	185	45	128	128	200	87800	200	33	500	5000	60	90
34	51161	12	12	13	12	12	798	206	1160	960	100	14											300								30	50	20	30000	-1	50	92400	185	45	128	128	200	88400	200	33	500	5000	60	90
35	53915	12	13	13	13	12	823	210	1200	1000	100	15											300								30	50	20	30000	-1	50	93000	185	45	128	128	200	89000	200	33	500	5000	60	90
36	56794	13	13	13	13	13	849	217	1240	1040	100	15											300								30	50	20	30000	-1	50	93600	185	45	128	128	200	89600	200	33	500	5000	60	90
37	59795	13	13	14	13	13	874	221	1280	1080	100	15											300								30	50	20	30000	-1	50	94200	185	45	128	128	200	90200	200	33	500	5000	60	90
38	62921	13	14	14	14	13	899	228	1320	1120	100	15											300								30	50	20	30000	-1	50	94800	185	45	128	128	200	90800	200	33	500	5000	60	90
39	66182	14	14	14	14	14	925	235	1360	1160	100	15											300								30	50	20	30000	-1	50	95400	185	45	128	128	200	91400	200	33	500	5000	60	90
40	69582	14	14	15	14	14	950	239	1400	1200	100	15											300								30	50	20	30000	-1	50	96000	185	45	128	128	200	92000	200	33	500	5000	60	90
41	73132	14	15	15	15	14	975	246	1440	1240	100	15											300								30	50	20	30000	-1	50	96600	185	45	128	128	200	92600	200	33	500	5000	60	90
42	76828	15	15	15	15	15	1001	250	1480	1280	100	15											300								30	50	20	30000	-1	50	97200	185	45	128	128	200	93200	200	33	500	5000	60	90
43	80683	15	15	16	15	15	1026	257	1520	1320	100	16											300								30	50	20	30000	-1	50	97800	185	45	128	128	200	93800	200	33	500	5000	60	90
44	84699	15	16	16	16	15	1052	265	1560	1360	100	16											300								30	50	20	30000	-1	50	98400	185	45	128	128	200	94400	200	33	500	5000	60	90
45	88881	16	16	16	16	16	1077	268	1600	1400	100	16											300								30	50	20	30000	-1	50	99000	185	45	128	128	200	95000	200	33	500	5000	60	90
46	93241	16	16	17	16	16	1102	276	1640	1440	100	16											300								30	50	20	30000	-1	50	99600	185	45	128	128	200	95600	200	33	500	5000	60	90
47	97784	16	17	17	17	16	1128	283	1680	1480	100	16											300								30	50	20	30000	-1	50	100200	185	45	128	128	200	96200	200	33	500	5000	60	90
48	102514	17	17	17	17	17	1153	287	1720	1520	100	16											300								30	50	20	30000	-1	50	100800	185	45	128	128	200	96800	200	33	500	5000	60	90
49	107436	17	17	18	17	17	1178	294	1760	1560	100	16											300								30	50	20	30000	-1	50	101400	185	45	128	128	200	97400	200	33	500	5000	60	90
50	112563	17	18	18	18	17	1204	298	1800	1600	100	16											300								30	50	20	50000	-1	50	102000	185	45	128	128	200	98000	200	33	500	5000	60	90
51	117900	18	18	18	18	18	1229	305	1840	1640	100	16											300								30	50	20	50000	-1	50	102600	185	45	128	128	200	98600	200	33	500	5000	60	90
52	123460	18	18	19	18	18	1254	313	1880	1680	100	17											300								30	50	20	50000	-1	50	103200	185	45	128	128	200	99200	200	33	500	5000	60	90
53	129242	18	19	19	19	18	1280	316	1920	1720	100	17											300								30	50	20	50000	-1	50	103800	185	45	128	128	200	99800	200	33	500	5000	60	90
54	135257	19	19	19	19	19	1305	324	1960	1760	100	17											300								30	50	20	50000	-1	50	104400	185	45	128	128	200	100400	200	33	500	5000	60	90
55	141523	19	19	20	19	19	1330	331	2000	1800	100	17											300								30	50	20	50000	-1	50	105000	185	45	128	128	200	101000	200	33	500	5000	60	90
56	148044	19	20	20	20	19	1356	335	2040	1840	100	17											300								30	50	20	50000	-1	50	105600	185	45	128	128	200	101600	200	33	500	5000	60	90
57	154826	20	20	20	20	20	1381	342	2080	1880	100	17											300								30	50	20	50000	-1	50	106200	185	45	128	128	200	102200	200	33	500	5000	60	90
58	161885	20	20	21	20	20	1406	346	2120	1920	100	17											300								30	50	20	50000	-1	50	106800	185	45	128	128	200	102800	200	33	500	5000	60	90
59	169228	20	21	21	21	20	1432	353	2160	1960	100	17											300								30	50	20	50000	-1	50	107400	185	45	128	128	200	103400	200	33	500	5000	60	90
60	176860	21	21	21	21	21	1457	361	2200	2000	100	17											300								30	50	20	100000	-1	50	108000	185	45	128	128	200	104000	200	33	500	5000	60	90
61	184800	21	21	22	21	21	1483	364	2240	2040	100	18											300								30	50	20	100000	-1	50	108600	185	45	128	128	200	104600	200	33	500	5000	60	90
62	193063	21	22	22	22	21	1508	372	2280	2080	100	18											300								30	50	20	100000	-1	50	109200	185	45	128	128	200	105200	200	33	500	5000	60	90
63	201646	22	22	22	22	22	1533	375	2320	2120	100	18											300								30	50	20	100000	-1	50	109800	185	45	128	128	200	105800	200	33	500	5000	60	90
64	210579	22	22	23	22	22	1559	383	2360	2160	100	18											300								30	50	20	100000	-1	50	110400	185	45	128	128	200	106400	200	33	500	5000	60	90
65	219857	22	23	23	23	22	1584	390	2400	2200	100	18											300								30	50	20	100000	-1	50	111000	185	45	128	128	200	107000	200	33	500	5000	60	90
66	229511	23	23	23	23	23	1609	394	2440	2240	100	18											300								30	50	20	100000	-1	50	111600	185	45	128	128	200	107600	200	33	500	5000	60	90
67	239548	23	23	24	23	23	1635	401	2480	2280	100	18											300								30	50	20	100000	-1	50	112200	185	45	128	128	200	108200	200	33	500	5000	60	90
68	249976	23	24	24	24	23	1660	408	2520	2320	100	18											300								30	50	20	100000	-1	50	112800	185	45	128	128	200	108800	200	33	500	5000	60	90
69	260816	24	24	24	24	24	1685	412	2560	2360	100	18											300								30	50	20	100000	-1	50	113400	185	45	128	128	200	109400	200	33	500	5000	60	90
70	272076	24	24	25	24	24	1711	420	2600	2400	100	18											300								30	50	20	150000	-1	50	114000	185	45	128	128	200	110000	200	33	500	5000	60	90
71	283776	24	25	25	25	24	1736	456	2640	2440	100	18											300								30	50	20	155000		50	114600	185	45	128	128	200	110600	200	33	500	5000	60	90
72	295937	25	25	25	25	25	1761	501	2680	2480	100	18											300								30	50	20	160000		50	115200	185	45	128	128	200	111200	200	33	500	5000	60	90
73	308570	25	25	26	25	25	1787	537	2720	2520	100	18											300								30	50	20	165000		50	115800	185	45	128	128	200	111800	200	33	500	5000	60	90
74	321695	25	26	26	26	25	1812	582	2760	2560	100	18											300								30	50	20	170000		50	116400	185	45	128	128	200	112400	200	33	500	5000	60	90
75	335336	26	26	26	26	26	1837	618	2800	2600	100	18											300								30	50	20	175000		50	117000	185	45	128	128	200	113000	200	33	500	5000	60	90
76	349503	26	26	27	26	26	1863	663	2840	2640	100	18											300								30	50	20	180000		50	117600	185	45	128	128	200	113600	200	33	500	5000	60	90
77	364218	26	27	27	27	26	1888	700	2880	2680	100	18											300								30	50	20	185000		50	118200	185	45	128	128	200	114200	200	33	500	5000	60	90
78	379507	27	27	27	27	27	1913	736	2920	2720	100	18											300								30	50	20	190000		50	118800	185	45	128	128	200	114800	200	33	500	5000	60	90
79	395379	27	27	28	27	27	1939	781	2960	2760	100	18											300								30	50	20	195000		50	119400	185	45	128	128	200	115400	200	33	500	5000	60	90
80	411860	27	28	28	28	27	1964	817	3000	2800	100	18											300								30	50	20	200000		50	120000	185	45	128	128	200	116000	200	33	500	5000	60	90
81	428976	28	28	28	28	28	1990	876	3000	2820	100	18											300								30	50	20	200000		50	120600	185	45	128	128	200	116600	200	33	500	5000	60	90
82	446750	28	28	29	28	28	2015	935	3000	2840	100	18											300								30	50	20	200000		50	121200	185	45	128	128	200	117200	200	33	500	5000	60	90
83	465198	28	29	29	29	28	2040	994	3000	2860	100	18											300								30	50	20	200000		50	121800	185	45	128	128	200	117800	200	33	500	5000	60	90
84	484357	29	29	29	29	29	2066	1053	3000	2880	100	18											300								30	50	20	200000		50	122400	185	45	128	128	200	118400	200	33	500	5000	60	90
85	504244	29	29	30	29	29	2091	1112	3000	2900	100	18											300								30	50	20	200000		50	123000	185	45	128	128	200	119000	200	33	500	5000	60	90
86	524884	29	30	30	30	29	2116	1171	3000	2920	100	18											300								30	50	20	200000		50	123600	185	45	128	128	200	119600	200	33	500	5000	60	90
87	546321	30	30	30	30	30	2142	1223	3000	2940	100	18											300								30	50	20	200000		50	124200	185	45	128	128	200	120200	200	33	500	5000	60	90
88	568570	30	30	31	30	30	2167	1282	3000	2960	100	18											300								30	50	20	200000		50	124800	185	45	128	128	200	120800	200	33	500	5000	60	90
89	591660	30	31	31	31	30	2192	1341	3000	2980	100	18											300								30	50	20	200000		50	125400	185	45	128	128	200	121400	200	33	500	5000	60	90
90	615621	31	31	31	31	31	2218	1400	3000	3000	100	18											300								30	50	20	200000		50	126000	185	45	128	128	200	122000	200	33	500	5000	60	90
91	640485	31	31	32	31	31	2756	1500	3000	3020	100	18											300								30	50	20	220000		50	126600	185	45	128	128	200	122600	200	33	500	5000	60	90
92	666281	31	32	32	32	31	3295	1600	3000	3040	100	18											300								30	50	20	240000		50	127200	185	45	128	128	200	123200	200	33	500	5000	60	90
93	693059	32	32	32	32	32	3834	1700	3000	3060	100	18											300								30	50	20	260000		50	127800	185	45	128	128	200	123800	200	33	500	5000	60	90
94	720835	32	32	33	32	32	4372	1800	3000	3080	100	18											300								30	50	20	280000		50	128400	185	45	128	128	200	124400	200	33	500	5000	60	90
95	1959552	32	33	33	33	32	4911	1900	3000	3100	100	18											300								60	100	50	300000		100	129000	185	45	128	128	200	125000	200	33	500	5000	60	90
96	2258124	33	33	33	33	33	6084	2200	3000	3120	100	18											300								60	100	50	300000		100	129600	185	45	128	128	200	125600	200	33	500	5000	60	90
97	2596838	33	33	34	33	33	7256	2500	3000	3140	100	18											300								60	100	50	300000		100	130200	185	45	128	128	200	126200	200	33	500	5000	60	90
98	2980704	33	34	34	34	33	8429	2800	3000	3160	100	18											300								60	100	50	300000		100	130800	185	45	128	128	200	126800	200	33	500	5000	60	90
99	3415350	34	34	34	34	34	9601	3100	3000	3180	100	18											300								60	100	50	300000		100	131400	185	45	128	128	200	127400	200	33	500	5000	60	90
100	3907124	34	34	35	34	34	10774	3400	3000	3200	100	18											300								60	100	50	300000		100	132000	185	45	128	128	200	128000	200	33	500	5000	60	90
101	4575837	34	35	35	35	34	12073	3600	3000	3220	100	18											300								60	100	50	300000		100	132600	185	45	128	128	200	128600	200	33	500	5000	60	90
102	4937526	35	35	35	35	35	13372	3800	3000	3240	100	18											300								60	100	50	300000		100	133200	185	45	128	128	200	129200	200	33	500	5000	60	90
103	5316795	35	35	36	35	35	14671	4000	3000	3260	100	18											300								60	100	50	300000		100	133800	185	45	128	128	200	129800	200	33	500	5000	60	90
104	5714376	35	36	36	36	35	15970	4200	3000	3280	100	18											300								60	100	50	300000		100	134400	185	45	128	128	200	130400	200	33	500	5000	60	90
105	6131025	36	36	36	36	36	17270	4400	3000	3300	100	18											300								60	100	50	300000		100	135000	185	45	128	128	200	131000	200	33	500	5000	60	90
106	6567548	36	36	37	36	36	18569	4600	3000	3320	100	18											300								60	100	50	300000		100	135600	185	45	128	128	200	131600	200	33	500	5000	60	90
107	7024725	36	37	37	37	36	19868	4800	3000	3340	100	18											300								60	100	50	300000		100	136200	185	45	128	128	200	132200	200	33	500	5000	60	90
108	7503440	37	37	37	37	37	21167	5000	3000	3360	100	18											300								60	100	50	300000		100	136800	185	45	128	128	200	132800	200	33	500	5000	60	90
109	8004551	37	37	38	37	37	22466	5200	3000	3380	100	18											300								60	100	50	300000		100	137400	185	45	128	128	200	133400	200	33	500	5000	60	90
110	8528970	37	38	38	38	37	23766	5400	3000	3400	100	18											300								60	100	50	300000		100	138000	185	45	128	128	200	134000	200	33	500	5000	60	90
111	9168642	38	38	38	38	38	26618	5600	3000	3400	100	18											300								60	100	50	300000		100	138600	185	45	128	128	200	134600	200	33	500	5000	60	90
112	9601095	38	38	39	38	38	29470	5800	3000	3400	100	18											300								60	100	50	300000		100	139200	185	45	128	128	200	135200	200	33	500	5000	60	90
113	10051238	38	39	39	39	38	32322	6000	3000	3400	100	18											300								60	100	50	300000		100	139800	185	45	128	128	200	135800	200	33	500	5000	60	90
114	10519755	39	39	39	39	39	35173	6200	3000	3400	100	18											300								60	100	50	300000		100	140400	185	45	128	128	200	136400	200	33	500	5000	60	90
115	11007328	39	39	40	39	39	38025	6400	3000	3400	100	18											300								60	100	50	300000		100	141000	185	45	128	128	200	137000	200	33	500	5000	60	90
116	11514685	39	40	40	40	39	40877	6600	3000	3400	100	18											300								60	100	50	300000		100	141600	185	45	128	128	200	137600	200	33	500	5000	60	90
117	12042574	40	40	40	40	40	43729	6800	3000	3400	100	18											300								60	100	50	300000		100	142200	185	45	128	128	200	138200	200	33	500	5000	60	90
118	12591779	40	40	41	40	40	46581	7000	3000	3400	100	18											300								60	100	50	300000		100	142800	185	45	128	128	200	138800	200	33	500	5000	60	90
119	13163100	40	41	41	41	40	49433	7200	3000	3400	100	18											300								60	100	50	300000		100	143400	185	45	128	128	200	139400	200	33	500	5000	60	90
120	13757375	41	41	41	41	41	52285	7400	3000	3400	100	18											300								60	100	50	300000		100	144000	185	45	128	128	200	140000	200	33	500	5000	60	90
