Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position	nPercentByGameDesign	BeginSellTime
嗜血九嶷·血海腰刀	CustomTrinket	25558	0	-1	1	0	50500000			1				25700						14							1					腰部扩展	1	
怒鳞翻江·震天响	CustomTrinket	25670	0	-1	1	0	140500000			1				64200						14							1					背部扩展	1	
怒鳞翻江·重捶	CustomTrinket	25672	0	-1	1	0	50500000			1				25700						14							1					腰部扩展	1	
烽火层峦·落花声	CustomTrinket	25818	0	-1	1	0	140500000			1				64200						14							1					背部扩展	1	
烽火层峦·持盏	CustomTrinket	25817	0	-1	1	0	50500000			1				25700						14							1					腰部扩展	1	
铭骨焚心·坠残星	CustomTrinket	25953	0	-1	1	0	140500000			1				64200						14							1					背部扩展	1	
铭骨焚心·降神	CustomTrinket	25952	0	-1	1	0	50500000			1				25700						14							1					腰部扩展	1	
风击龙旗·骋游	CustomTrinket	26056	0	-1	1	0	140500000			1				64200						14							1					背部扩展	1	
风击龙旗·怖震	CustomTrinket	26054	0	-1	1	0	50500000			1				25700						14							1					腰部扩展	1	
风击龙旗·骋游	CustomTrinket	36721	0	-1	1	0	140500000			1				64200						14							1					背部扩展	1	
风击龙旗·怖震	CustomTrinket	36720	0	-1	1	0	50500000			1				25700						14							1					腰部扩展	1	
风击龙旗·骋游	CustomTrinket	36855	0	-1	1	0	140500000			1				64200						14							1					背部扩展	1	
风击龙旗·怖震	CustomTrinket	36857	0	-1	1	0	50500000			1				25700						14							1					腰部扩展	1	
