Level	ForceID	MapID1	AreaID1	MapID2	AreaID2	MapID3	AreaID3	MapID4	AreaID4	MapID5	AreaID5	MapID6	AreaID6	MapID7	AreaID7	MapID8	AreaID8	MapID9	AreaID9	MapID10	AreaID10	MapID11	AreaID11	MapID12	AreaID12	MapID13	AreaID13	MapID14	AreaID14	MapID15	AreaID15	MapID16	AreaID16	MapID17	AreaID17	MapID18	AreaID18	MapID19	AreaID19	MapID20	AreaID20	MapID21	AreaID21	MapID22	AreaID22
60	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
61	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
62	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
63	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
64	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
65	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
66	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
67	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
68	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
69	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
70	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
71	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
72	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
73	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
74	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
75	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
76	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
77	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
78	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
79	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
80	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
81	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
82	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
83	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
84	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
85	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
86	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
87	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
88	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
89	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
90	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
91	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
92	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
93	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
94	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
95	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
96	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
97	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
98	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
99	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
100	0	474		473																																									
101	0	474		473																																									
102	0	474		473																																									
103	0	474		473																																									
104	0	474		473																																									
105	0	488		475																																									
106	0	488		475																																									
107	0	488		475																																									
108	0	488		475																																									
109	0	488		475																																									
110	0	579		581																																									
111	0	579		581																																									
112	0	579		581																																									
113	0	579		581																																									
114	0	579		581																																									
115	0	580		582																																									
116	0	580		582																																									
117	0	580		582																																									
118	0	580		582																																									
119	0	580		582																																									
120	0	580		582																																									
