ID	Activity	TimeRepresent	Class	Star	Level	Award	ShowPosition	IsHighlight	HightlightPath	Frame	ShowPriority	DetailPath	Hard	DetailMap	DetailAwards	Text	Event	nAdvancedTime	Label	BackgroundImage1	BackgroundImage2	Luckdraw	LuckPath	LuckFrame	LuckdrawText	DailyQuest	BuffID	TotalCount	FinishType	FinishCount	IsDouble	ExtraReward	DoubleStartTime	DoubleEndTime	CareerEvent	ShowLevel	Map	MapTip	szTitleBg	nMapIconFrame	BackgroundImage3	nPriority	bIsMultiple	szQuestID	bAutoCollect	bLimited	dwShopGroupID	dwDefaultShopID	nRedDotVersion
73	战场周常	本周一7：00~下周一6：59	3	4	120	2:100;3:100;8:50;	0				2		个人参与	<text>text="        " font=202</text><text>text="可前往" font=18</text><text>text="扬州" font=168 link="NPCGuide/58"</text><text>text="、" font=18</text><text>text="成都" font=168 link="NPCGuide/164"</text><text>text="或" font=18</text><text>text="太原" font=168 link="NPCGuide/860"</text><text>text="战场报名人处参加跨服战场排队" font=18</text>	<text>text="        50金，2500点" font=198</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="，250" font=198</text><text>text="战阶积分" font=198 link="Library/17/4/0"</text><text>text="，1个" font=198</text><text>text="锡制宝箱" font=198 link="ItemLinkInfo/5/6254"</text>	<text>text="        预计所需时间15分钟" font=168</text><text>text="\\\n        可前往长安、洛阳、扬州、成都的日常任务区的战魂牌处接取任务" font=18</text>	2																			0~999													
74	声望·无量山	今日7：00~次日6：59。	2		80	6:100;8:60;	0						个人参与	<text>text="        可前往" font=18</text><text>text="无量山花祈山" font=168 link="NPCGuide/175"</text><text>text="处接取任务。" font=18</text>	<text>text="        60金，560点九黎族声望，4个" font=198</text><text>text="青铜宝箱" font=198 link="ItemLinkInfo/5/6253"</text><text>text="。" font=198</text>	<text>text="        预计所需时间25分钟" font=168</text><text>text=" \\\n        1、可前往无量山的花祈山附近接取任务。\\\n        2、九黎族声望达到一定程度可购买" font=18</text><text>text="帝俊号角" font=74 link="ItemLinkInfo/8/3877"</text><text>text="，" font=18</text><text>text="蚩尤蓑" font=74 link="ItemLinkInfo/8/3876"</text><text>text="，" font=18</text><text>text="115%霜夜驹九黎族声望" font=74 link="ItemLinkInfo/8/602"</text><text>text="，" font=18</text><text>text="精骑足饰" font=77 link="ItemLinkInfo/5/5109"</text><text>text="，" font=18</text><text>text="精骑鞍饰" font=77 link="ItemLinkInfo/5/5110"</text><text>text="，" font=18</text><text>text="精骑头饰" font=77 link="ItemLinkInfo/5/5111"</text><text>text="，" font=18</text><text>text="祈舞面具" font=74 link="ItemLinkInfo/5/10170"</text><text>text="。" font=18</text>	2																			0~999													
75	战场日-西风古道	本战场日的12点~次日凌晨1点开放	3		120	2:100;3:100;	2	0			1		25人对抗	<text>text="        " font=202</text><text>text="可前往" font=18</text><text>text="扬州" font=168 link="NPCGuide/58"</text><text>text="、" font=18</text><text>text="成都" font=168 link="NPCGuide/164"</text><text>text="或" font=18</text><text>text="太原" font=168 link="NPCGuide/860"</text><text>text="战场报名人处参加跨服战场排队" font=18</text>	<text>text="        " font=202</text><text>text="威名点" font=198 link="Library/17/3/0"</text><text>text="、" font=198</text><text>text="战阶积分" font=198 link="Library/17/4/0"</text><text>text="。每天的首次战场胜利可以获得额外的大量威名点和战阶以及威名点周上限道具奖励。" font=18</text>	<text>text="        预计所需时间20分钟  " font=168</text><text>text="\\\n        1、满级的浩气盟、恶人谷玩家可组队或个人参与，双方人数均达到17人才可正常开启战场\\\n        2、中午12点~次日凌晨1点开放，12点开始时即可获得战阶积分和双倍威名点奖励" font=18</text>	3										4122	1	1							0~999													
76	战场-西风古道		3	4	120		5	0			1		25人对抗	<text>text="可前往" font=284</text><text>text="[" font=173</text><text>text="扬州" font=173 link="NPCGuide/58"</text><text>text="][" font=173</text><text>text="成都" font=173 link="NPCGuide/164"</text><text>text="]" font=173</text><text>text="或" font=284</text><text>text="[" font=173</text><text>text="太原" font=173 link="NPCGuide/860"</text><text>text="]" font=173</text><text>text="战场报名人处参加跨服战场排队。" font=284</text>		<text>text="1、满级的浩气盟、恶人谷玩家可组队或个人参与。\\\n2、" font=284</text><text>text="中午12点~次日凌晨1点" font=158</text><text>text="开放，12点开始时即可获得战阶积分和双倍威名点奖励。\\\n3、和正先锋小队声望未达到尊敬的浩气盟玩家或恣桀先锋小队声望未达到尊敬的恶人谷玩家，可获得对应声望奖励。\\\n4、每周最多获得" font=284</text><text>text="60000点战场双倍威名点" font=158</text><text>text="，每获得7500双倍威名点，将额外获得" font=284</text><text>text="200精力、1000战阶、1000威名点上限、50帮会资金、1个神威宝箱" font=158</text><text>text="。" font=284</text>	3	30;10;0;	0	ui/Image/Active/Calendar/ZC_SiChouZhiLu_S.tga							4122	1	1							0~999			ui/Image/Active/AnNiuDiTu/ZC_SiChouZhiLu.tga		ui/Image/Active/Calendar/ZC_SiChouZhiLu_B.tga				1				
77	战场-西风古道		3	4	120	2:100;3:100;	5	0			1		25人对抗	<text>text="可前往" font=284</text><text>text="[" font=173</text><text>text="扬州" font=173 link="NPCGuide/58"</text><text>text="][" font=173</text><text>text="成都" font=173 link="NPCGuide/164"</text><text>text="]" font=173</text><text>text="或" font=284</text><text>text="[" font=173</text><text>text="太原" font=173 link="NPCGuide/860"</text><text>text="]" font=173</text><text>text="战场报名人处参加跨服战场排队。" font=284</text>		<text>text="1、满级的浩气盟、恶人谷玩家可组队或个人参与。\\\n2、" font=284</text><text>text="中午12点~次日凌晨1点" font=158</text><text>text="开放，12点开始时即可获得战阶积分和双倍威名点奖励。\\\n3、和正先锋小队声望未达到尊敬的浩气盟玩家或恣桀先锋小队声望未达到尊敬的恶人谷玩家，可获得对应声望奖励。\\\n4、每周最多获得" font=284</text><text>text="60000点战场双倍威名点" font=158</text><text>text="，每获得7500双倍威名点，将额外获得" font=284</text><text>text="200精力、1000战阶、1000威名点上限、50帮会资金、1个神威宝箱" font=158</text><text>text="。" font=284</text>	3	30;10;0;	0	ui/Image/Active/Calendar/ZC_SiChouZhiLu_S.tga							4122	1	1							0~999			ui/Image/Active/AnNiuDiTu/ZC_SiChouZhiLu.tga		ui/Image/Active/Calendar/ZC_SiChouZhiLu_B.tga				1				
82	科举-生成题库		2		1	0	0	0			4					<text>text="每期开始科举试题更新" font=18</text>	3																			0~999													
88	阵营战性能统计		3		1	0	0	0			4				<text>text="阵营战性能统计" font=18</text>		3																			0~999													
89	中秋·烟花表演		1		1		1	0			0		全民参与	<text>text="扬州、长安、洛阳、成都" font=18</text>	<text>text="拾取道具可换得吉庆赏钱。" font=18</text>	<text>text="在各主城门口，会有烟花表演，各位侠士也可放飞花灯。" font=18</text>	4																																
90	中秋·天狗抢月饼		1		20		1	0			0		全民参与	<text>text="长安、成都、洛阳、扬州" font=18</text>	<text>text="天狗会掉落吉庆赏钱。" font=18</text>	<text>text="天狗的爪牙会定时出现，可以前往各主城地图寻找并击败。" font=18</text>	4																																
92	中秋·金秋共团圆		1		20			0			0		全民参与	<text>text="扬州" font=18</text>	<text>text="神秘的节日奖励" font=18</text>	<text>text="中秋活动期间，每晚八点到十二点，神厨会带着大月饼在扬州出现，可前往领取奖励。" font=18</text>	4																																
93	中秋活动·小饼的委托		1		20		1	0			0		全民参与	<text>text="长安、洛阳、扬州、成都" font=18</text>	<text>text="完成小饼的任务可以获得金钱和吉庆赏钱" font=18</text>	<text>text="中秋活动期间每日早上七点到晚上七点半，小饼会在各主城门外出现，可前往接取任务。" font=18</text>	4																																
94	美人图		6	1	60			0						<text>text="可前往瞿塘峡白帝城" font=284</text><text>text="[" font=173</text><text>text="宫关" font=173 link="NPCGuide/144"</text><text>text="]" font=173</text><text>text="处参与活动。" font=284</text>		<text>text="本活动已不再提供除成就外的奖励，敬请留意。\\\n感谢您的参与和支持！\\\n1、每" font=284</text><text>text="周三" font=158</text><text>text="、" font=284</text><text>text="周五" font=158</text><text>text="、" font=284</text><text>text="周六" font=158</text><text>text="、" font=284</text><text>text="周日" font=158</text><text>text="的早上七点开启，持续到次日凌晨七点。\\\n2、购买" font=284</text><text>text="精美的空白画纸" font=171 link="ItemLinkInfo/5/10802"</text><text>text="，对自己或其他门派的玩家作画。\\\n3、各门派的美人图均可上交。" font=284</text>			0	ui/Image/Active/Calendar/MeiRenTu_S.tga		1				233										0~999			ui/Image/Active/AnNiuDiTu/MeiRenTu.tga		ui/Image/Active/Calendar/MeiRenTu_B.tga								
97	攻防期间南屏昆仑场景处理		3		1	0	0	0			4					<text>text="攻防战开始前一小时，通过活动表在南屏山（周六）或昆仑（周日）场景刷新两阵营相应任务NPC" font=18</text>	3																			0~999													
103	阵营战BOSS击伤个数重置		3		1	0	0	0			4						3																			0~999													
104	游历江湖寻秘宝		2	4	100		5	0			1			<text>text="可前往" font=284</text><text>text="[" font=173</text><text>text="太原" font=173 link="NPCGuide/853"</text><text>text="][" font=173</text><text>text="成都" font=173 link="NPCGuide/202"</text><text>text="]" font=173</text><text>text="或" font=284</text><text>text="[" font=173</text><text>text="扬州" font=173 link="NPCGuide/828"</text><text>text="]" font=173</text><text>text="莫问君处接取任务。" font=284</text>		<text>text="将挖宝时得到的龙纹璧交给" font=284</text><text>text="莫问君" font=173</text><text>text="，她定有重谢。" font=284</text>	4		2	ui/Image/Active/Calendar/WaBao_S.tga						432										80~999			ui/Image/Active/AnNiuDiTu/WaBao.tga		ui/Image/Active/Calendar/WaBao_B.tga								
105	南屏昆仑之役·筹备	每周二、周四的10:00~22:00	3		90	2:100;3:100;8:75;	53	0			0		个人可参与	<text>text="       " font=202</text><text>text="侠士可在主城日常接交处的" font=18</text><text>text="战魂牌" font=168 link="NPCGuide/171"</text><text>text="上接取任务。浩气盟玩家可前往" font=18</text><text>text="南屏山浩气盟调度使" font=168 link="NPCGuide/149"</text><text>text="或" font=18</text><text>text="昆仑浩气盟调度使" font=168 link="NPCGuide/146"</text><text>text="，恶人谷玩家可前往" font=18</text><text>text="南屏山恶人谷调度使" font=168 link="NPCGuide/151"</text><text>text="或" font=18</text><text>text="昆仑恶人谷调度使" font=168 link="NPCGuide/148"</text><text>text="，中立玩家可前往" font=18</text><text>text="南屏山隐元会使者" font=168 link="NPCGuide/150"</text><text>text="或" font=18</text><text>text="昆仑隐元会使者" font=168 link="NPCGuide/147"</text><text>text="处接取任务。" font=18</text>	<text>text="        75金，3500点" font=198</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="（仅阵营玩家），200点" font=198</text><text>text="战阶积分" font=198 link="Library/17/4/0"</text><text>text="（仅阵营玩家）。中立玩家的奖励为：75金，3500点江湖贡献" font=198</text>	<text>text="        " font=202</text><text>text="1、阵营玩家完成先发制人系列任务可增加本方1点战力值，并获得《功劳簿》，活动结束后，获得《功劳簿》的阵营玩家可前往主城日常接交处的战魂牌接取奖励任务。根据进攻阶段的胜负，奖励会有所不同。\\\n" font=18</text><text>text="        " font=202</text><text>text="2、中立玩家完成筹集粮草任务可为当前场景的进攻方增加1点粮草值。\\\n" font=18</text><text>text="        " font=202</text><text>text="3、战力值将直接影响进攻阶段己方首领的战斗能力。进攻阶段，每100点的粮草值可以使进攻方护卫复活1次。" font=18</text>	3	30;10;0;	0	ui/Image/Active/ActivityFistPage/RecommendSmall/RecommendSmall_Test.tga							4129	1								0~999	22;30;	<text>text="战阶积分、威望、金币" font=198</text>			ui/Image/Active/ActivityFistPage/RecommendBig/RecommendBig_Test.tga								
106	南屏昆仑之役·进攻	每周二、周四的22：00~23：00。	3		90	2:100;3:100;8:100;	53	0			0		大规模野外战斗	<text>text="       " font=202</text><text>text=" 侠士亦可在主城日常接交处的" font=18</text><text>text="战魂牌" font=168 link="NPCGuide/171"</text><text>text="上接取任务。阵营玩家可前往南屏山（" font=18</text><text>text="恶人谷进攻首领" font=168 link="NPCGuide/154"</text><text>text="、" font=18</text><text>text="浩气盟战旗" font=168 link="NPCGuide/155"</text><text>text="）或昆仑（" font=18</text><text>text="浩气盟进攻首领" font=168 link="NPCGuide/152"</text><text>text="、" font=18</text><text>text="恶人谷战旗" font=168 link="NPCGuide/153"</text><text>text="）参与活动。" font=18</text>	<text>text="        失败方任务奖励：25金，1000点" font=198</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="；胜利方任务奖励：100金，3000点" font=198</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="。" font=198</text>	<text>text="        " font=202</text><text>text="1、活动开启后，可人会在昆仑、莫雨会在南屏山同时向对方营地发起进攻。\\\n" font=18</text><text>text="        " font=202</text><text>text="2、率先击破对方战旗，或击败对方主将将获得本次活动的胜利。活动结束仍未分胜负，将以击伤人数决定胜负。\\\n" font=18</text><text>text="        " font=202</text><text>text="3、活动结束后，在筹备阶段获得《功劳簿》的阵营玩家可前往主城日常接交处的战魂牌接取奖励任务。根据进攻阶段的胜负，奖励会有所不同。" font=18</text>	3	30;10;0;	0	ui/Image/Active/ActivityFistPage/RecommendSmall/RecommendSmall_Test.tga							4130	1								0~999	22;30;	<text>text="战阶积分、威望、金币" font=198</text>			ui/Image/Active/ActivityFistPage/RecommendBig/RecommendBig_Test.tga								
110	美人图·潜行		2	3	110		5	0			1			<text>text="可在瞿塘峡的" font=284</text><text>text="[" font=173</text><text>text="活动任务" font=173 link="NPCGuide/827"</text><text>text="]" font=173</text><text>text="处接取。" font=284</text>		<text>text="1、每" font=284</text><text>text="周三" font=158</text><text>text="、" font=284</text><text>text="周五" font=158</text><text>text="、" font=284</text><text>text="周六" font=158</text><text>text="、" font=284</text><text>text="周日" font=158</text><text>text="的早上七点开启，持续到次日凌晨七点。\\\n2、各种特色成就等待挑战。\\\n3、不经过易容是完成不了任务的。" font=284</text>	3	0;	0	ui/Image/Active/Calendar/MeiRenTu_QianXing_S.tga		1				213										0~999					ui/Image/Active/Calendar/MeiRenTu_QianXing_B.tga								
111	主城茶馆		2	4	20		5	0			1			<text>text="        " font=202</text><text>text="可前往" font=18</text><text>text="洛阳" font=168 link="NPCGuide/143"</text><text>text="、" font=15</text><text>text="长安" font=168 link="NPCGuide/141"</text><text>text="、" font=15</text><text>text="扬州" font=168 link="NPCGuide/140"</text><text>text="、" font=15</text><text>text="成都" font=168 link="NPCGuide/142"</text><text>text="驿站附近的老板娘处接受任务委托。" font=18</text>		<text>text="        1、每人每日可接取十次老板娘的任务委托。\\\n        2、完成十次任务委托的额外奖励需要接取任务" font=18</text><text>text="久经风霜百炼钢" font=168</text><text>text="来获得。" font=18</text>	4	0;	0	ui/Image/Active/Calendar/ChaGuan_S.tga						232							1440630000	1442185200		0~79					ui\Image\Active\Calendar\ChaGuan_B.tga								
113	帮会食堂		2	2	10;			0					单人完成	<text>text="可通过" font=284</text><text>text="[" font=173</text><text>text="太原" font=173 link="NPCGuide/854"</text><text>text="][" font=173</text><text>text="扬州" font=173 link="NPCGuide/844"</text><text>text="]" font=173</text><text>text="或" font=284</text><text>text="[" font=173</text><text>text="成都" font=173 link="NPCGuide/845"</text><text>text="]" font=173</text><text>text="的帮会家园执事" font=284</text><text>text="玄字玖贰" font=173</text><text>text="处传送进帮会领地。" font=284</text>		<text>text="1、每天" font=284</text><text>text="8点" font=158</text><text>text="、" font=284</text><text>text="12点" font=158</text><text>text="和" font=284</text><text>text="18点" font=158</text><text>text="开启，每次" font=284</text><text>text="持续2小时" font=158</text><text>text="。\\\n2、帮会天工树【吃遍天下】节点等级越高，美食种类越多。\\\n3、当帮会天工树点出【物美价廉】第三重时，开放全天打包外食商店。" font=284</text>	3	30;10;0;	0	ui/Image/Active/Calendar/BangHuiShiTang_S.tga																0~999			ui/Image/Active/AnNiuDiTu/BangHuiShiTang.tga		ui\Image\Active\Calendar\BangHuiShiTang_B.tga								
114	元旦活动	每年的元旦前后开放	1	5	50	3:100;4:100;7:100;8:100;	7	1	ui\Image\Helper\Help—Bg.UITex	52	0		全民参与	<text>text="侠士可前往" font=284</text><text>text="[" font=173</text><text>text="长安" font=173 link="NPCGuide/209"</text><text>text="][" font=173</text><text>text="洛阳" font=173 link="NPCGuide/211"</text><text>text="][" font=173</text><text>text="扬州" font=173 link="NPCGuide/212"</text><text>text="][" font=173</text><text>text="成都" font=173 link="NPCGuide/210"</text><text>text="][" font=173</text><text>text="太原" font=173 link="NPCGuide/916"</text><text>text="][" font=173</text><text>text="龙门荒漠" font=173 link="NPCGuide/213"</text><text>text="][" font=173</text><text>text="侠客岛" font=173 link="NPCGuide/2007"</text><text>text="]" font=173</text><text>text="参与此活动。" font=284</text>	<text>text="增加侠行点、威名点上限的道具。" font=198</text>	<text>text="活动时间：2022年12月29日7:00~2023年1月12日7:00" font=158</text><text>text="\\\n1、参与此活动每日预计需要20分钟。\\\n2、50级以上的玩家每日可前往主城苏慧蓉处领取" font=284</text><text>text="龙门金蛋" font=171 link="ItemLinkInfo/5/11613"</text><text>text="。\\\n3、龙门金蛋经运功有几率展露真颜，变为珍品龙门金蛋，掉落更多珍稀物品。\\\n4、50级以上的玩家每日可前往龙门荒漠凌燕丘处接受挑战，获得" font=284</text><text>text="胡月宝箱" font=171 link="ItemLinkInfo/5/21050"</text><text>text="和" font=284</text><text>text="飞剑盒钥匙" font=171 link="ItemLinkInfo/5/21033"</text><text>text="。\\\n5、胡月宝箱奖励列表：" font=284</text><text>text="素银宝箱" font=171 link="ItemLinkInfo/5/10031"</text><text>text="、精铁宝箱、锡制宝箱、各种材料、部分五彩石、部分五行石、金钱等。\\\n6、龙门金蛋奖励列表：" font=284</text><text>text="精铁宝箱" font=171 link="ItemLinkInfo/5/6255"</text><text>text="、" font=284</text><text>text="素银宝箱" font=171 link="ItemLinkInfo/5/10031"</text><text>text="、各级五行石和五彩石、侠行点、金钱等。\\\n7、珍品龙门金蛋奖励列表：" font=284</text><text>text="真橙之心" font=171 link="ItemLinkInfo/5/7968"</text><text>text="、" font=284</text><text>text="鎏金宝箱" font=171 link="ItemLinkInfo/5/10032"</text><text>text="、" font=284</text><text>text="素银宝箱" font=171 link="ItemLinkInfo/5/10031"</text><text>text="、" font=284</text><text>text="福禄宝箱·北天药宗" font=171 link="ItemLinkInfo/5/41168"</text><text>text="、各级五行石和五彩石等。\\\n8、飞剑盒奖励列表：" font=284</text><text>text="真·龙门飞剑" font=171 link="ItemLinkInfo/5/11632"</text><text>text="，加侠行点、威名点上限的物品，假剑。" font=284</text>	4		1	ui/Image/Active/Calendar/JieRi_YuanDan_S.tga		0			<text>text="龙门金蛋奖励列表：" font=7</text><text>text="精铁宝箱" font=171 link="ItemLinkInfo/5/6255"</text><text>text="、" font=7</text><text>text="素银宝箱" font=171 link="ItemLinkInfo/5/10031"</text><text>text="等，4级、5级、6级五行石，3级五彩石，侠行点，金钱。" font=7</text><text>text="\\\n" font=284</text><text>text="珍品龙门金蛋奖励列表：" font=7</text><text>text="真橙之心" font=171 link="ItemLinkInfo/5/7968"</text><text>text="、" font=7</text><text>text="福禄宝箱·北天药宗" font=171 link="ItemLinkInfo/5/41168"</text><text>text="、" font=7</text><text>text="素银宝箱" font=171 link="ItemLinkInfo/5/10031"</text><text>text="、" font=7</text><text>text="鎏金宝箱" font=171 link="ItemLinkInfo/5/10032"</text><text>text="等，5级、6级五行石，3级、4级五彩石，侠行点。\\\n飞剑盒奖励列表：" font=7</text><text>text="真·龙门飞剑" font=171 link="ItemLinkInfo/5/11632"</text><text>text="，加侠行点、威名点上限的物品，假剑。" font=7</text>											50~999					ui/Image/Active/Calendar/JieRi_YuanDan_B.tga	7							
116	春节活动·重奖年后迎归客	每年的春节开放，至元宵后结束。	1		20		0			51			全民参与	<text>text="长安、洛阳、扬州、成都" font=18</text>	<text>text="14次双倍奖励的机会" font=18</text>	<text>text="砸年兽、放花灯、寻宝藏，红包多多热热闹闹过大年" font=18</text>	4																																
117	花朝节·相伴江湖	2023年3月2日7点至2023年3月16日7点	1	5	20	6:0;	11	1	ui\Image\Helper\Help—Bg.UITex	54	0		全民参与	<text>text="[" font=173</text><text>text="万花谷落星湖" font=173 link="NPCGuide/767"</text><text>text="][" font=173</text><text>text="七秀坊青萝山" font=173 link="NPCGuide/999"</text><text>text="][" font=173</text><text>text="五毒圣兽潭" font=173 link="NPCGuide/1000"</text><text>text="][" font=173</text><text>text="长歌门翠湄居" font=173 link="NPCGuide/1001"</text><text>text="][" font=173</text><text>text="侠客岛惊风林" font=173 link="NPCGuide/2024"</text><text>text="][" font=173</text><text>text="太原" font=173 link="NPCGuide/852"</text><text>text="][" font=173</text><text>text="扬州" font=173 link="NPCGuide/1002"</text><text>text="][" font=173</text><text>text="成都" font=173 link="NPCGuide/1003"</text><text>text="][" font=173</text><text>text="长安" font=173 link="NPCGuide/1004"</text><text>text="][" font=173</text><text>text="洛阳" font=173 link="NPCGuide/1005"</text><text>text="][" font=173</text><text>text="侠客岛" font=173 link="NPCGuide/2023"</text><text>text="]" font=173</text>	<text>text="琉月听雪" font=74 link="ItemLinkInfo/8/19777"</text><text>text="、" font=18</text><text>text="琉月听雪·萌芽" font=77 link="ItemLinkInfo/5/29727"</text><text>text="、" font=18</text><text>text="陈月喜爱的月季花" font=74 link="ItemLinkInfo/5/18786"</text><text>text="。" font=18</text>	<text>text="活动时间：2023年3月2日7:00至2023年3月16日7:00\\\n" font=158</text><text>text="       1、满20级的侠士可在主城找到苏水心领取相逢不负系列任务，获得" font=284</text><text>text="琉月听雪·萌芽" font=171 link="ItemLinkInfo/5/29727"</text><text>text="，培育成熟后可收获" font=284</text><text>text="琉月听雪" font=171 link="ItemLinkInfo/8/19777"</text><text>text="，继续培育可收获" font=284</text><text>text="琉月听雪果实" font=171 link="ItemLinkInfo/5/29736"</text><text>text="。活动期间，侠士可以通过挖宝、节日商店购买获得" font=284</text><text>text="山月灵岚" font=171 link="ItemLinkInfo/5/29731"</text><text>text="和" font=284</text><text>text="流风霜露" font=171 link="ItemLinkInfo/5/29733"</text><text>text="，平时可在野外采集" font=284</text><text>text="寇岛白灰" font=171 link="ItemLinkInfo/5/29730"</text><text>text="和" font=284</text><text>text="漠上湖水" font=171 link="ItemLinkInfo/5/29732"</text><text>text="用于培育琉月听雪。\\\n       2、满20级的侠士可找苏水心领取“执手引灯”日常任务，获得" font=284</text><text>text="陈月喜爱的月季花" font=171 link="ItemLinkInfo/5/18786"</text><text>text="。侠士拥有该月季花时，若重伤（被玩家击败除外）则可被陈月救助（特殊场合不可使用）。\\\n       3、在太原摆放的花卉、万花花海、七秀青萝山、五毒圣兽潭、长歌翠湄居、侠客岛惊风林等地的花丛或种植的月季花中找出金翅雨蝶，可获得" font=284</text><text>text="雨蝶鳞翅" font=171 link="ItemLinkInfo/5/23042"</text><text>text="。可用雨蝶掉落的" font=284</text><text>text="雨蝶" font=171 link="ItemLinkInfo/5/32297"</text><text>text="和金翅雨蝶群掉落的" font=284</text><text>text="鳞翅" font=171 link="ItemLinkInfo/5/32298"</text><text>text="合成" font=284</text><text>text="雨蝶鳞翅" font=171 link="ItemLinkInfo/5/23042"</text><text>text="。日常任务“护花使者”“朝花夕月踏歌归”奖励" font=284</text><text>text="雨蝶鳞翅" font=171 link="ItemLinkInfo/5/23042"</text><text>text="。\\\n       4、可在苏水心处用" font=284</text><text>text="雨蝶鳞翅" font=171 link="ItemLinkInfo/5/23042"</text><text>text="兑换" font=284</text><text>text="幽月漪" font=171 link="ItemLinkInfo/8/36674"</text><text>text="等节日物品；可在主城找到花朝货品，用雨蝶鳞翅兑换" font=284</text><text>text="兔飞萌进" font=171 link="ItemLinkInfo/10/1377"</text><text>text="、" font=284</text><text>text="五行石（五级）" font=171 link="ItemLinkInfo/5/24446"</text><text>text="和" font=284</text><text>text="连雾·衣·无双" font=171 link="ItemLinkInfo/5/47696"</text><text>text="等附魔。" font=284</text>	4		1	ui/Image/Active/Calendar/JieRi_HuaZhao_S.tga		0													200						ui/Image/Active/Calendar/JieRi_HuaZhao_B.tga	8							
118	南屏昆仑之役·创建任务npc	每周二、周四的10:00~次日7点	3		90	2:100;3:100;8:75;	0	0			0		个人可参与	<text>text="        " font=202</text><text>text="浩气盟玩家可前往" font=18</text><text>text="南屏山浩气盟调度使" font=168 link="NPCGuide/149"</text><text>text="或" font=18</text><text>text="昆仑浩气盟调度使" font=168 link="NPCGuide/146"</text><text>text="，恶人谷玩家可前往" font=18</text><text>text="南屏山恶人谷调度使" font=168 link="NPCGuide/151"</text><text>text="或" font=18</text><text>text="昆仑恶人谷调度使" font=168 link="NPCGuide/148"</text><text>text="，中立玩家可前往" font=18</text><text>text="南屏山隐元会使者" font=168 link="NPCGuide/150"</text><text>text="或" font=18</text><text>text="昆仑隐元会使者" font=168 link="NPCGuide/148"</text><text>text="处接取任务。" font=18</text>	<text>text="        75金，3000点" font=198</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="（仅阵营玩家），350点" font=198</text><text>text="战阶积分" font=198 link="Library/17/4/0"</text><text>text="（仅阵营玩家）" font=198</text>	<text>text="        " font=202</text><text>text="1、阵营玩家完成先发制人系列任务可增加本方1点战力值，并获得《功劳簿》，活动结束后，获得《功劳簿》的阵营玩家可前往主城活动区找茜茜和青青接取奖励任务。根据进攻阶段的胜负，奖励会有所不同。\\\n" font=18</text><text>text="        " font=202</text><text>text="2、中立玩家完成筹集粮草任务可为当前场景的进攻方增加1点粮草值\\\n" font=18</text><text>text="        " font=202</text><text>text="3、战力值将直接影响进攻阶段己方首领的战斗能力。进攻阶段，每100点的粮草值可以使进攻方守卫NPC复活1次。" font=18</text>	3	30;10;0;	0	ui/Image/Active/ActivityFistPage/RecommendSmall/RecommendSmall_Test.tga																0~999					ui/Image/Active/ActivityFistPage/RecommendBig/RecommendBig_Test.tga								
