LinkID	MapID	NpcID	Kind	x	y	z	NpcName
145	35	15730	瞿塘峡贾公	71259	64153	1169705	贾公
146	30	15926	昆仑浩气盟调度史	69244	27076		浩气盟调度使
147	30	16349	昆仑隐元会使者	56498	5013		隐元会使者
148	30	15927	昆仑恶人谷调度史	32896	71400		恶人谷调度使
149	22	15926	南屏山浩气盟调度史	23882	24709		浩气盟调度使
150	22	16349	南屏山隐元会使者	89873	72423		隐元会使者
151	22	15927	南屏山恶人谷调度史	31450	65336		恶人谷调度使
152	30	16132	昆仑浩气盟进攻首领	68505	27703		可人
153	30	16031	昆仑恶人谷战旗	33604	71489		恶人谷战旗
154	22	16133	南屏山恶人谷进攻首领	30878	64274		莫雨
155	22	16030	南屏山浩气盟战旗	22775	26784		浩气盟战旗
156	6	15363	扬州莫离裳	71148	46580		莫离裳
157	8	15363	洛阳莫离裳	27802	89302		莫离裳
158	15	15363	长安莫离裳	51949	91731		莫离裳
159	12	15363	隐元追缉令·枫华谷·莫离裳	7948	36858		莫离裳
160	108	15363	成都莫离裳	71729	66334		莫离裳
161	15	7008	长安省试主考官	48361	106700		姚崇
162	8	7009	洛阳省试主考官	29058	93644		宋璟
163	6	7010	扬州省试主考官	90396	69270	1056832	梅翥
164	108	5097	成都跨服战场报名区域	68939	60060	1074216	浩气盟战场接引人
165	104	12963	月玲珑	45144	119916	1062175	月玲珑
166	104	12964	火龙	54397	119347	1059510	火龙
167	15	869	长安贡献昭示牌	52349	111355	1065757	秘境任务
168	8	869	洛阳贡献昭示牌	29541	80544	1053427	秘境任务
169	6	869	扬州贡献昭示牌	68230	62932	1052941	秘境任务
170	108	869	成都贡献昭示牌	70150	68193	1072653	秘境任务
171	15	14211	长安战魂牌	52347	110838	1065757	阵营任务
172	8	14211	洛阳战魂牌	29402	80855	1053478	阵营任务
173	6	14211	扬州战魂牌	68555	62657	1052941	阵营任务
174	108	14211	成都战魂牌	70579	68183	1072653	阵营任务
175	101	7968	花祁山				花祈山
176	6	7025	扬州科举省试考官	43486	22689		梅翥
177	8	7026	洛阳科举省试考官	55970	27363		章仲
178	15	7027	长安科举省试考官	32094	50685		刘惟微
179	12	6610	枫华谷孟康	77189	62393		孟康
180	9	6612	洛道林云冲	62075	64919		沐云冲
181	10	5843	濯垢奇蛛	37481	82307		濯垢奇蛛
182	13	5968	猿飞鬼助	44256	82980		炎之鬼助
183	27	36498	恶人谷前线支援	40177	25802		路乞明
184	25	36495	浩气盟前线支援	35992	45633		洛雨繁
195	151	36504	衣冠禽兽任务	29783	41360	1060800	莫云
198	151	36503	衣冠禽兽任务	11497	51285	1052096	莫白
202	108	36801	莫文君	71091	66750	1072960	莫问君
209	15	16539	长安苏慧蓉	47879	92707	1061696	苏慧蓉
210	108	16539	成都苏慧蓉	74417	70067	1070784	苏慧蓉
211	8	16539	洛阳苏慧蓉	30041	89263	1058944	苏慧蓉
212	6	16539	扬州苏慧蓉	70941	46427	1052096	苏慧蓉
213	23	16540	龙门荒漠凌燕丘	38963	39786	1049664	凌燕丘
214	15	6129	黄字零零捌	46872	29602		黄字零零捌
215	6	20001	扬州陆烟儿	43419	29241	1049728	陆烟儿
215	8	20001	洛阳陆烟儿	56754	22213	1082240	陆烟儿
215	15	20001	长安陆烟儿	34059	43943	1061120	陆烟儿
222	15	6810	春节活动	54706	93623	1061696	马莉颖
245	6	6810	春节活动	70768	47162	1052160	马莉颖
261	108	6810	春节活动	75032	72326	1071424	马莉颖
269	6	6804	陶罐活动接引人	70719	47325	1052160	叶飘零
269	8	6804	陶罐活动接引人	29984	90090	1060160	叶飘零
269	15	6804	陶罐活动接引人	54530	93637	1061696	叶飘零
269	108	6804	陶罐活动接引人	74645	72509	1071680	叶飘零
269	194	6804	陶罐活动接引人	25500	65768	1137408	叶飘零
269	332	6804	陶罐活动接引人	66728	105707	1053986	叶飘零
275	6	6803	春节活动接引人	67437	47633	1052160	燕小霞
275	8	6803	春节活动接引人	28671	91794	1062592	燕小霞
275	15	6803	春节活动接引人	53210	93698	1061696	燕小霞
275	108	6803	春节活动接引人	74425	69001	1070784	燕小霞
275	194	6803	春节活动接引人	23634	63685	1137408	燕小霞
275	332	6803	春节活动接引人	65338	105177	1052025	燕小霞
276	35	17207	瞿塘峡冷馨兰	90594	75994	1122432	冷馨兰
277	6	17612	试炼之地接引人	68078	62853	1052736	神秘老者
277	8	17612	试炼之地接引人	29503	81256	1053504	神秘老者
277	15	17612	试炼之地接引人	45593	92103	1061888	神秘老者
277	108	17612	试炼之地接引人	70867	66763	1072896	神秘老者
277	194	17612	试炼之地接引人	22884	63089	1133670	神秘老者
277	332	17612	试炼之地接引人	82318	96892	1053698	神秘老者
278	105	16105	苍山洱海日常				乃古修
279	105	17770	苍山洱海任务起始				莫雨
283	15	6812	长安年华	54480	92772	1061696	年华
284	153	23538	浩气盟威望日常				月语堂
285	153	23539	恶人谷威望日常				火独
286	153	869	贡献昭示牌	41183	62659	1241221	秘境任务
287	153	6551	马嵬驿浩气战场接引人				浩气盟战场接引人
288	153	6892	马嵬驿恶人战场接引人				恶人谷战场接引人
290	108	16487	成都省试主考官	60585	69951	1072704	王凌枫
291	108	16486	成都会试主考官	60615	70000	1072704	张说
292	30	30673	昆仑押运粮草	18371	61054	1154155	宇文泽
293	22	30674	南屏山押运粮草	22984	20636	1110580	诸葛清
300	22	7606	南屏山烽烟再起浩气盟接引人	39396	11975		王洵
301	30	7604	昆仑烽烟再起恶人谷接引人	23553	50936		何非笑
302	30	7607	昆仑烽烟再起浩气盟接引人	90934	43037		王洵
303	22	7605	南屏山烽烟再起恶人谷接引人	57417	4195		何非笑
388	105	16505	赛马报名人	111064	17072	1079936	赛马报名人
389	6	16059	扬州名剑大会接引人	86865	73763	1054976	张英
390	108	16113	成都名剑大会接引人	69484	61105	1074061	上官玲
391	15	6561	长安冬至接引人尤泽煦	51240	91722	1062080	尤泽煦
392	6	6561	扬州冬至接引人尤泽煦	71280	47381	1052160	尤泽煦
393	8	6561	洛阳冬至接引人尤泽煦	30902	90018	1058944	尤泽煦
394	108	6561	成都冬至接引人尤泽煦	74796	71516	1070912	尤泽煦
395	150	52797	萧沙残魂	60292	80392	1247801	萧沙
396	158	52555	安禄山残魂	81971	44544	1068544	安禄山范围总控
767	2	74	万花谷花圣	77587	51448	1103260	宇晴
768	156	23669	长安·战乱赵云睿	44947	63332	1063414	赵云睿
769	151	23669	洛阳·战乱赵云睿	32351	65233	1052078	赵云睿
770	156	24249	长安_安史之乱·苏曼莎	48397	102428	1061760	苏曼莎
771	151	24232	洛阳_安史之乱·黑齿元祐	21293	83835	1060160	黑齿元佑
772	22	21878	南屏山浩气盟镖师	14997	15068	1110720	浩气盟镖师
773	22	21879	南屏山恶人谷镖师	11327	72765	1097920	恶人谷镖师
774	30	21878	昆仑浩气盟镖师	91570	42477	1133440	浩气盟镖师
775	30	21879	昆仑恶人谷镖师	23508	50582	1117504	恶人谷镖师
776	172	25844	长安内城沈眠风	111894	28603	1057600	沈眠风
777	139	25888	枫华谷·战乱阿史那从礼	55057	25785	1083136	阿史那从礼
780	156	25559	长安·战乱娄永才	45213	63581	1063451	娄永才
781	2	7706	万花东方欣	56383	45342	1133668	东方欣
782	5	7712	少林芋头	32098	56864	1127424	芋头
783	7	7707	纯阳柒柒	24770	12471	1159086	柒柒
784	11	7708	天策君傲城	59135	20095	1052204	君傲城
785	16	7709	七秀绣袖	29421	33683	1056942	绣袖
786	49	7710	藏剑千叶	77942	74056	1117967	千叶
787	102	9443	五毒容夏	17001	90067	1074498	容夏
788	122	15223	唐门唐怀信	79064	85938	1106749	唐怀信
789	150	19238	明教伊利亚斯	62080	67171	1158656	伊利亚斯
790	158	24444	天策战乱古月	56824	24028	1060057	古月
791	159	25513	丐帮崔永沅	64984	63801	1088549	崔永沅
792	5	0	少林门派事件	9702	56194	1143616	少林弟子
793	7	0	纯阳门派事件	25784	21580	1160256	纯阳弟子
794	11	0	天策门派事件	42154	17324	1049984	天策弟子
795	16	0	七秀门派事件	29167	31639	1057408	碧儿
797	102	0	五毒门派事件	42174	85666	1051968	五毒弟子
798	122	0	唐门门派事件	82035	77711	1076032	唐门弟子
799	150	0	明教门派事件	62512	17567	1097984	伪明教弟子
800	159	0	丐帮门派事件	41275	109264	1096704	丐帮弟子
801	158	42556	天策门派事件	65099	45576	1052480	 
801	158	0	天策门派事件	65099	45576	1052480	天策弟子
802	2	0	万花门派事件	32664	34812	1114368	万花弟子
803	6	2280	烹饪训练师	57695	56759	1050829	邵语秋
804	8	3504	烹饪训练师	31055	85132	1053404	苏小伦
805	15	3759	烹饪训练师	52764	115550	1065763	杨立德
806	108	9769	烹饪训练师	65382	68140	1072653	李虬髯
809	15	3751	医术训练师	52884	114309	1063868	邱星彩
810	108	9877	医术训练师	61403	68269	1072653	白首翰
811	6	2275	缝纫训练师	55750	58559	1051039	杜小红
814	108	9873	缝纫训练师	63330	63063	1073733	素怀绣
816	8	3508	铸造训练师	34511	85736	1057087	高振伟
818	108	9875	铸造训练师	61644	66370	1072653	欧无邪
819	6	36787	淬炼训练师	54134	58043	1050882	薛义
820	8	36787	淬炼训练师	34996	86277	1058221	薛义
821	15	36787	淬炼训练师	56597	116942	1065757	薛义
822	108	36787	淬炼训练师	62526	69040	1072645	薛义
823	108	7572	成都节日大使	71736	66966	1072320	节日大使
824	156	37597	长安·战乱银甲将军	43909	65947	1063488	银甲将军
825	151	37699	洛阳·战乱宋森雪	72534	67021	1084992	宋森雪
826	108	16505	赛马报名人	70388	66803	1072704	赛马报名人
827	35	16747	活动任务	71561	64425	1169705	活动任务
828	6	36801	莫问君	69813	62951	1052864	莫问君
829	16	17305	七秀习武区域	18952	17193	1056896	七秀大师姐
830	7	17308	纯阳习武区域	21884	13925	1159104	纯阳大师兄
831	11	17310	天策习武区域	55998	15707	1052224	天策大师兄
832	102	17312	五毒习武区域	28561	83529	1066496	五毒大师兄
833	5	17309	少林习武区域	40924	60890	1127424	少林大师兄
834	122	17313	唐门习武区域	80132	79152	1076032	唐门大师姐
835	2	17307	万花习武区域	45460	43996	1161216	万花大师兄
836	49	17311	藏剑习武区域	72265	81701	1113299	藏剑大师兄
837	150	20684	明教习武区域	54792	77538	1168384	明教大师兄
838	159	25558	丐帮习武区域	63282	66614	1090304	丐帮大师姐
839	193	40876	苍云习武区域	43864	20976	1072192	苍云大师兄
840	158	17310	天策习武区域	55399	15712	1052352	天策大师兄
841	6	16509	赛马报名人	68192	63344	1052992	熊大海
842	6	16747	活动任务	68295	62656	1052941	活动任务
843	108	16747	活动任务	70630	66766	1072724	活动任务
844	6	4714	扬州玄字玖贰	93744	69268	1059190	玄字玖贰
845	108	4714	成都玄字玖贰	71065	70267	1074862	玄字玖贰
846	193	40884	柳西月	48722	24630	1070318	柳西月
847	193	41633	东径关之战	100008	49944	1103104	燕忆眉
848	193	16747	活动任务	48698	24378	1070318	活动任务
849	108	27543	元宵活动	66343	82594	1079680	王樊
850	6	27543	元宵活动	58397	37472	1049920	王樊
851	8	6810	春节活动	29940	89946	1058944	马莉颖
852	194	16701	花朝节活动接引人	25806	65024	1137536	苏水心
853	194	36801	觅宝会	23021	63095	1133670	莫问君
854	194	4714	帮会家园执事	19372	71699	1143498	玄字玖贰
855	194	869	贡献昭示牌	22814	62543	1133670	秘境任务
856	194	14211	战魂牌	22817	62275	1133670	阵营任务
857	194	16747	活动任务牌	22812	62802	1133670	活动任务
858	194	16509	赛马接引人	22828	62963	1133670	熊大海
859	194	17612	试炼之地接引人	22884	63089	1133670	神秘老者
860	194	6891	跨服战场报名区域	20106	59842	1143085	浩气盟战场接引人
861	194	16059	名剑大会接引人	19408	59344	1143097	张英
862	6	41752	羽霓虹	68230	62764	1052992	羽霓虹
863	108	41752	羽霓虹	70264	66777	1072704	羽霓虹
864	15	41752	羽霓虹	44993	92578	1061888	羽霓虹
865	172	41752	羽霓虹	59764	45245	1125440	羽霓虹
866	8	41752	羽霓虹	29453	80688	1053504	羽霓虹
867	194	41752	羽霓虹	15216	65876	1143198	羽霓虹
868	194	11735	乔万山	24988	67558	1137408	乔万山
869	194	7572	太原节日大使	23033	67049	1137387	节日大使
870	6	43074	儿童节活动	70705	46363	1052102	桃花仙
871	8	14326	儿童节活动	28386	89513	1060160	蛋叉叔叔
872	15	14326	儿童节活动	51199	92010	1062080	蛋叉叔叔
873	108	43074	儿童节活动	74378	71160	1070854	桃花仙
874	194	43074	儿童节活动	25678	65885	1137479	桃花仙
875	6	7369	端午节活动	70492	47336	1052096	沈农
876	194	7369	端午节活动	25712	67006	1137408	沈农
877	108	7369	端午节活动	72100	66774	1071808	沈农
878	159	43084	端午节活动	56260	37634	1104704	涟香
879	159	43015	端午节特殊事件	49924	40141	1092992	洞庭飘香鳄
880	16	43090	端午节活动	25614	58998	1055936	端午鱼篓
881	21	43090	端午节活动	21165	17381	1052800	端午鱼篓
882	13	43090	端午节活动	42232	48914	1049280	端午鱼篓
883	6	43090	端午节活动	76726	41486	1048832	端午鱼篓
884	6	26740					被欺负的村民
885	6	7					黑野猪
886	6	27584					藏剑弟子
887	6	9					流氓
888	6	11					稻香分舵游击山贼
889	6	45969	当世长歌·任务	67626	47389	1052102	张水倾
890	6	46161	当世长歌·日常任务	67032	45635	1052102	任莞
891	151	46093	当世长歌·公共事件	74483	64283	1085312	杨逸飞
892	217	46968	莫云	122653	31993	1074553	莫云
893	217	46969	莫白	123100	56123	1071719	莫白
894	194	45009	赵云睿	26842	60468	1133638	赵云睿
895	216	45009	赵云睿	47823	65369	1079285	赵云睿
896	216	46788	森九岚	37534	76722	1080128	森九岚
897	217	46766	韩非池	15824	55324	1075584	韩非池
898	214	46402	剑圣	113605	79153	1086400	剑圣
899	215	46794	永王李璘	35829	63420	1156352	李璘
900	194	16113	名剑大会报名人	19289	59397	1143097	上官玲
901	213	47821	长歌习武区域	85908	65730	1057664	长歌大师兄
902	194	47754	阴山商路物资募集官	70260	115586	1116864	褚禾
903	217	47744	阴山商路恶人谷起始点	110326	28630	1074688	谷艾
904	217	47858	阴山商路浩气盟起始点	103679	26099	1076736	宋涛
905	216	47888	阴山商路补货商	33218	30528	1090381	夏洛特
906	214	47749	阴山商路补货商	65527	35877	1057619	木博
907	214	46331	无遮会声望商	53247	76824	1183431	慧善
908	216	46332	回纥商队声望商	97259	86745	1079422	阿勿嘀荧
909	215	46330	淮南商行声望商	96691	69801	1156322	陈徽之
910	217	47857	跋汗族黑水城声望商	20839	65999	1077599	姜微
911	213	50310	长歌门派事件-弟子笃学	110043	43833	1058669	收书先生
912	213	45786	长歌门派事件-学堂晒书	92762	53539	1058232	李白
913	213	50124	长歌门派事件-音律之试	28128	112525	1063168	赵宫商
914	2	77	万花门派事件	78224	52905	1103455	裴元
915	194	6561	太原冬至接引人尤泽煦	25544	66592	1137536	尤泽煦
916	194	16539	太原苏慧蓉	25667	66946	1137408	苏慧蓉
917	49	50300	藏剑门派事件	80869	76591	1115968	叶泊秋
918	49	0	藏剑门派事件	78528	74737	1117989	叶炜
919	16	50652	七秀门派事件·红袖飞花	34189	28977	1057278	白依依
920	16	50515	七秀门派事件·剑舞凝光	29808	39937	1056128	照萤
921	16	50152	七秀门派事件·东海来客	30107	42243	1056256	白璃予
922	193	50232	门派事件·苍云	51316	56869	1057152	燕宁
923	193	50819	门派事件·苍云	44421	21078	1070272	燕安
924	193	50391	门派事件·苍云	99111	50128	1077120	申屠远
925	193	50555	门派事件·苍云	44907	23000	1070094	长孙忘情
926	158	50305	天策门派事件	33504	63271	1073024	天策后勤物资官
927	158	50301	天策门派事件	14020	66777	1080448	天策机关师
928	7	50302	纯阳门派事件·山门卫道	41106	9687	1129856	卓宁心
929	7	50841	纯阳门派事件·山门卫道	30205	29399	1160313	卓宁心
930	7	50842	纯阳门派事件·山门卫道	47704	26570	1148416	卓宁心
932	5	571	证道院	32563	58117	1127424	澄如
933	5	574	达摩堂	44584	54846	1127447	澄正
934	5	2713	少林寺门前	45086	34247	1122409	澄广
935	5	2745	莲池旁	49613	56910	1127421	武僧教头
936	194	6810	春节活动	25340	65497	1137408	马莉颖
937	159	50871	门派事件·丐帮	94800	96249	1094272	尹小荷
938	159	50861	蒋方文	62820	95055	1103298	蒋方文
939	159	50809	郭岩	64647	81105	1107328	郭岩
940	122	50929	门派事件	82070	77839	1075991	门派事件区域
941	150	50965	明教门派事件·漫漫朝圣路	27447	25637	1093504	瑶瑶
942	150	50627	明教门派事件·明尊大典	60269	81522	1247680	陆烟儿
943	150	50633	明教门派事件·血染红衣	31326	97504	1142528	安雨
944	102	50670	五毒门派事件·毒蚊幼虫	92087	27286	1051584	玛索
945	102	50666	五毒门派事件·天一阴谋	46233	92987	1051328	公治菱
946	102	50669	五毒门派事件·噬魂金虎	28799	78900	1061824	噬魂金虎
947	151	51339	永安行声望商	79280	68442	1091095	叶紫琼
948	151	51147	洛阳·神兵迷踪	65991	78641	1100263	凤息颜
949	7	51479	勤修不辍·打坐	24123	13912	1159365	打坐区域
950	11	51479	勤修不辍·打坐	57848	16546	1052279	打坐区域
951	213	51479	勤修不辍·打坐	85615	63554	1058849	打坐区域
952	102	51479	勤修不辍·打坐	20904	86801	1071493	打坐区域
953	2	51479	勤修不辍·打坐	52532	39040	1244585	打坐区域
954	16	51479	勤修不辍·打坐	18238	13971	1056960	打坐区域
955	150	51479	勤修不辍·打坐	60303	80409	1247801	打坐区域
956	159	51479	勤修不辍·打坐	64685	75855	1117440	打坐区域
957	49	51479	勤修不辍·打坐	75568	65138	1112849	打坐区域
958	193	51479	勤修不辍·打坐	46496	23259	1070241	打坐区域
959	5	51479	勤修不辍·打坐	33804	57982	1127552	打坐区域
