NodeID	Description	MapID	CityID	Camp	TongID	NeedOpen	WorldRoadTrackEnd	ScriptFile	X	Y	Z	IdleFrame	MinLevel	MaxLevel	StartWaitFrame1	EndWaitFrame1	SwitchWaitFrame1	StartWaitFrame2	EndWaitFrame2	SwitchWaitFrame2	StartWaitFrame3	EndWaitFrame3	SwitchWaitFrame3	StartWaitFrame4	EndWaitFrame4	SwitchWaitFrame4	StartWaitFrame5	EndWaitFrame5	SwitchWaitFrame5	StartWaitFrame6	EndWaitFrame6	SwitchWaitFrame6
38	七秀入门码头	16	16	0	0	1	0	scripts\Traffic\EarthTrafficCost.lua	23030	8063	1055911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	长安门派切换点	15	39	0	0	0	0	scripts\Traffic\降低车费.lua	46788	80366	1059891	0	1	66	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
40	洛阳到枫华谷	8	0	0	0	0	0	scripts\Traffic\降低车费.lua	7651	49053	1053891	0	1	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	洛阳驿站	8	8	0	0	1	0	scripts\Traffic\EarthTrafficCost.lua	33810	68618	1052091	0	0	0	152	0	0	154	0	0	0	0	0	0	0	0	165	0	0	150	0	0
42	七秀到扬州	16	0	0	0	0	0	scripts\Traffic\降低车费.lua	30019	5783	1055744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	洛阳门派切换点	8	0	0	0	0	0	scripts\Traffic\降低车费.lua	33520	63882	1052348	0	1	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	洛阳中转	8	0	0	0	0	0	scripts\Traffic\降低车费.lua	42843	29692	1064616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	洛阳到洛道	8	0	0	0	0	0	scripts\Traffic\降低车费.lua	35337	6325	1071536	0	1	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	洛阳到金水	8	0	0	0	0	0	scripts\Traffic\降低车费.lua	87004	95248	1076849	0	1	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	寇岛总码头	10	10	0	0	1	0	scripts\Traffic\EarthTrafficCost.lua	12359	34035	1048812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	寇岛切换点	10	0	0	0	0	0	scripts\Traffic\降低车费.lua	12446	16317	1048576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	枫华谷驿站	12	12	0	0	1	0	scripts\Traffic\EarthTrafficCost.lua	7982	38130	1082077	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
50	枫华谷到长安	12	0	0	0	0	0	scripts\Traffic\降低车费.lua	4962	37577	1082008	0	1	66	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
51	枫华谷东站	12	120	0	0	0	0	scripts\Traffic\降低车费.lua	78838	46641	1079695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	枫华谷东站到洛阳	12	0	0	0	0	0	scripts\Traffic\降低车费.lua	84862	52928	1091632	0	1	66	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
53	长安新手镇	15	53	0	0	0	0	scripts\Traffic\降低车费.lua	28454	44579	1063440	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
54	长安到稻香村	15	0	0	0	0	0	scripts\Traffic\降低车费.lua	84474	70419	1064154	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
55	洛阳新手镇	8	55	0	0	0	0	scripts\Traffic\满级指引_车夫教学.lua	53801	23654	1079694	0	0	0	152	0	0	154	0	0	0	0	0	0	0	0	165	0	0	150	0	0
56	洛阳到稻香村	8	0	0	0	0	0	scripts\Traffic\降低车费.lua	35553	6666	1071343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	扬州寇岛码头	6	57	0	0	0	0	scripts\Traffic\免车费.lua	87822	13789	1049226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	扬州到寇岛	6	0	0	0	0	0	scripts\Traffic\降低车费.lua	94460	18199	1048576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	摘星楼下行终点	2	59	0	0	0	0	scripts\Traffic\降低车费.lua	54582	44440	1188365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	摘星楼下行起点	2	60	0	0	0	0	scripts\Traffic\降低车费.lua	56647	39922	1193727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	赏星居上行终点	2	61	0	0	0	0	scripts\Traffic\降低车费.lua	52154	46921	1188496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	赏星居上行起点	2	62	0	0	0	0	scripts\Traffic\降低车费.lua	52148	46897	1161344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	入门电梯下行起点	2	63	0	0	0	0	scripts\Traffic\降低车费.lua	82532	68404	1158334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	万花入门电梯上行	2	64	0	0	0	0	scripts\Traffic\降低车费.lua	81764	67410	1103384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	摘星楼顶下行起点	2	65	0	0	0	0	scripts\Traffic\降低车费.lua	54610	35915	1244550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	摘星楼顶下行终点	2	66	0	0	0	0	scripts\Traffic\降低车费.lua	54625	35918	1202050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	无盐岛码头	18	18	0	0	0	0	scripts\Traffic\降低车费.lua	20807	5317	1056568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	无盐岛切换点	18	0	0	0	0	0	scripts\Traffic\降低车费.lua	13383	3415	1056432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	摘星楼上行起点	2	69	0	0	0	0	scripts\Traffic\降低车费.lua	54682	36331	1202260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	摘星楼上行终点	2	70	0	0	0	0	scripts\Traffic\降低车费.lua	54685	36312	1244029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	觅星殿下行起点	2	71	0	0	0	0	scripts\Traffic\降低车费.lua	52018	47282	1188742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	觅星殿下行终点	2	72	0	0	0	0	scripts\Traffic\降低车费.lua	52007	47303	1161107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	入门电梯上行起点	2	73	0	0	0	0	scripts\Traffic\降低车费.lua	81223	67804	1103384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	入门电梯上行终点	2	74	0	0	0	0	scripts\Traffic\降低车费.lua	82040	68801	1158082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	觅星殿上行起点	2	75	0	0	0	0	scripts\Traffic\降低车费.lua	54664	44258	1188551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	觅星殿上行终点	2	76	0	0	0	0	scripts\Traffic\降低车费.lua	56684	39676	1193453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	新手镇到长安出发	15	77	0	0	0	0	scripts\Traffic\降低车费.lua	28610	45102	1063590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	新手镇到城门终点	15	78	0	0	0	0	scripts\Traffic\降低车费.lua	40614	92502	1061634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	风雨镇到洛阳终点	8	79	0	0	0	0	scripts\Traffic\降低车费.lua	33800	68406	1052083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	风雨镇到洛阳出发	8	80	0	0	0	0	scripts\Traffic\满级指引_车夫教学.lua	53594	23833	1079761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81	再来镇到扬州出发	6	81	0	0	0	0	scripts\Traffic\降低车费.lua	48707	32586	1049058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82	再来镇到扬州终点	6	82	0	0	0	0	scripts\Traffic\降低车费.lua	64418	46180	1052560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83	从龙门客栈到楼兰古城起点	23	83	0	0	0	0	scripts\Traffic\降低车费.lua	38732	40227	1049646	0	0	0	152	0	0	154	0	0	0	0	0	0	0	0	165	0	0	150	0	0
84	从龙门客栈到楼兰古城终点	23	84	0	0	0	0	scripts\Traffic\降低车费.lua	4525	5342	1062970	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
85	寇岛到日轮山城码头	10	47	0	0	0	0	scripts\Traffic\降低车费.lua	13824	77401	1050491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	寇岛到日轮山城切换点	10	2110	0	0	0	0	scripts\Traffic\降低车费.lua	9377	90916	1048576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	昆仑中立驿站	30	30	0	0	1	0	scripts\Traffic\EarthTrafficCost.lua	56825	5553	1053148	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
88	昆仑中立到龙门切换点	30	0	0	0	0	0	scripts\Traffic\降低车费.lua	58999	2992	1055188	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
89	扬州到东篱寨出发	6	89	0	0	0	0	scripts\Traffic\降低车费.lua	64433	46044	1052308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	东篱寨到扬州出发	6	90	0	0	0	0	scripts\Traffic\降低车费.lua	81407	14334	1049572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	南屏山中立驿站	22	22	0	0	1	0	scripts\Traffic\EarthTrafficCost.lua	90188	71928	1121648	0	0	0	152	0	0	154	0	0	0	0	0	0	0	0	165	0	0	150	0	0
92	南屏山到洛道切换点	22	0	0	0	0	0	scripts\Traffic\降低车费.lua	95871	79279	1130483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	洛道到南屏巴陵中转	9	0	0	0	0	0	scripts\Traffic\降低车费.lua	4581	12256	1055746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	洛道到南屏地图切换点	9	0	0	0	0	0	scripts\Traffic\降低车费.lua	3367	11270	1055780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	洛道到巴陵切换点	9	0	0	0	0	0	scripts\Traffic\降低车费.lua	6716	4441	1063082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	巴陵到瞿塘峡切换点	21	0	0	0	0	0	scripts\Traffic\降低车费.lua	5182	50941	1067282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	巴陵驿站	21	21	0	0	1	0	scripts\Traffic\满级指引_车夫教学.lua	44578	43911	1059465	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
98	巴陵到洛道切换点	21	0	0	0	0	0	scripts\Traffic\降低车费.lua	91497	43214	1062374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99	瞿塘峡驿站	35	35	0	0	1	0	scripts\Traffic\满级指引_车夫教学.lua	92572	105661	1151164	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
100	瞿塘峡到巴陵切换点	35	0	0	0	0	0	scripts\Traffic\降低车费.lua	98989	127304	1153596	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
101	龙门荒漠驿站	23	23	0	0	1	0	scripts\Traffic\EarthTrafficCost.lua	38625	40273	1049652	0	0	0	152	0	0	154	0	0	0	0	0	0	0	0	165	0	0	150	0	0
102	龙门到昆仑切换点	23	0	0	0	0	0	scripts\Traffic\降低车费.lua	6247	91632	1052983	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
103	浩气盟到南屏山切换点	25	0	0	0	0	0	scripts\Traffic\降低车费.lua	8264	95240	1059036	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
104	龙门到长安切换点	23	0	0	0	0	0	scripts\Traffic\降低车费.lua	91878	7882	1055265	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
105	浩气盟驿站	25	25	1	0	1	0	scripts\Traffic\EarthTrafficCost.lua	35721	45786	1086466	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
106	江流集出发	35	106	0	0	0	0	scripts\Traffic\降低车费.lua	52613	42406	1122273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	孤山集出发	35	107	0	0	0	0	scripts\Traffic\降低车费.lua	100214	113009	1119398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	南屏山浩气盟驿站	22	22	1	0	1	0	scripts\Traffic\EarthTrafficCost.lua	25513	7026	1102863	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
109	南屏山到浩气盟切换点	22	0	0	0	0	0	scripts\Traffic\降低车费.lua	26060	4633	1102873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	南屏山恶人谷驿站	22	22	2	0	1	0	scripts\Traffic\EarthTrafficCost.lua	10959	73066	1097834	0	0	0	152	0	0	154	0	0	0	0	0	0	0	0	165	0	0	150	0	0
111	南屏山到洛道-恶人谷切换点	22	0	0	0	0	0	scripts\Traffic\降低车费.lua	6930	77114	1098369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	清水岛码头	10	112	0	0	0	0	scripts\Traffic\满级指引_车夫教学.lua	42891	23759	1048868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	王大石任务出发	1	113	0	0	0	0	scripts\Traffic\降低车费.lua	20061	25777	1051298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	陈商任务到达	1	114	0	0	0	0	scripts\Traffic\降低车费.lua	27478	7489	1048039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	恶人谷切换点	27	0	0	0	0	0	scripts\Traffic\降低车费.lua	39527	6041	1049706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116	恶人谷驿站	27	27	2	0	1	0	scripts\Traffic\EarthTrafficCost.lua	39850	26147	1071257	0	0	0	152	0	0	154	0	0	0	0	0	0	0	0	165	0	0	150	0	0
117	昆仑浩气盟营地	30	30	1	0	1	0	scripts\Traffic\EarthTrafficCost.lua	91088	42714	1133388	0	0	0	152	0	0	154	0	0	0	0	0	0	0	0	165	0	0	150	0	0
118	昆仑浩气盟到龙门切换点	30	0	0	0	0	0	scripts\Traffic\降低车费.lua	59091	3060	1055281	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
119	昆仑恶人谷营地	30	30	2	0	1	0	scripts\Traffic\EarthTrafficCost.lua	24101	50263	1117465	0	0	0	152	0	0	154	0	0	0	0	0	0	0	0	165	0	0	150	0	0
120	昆仑恶人谷切换点	30	0	0	0	0	0	scripts\Traffic\降低车费.lua	5184	77667	1096243	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
121	英雄无盐岛码头	41	41	0	0	0	0	scripts\Traffic\降低车费.lua	20798	5270	1056432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122	英雄无盐岛往七秀切换点	41	0	0	0	0	0	scripts\Traffic\降低车费.lua	18468	4522	1056432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123	英雄天子峰4到6终点	42	123	0	0	0	0	scripts\Traffic\降低车费.lua	38268	20199	1170828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124	英雄天子峰4到6起点	42	124	0	0	0	0	scripts\Traffic\降低车费.lua	32631	30605	1150709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125	英雄天子峰4到1终点	42	125	0	0	0	0	scripts\Traffic\降低车费.lua	31166	54695	1084757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	英雄天子峰4到1起点	42	126	0	0	0	0	scripts\Traffic\降低车费.lua	32331	30621	1150709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127	英雄天子峰起点	42	127	0	0	0	0	scripts\Traffic\降低车费.lua	31230	54274	1079664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128	英雄天子峰终点	42	128	0	0	0	0	scripts\Traffic\降低车费.lua	31255	54286	1079694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
129	飞行点出发	1	129	0	0	0	0	scripts\Traffic\降低车费.lua	10403	37584	1076524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
130	飞行点到达	1	130	0	0	0	0	scripts\Traffic\降低车费.lua	9858	37647	1076523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131	秋叶青出发点	1	131	0	0	0	0	scripts\Traffic\降低车费.lua	36833	15938	1076897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	秋叶青到达点	1	132	0	0	0	0	scripts\Traffic\降低车费.lua	22259	23506	1047470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133	梁施农回村长出发	1	133	0	0	0	0	scripts\Traffic\降低车费.lua	26759	9630	1047494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134	梁施农回村长到达	1	134	0	0	0	0	scripts\Traffic\降低车费.lua	17015	28023	1054308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	藏剑到扬州	49	0	0	0	0	0	scripts\Traffic\降低车费.lua	89285	88204	1112259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137	大门到满隆村终点	49	137	0	0	0	0	scripts\Traffic\降低车费.lua	65021	28460	1116268	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
138	大门到满隆村起点	49	138	0	0	0	0	scripts\Traffic\降低车费.lua	64499	61444	1111806	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
139	满隆村到寺庙终点	49	139	0	0	0	0	scripts\Traffic\降低车费.lua	25125	61515	1128705	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
140	满隆村到寺庙起点	49	140	0	0	0	0	scripts\Traffic\降低车费.lua	64847	28499	1116523	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
141	大门到寺庙终点	49	141	0	0	0	0	scripts\Traffic\降低车费.lua	25216	61168	1128876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142	大门到寺庙起点	49	142	0	0	0	0	scripts\Traffic\门派历程_车夫教学.lua	64345	61442	1112798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143	藏剑驯马任务起点	49	143	0	0	0	0	scripts\Traffic\降低车费.lua	60476	50552	1123802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
